Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Matz Sels,be BEL,GK,31-021,27.0,2,0.07,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alexander Djiku,gh GHA,DF,28-222,23.0,17,0.74,16,1,0,0,0,0,4,0.17,4,0,0,0,0,0,Matches
Habib Diallo,sn SEN,FW,27-274,22.1,41,1.86,26,0,3,7,5,0,3,0.14,0,0,1,2,0,0,Matches
Kévin Gameiro,fr FRA,FW,35-314,19.9,51,2.56,38,0,1,9,3,0,3,0.15,0,0,0,2,1,0,Matches
Jean-Ricner Bellegarde,fr FRA,MF,24-265,17.7,63,3.57,43,13,2,1,4,0,7,0.4,6,0,0,1,0,0,Matches
Maxime Le Marchand,fr FRA,DF,33-159,17.4,17,0.98,12,0,2,0,1,2,3,0.17,1,0,0,0,1,1,Matches
Sanjin Prcić,ba BIH,MF,29-119,16.7,29,1.73,21,2,1,1,4,0,2,0.12,2,0,0,0,0,0,Matches
Dimitri Liénard,fr FRA,"DF,MF",35-034,15.7,51,3.25,28,20,0,1,0,2,1,0.06,1,0,0,0,0,0,Matches
Ismaël Doukouré,fr FRA,DF,19-238,15.3,11,0.72,9,0,1,1,0,0,1,0.07,1,0,0,0,0,0,Matches
Gerzino Nyamsi,fr FRA,DF,26-056,12.4,10,0.81,8,1,0,1,0,0,2,0.16,2,0,0,0,0,0,Matches
Jean-Eudes Aholou,ci CIV,MF,28-364,11.0,20,1.82,15,0,0,0,2,3,1,0.09,1,0,0,0,0,0,Matches
Lucas Perrin,fr FRA,DF,24-120,12.2,8,0.66,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Adrien Thomasson,fr FRA,MF,29-099,10.4,38,3.65,32,1,2,2,0,1,3,0.29,2,0,0,1,0,0,Matches
Mouhamadou Diarra,sn SEN,MF,19-075,9.8,25,2.56,14,0,4,3,4,0,1,0.1,0,0,0,0,1,0,Matches
Thomas Delaine,fr FRA,DF,30-360,8.6,16,1.86,13,0,1,0,0,2,3,0.35,3,0,0,0,0,0,Matches
Ludovic Ajorque,fr FRA,FW,29-022,8.6,22,2.57,20,0,0,2,0,0,2,0.23,1,0,0,1,0,0,Matches
Ibrahima Sissoko,fr FRA,MF,25-143,9.5,19,2.01,14,0,0,2,3,0,1,0.11,1,0,0,0,0,0,Matches
Colin Dagba,fr FRA,DF,24-191,7.4,19,2.58,16,2,0,0,1,0,2,0.27,2,0,0,0,0,0,Matches
Ronaël Pierre-Gabriel,fr FRA,DF,24-279,7.3,15,2.06,8,3,1,1,1,1,1,0.14,1,0,0,0,0,0,Matches
Frederic Guilbert,fr FRA,DF,28-085,6.6,17,2.57,11,3,0,0,1,2,0,0.0,0,0,0,0,0,0,Matches
Morgan Sanson,fr FRA,MF,28-213,5.2,15,2.87,10,0,0,3,1,1,1,0.19,1,0,0,0,0,0,Matches
Eduard Sobol,ua UKR,DF,27-333,5.5,7,1.26,4,0,0,0,1,2,1,0.18,0,0,0,0,0,1,Matches
Lebo Mothiba,za RSA,"FW,MF",27-050,3.3,2,0.61,1,0,0,0,1,0,1,0.31,1,0,0,0,0,0,Matches
Nordine Kandil,fr FRA,"MF,FW",21-139,0.9,5,5.63,2,1,0,1,1,0,1,1.13,0,0,0,1,0,0,Matches
Franci Bouebari,fr FRA,DF,19-188,0.8,1,1.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Karol Fila,pl POL,DF,24-279,0.5,3,5.63,2,1,0,0,0,0,1,1.87,1,0,0,0,0,0,Matches
Dany Jean,ht HAI,"DF,MF",20-111,0.1,1,6.43,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marvin Senaya,tg TOG,DF,22-050,0.1,1,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.4,27.0,526,19.48,374,49,18,36,33,16,45,1.67,31,0,1,8,3,2,
Opponent Total,,,26.9,27.0,559,20.7,408,47,24,35,35,10,79,2.93,52,7,1,8,10,1,
