Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Matz Sels,be BEL,GK,31-021,27.0,2,0,0,0,2,0,0,3,1,0,0,0,22,7,0,100.0,Matches
Alexander Djiku,gh GHA,DF,28-222,23.0,5,0,0,27,19,1,5,49,28,0,0,0,118,64,28,69.6,Matches
Habib Diallo,sn SEN,FW,27-274,22.1,2,0,0,27,48,14,4,10,7,0,0,0,52,81,94,46.3,Matches
Kévin Gameiro,fr FRA,FW,35-314,19.9,1,1,0,11,14,4,18,8,8,1,0,0,74,12,24,33.3,Matches
Jean-Ricner Bellegarde,fr FRA,MF,24-265,17.7,3,0,0,16,45,0,97,21,17,0,1,0,113,14,22,38.9,Matches
Maxime Le Marchand,fr FRA,DF,33-159,17.4,6,1,1,24,6,0,11,29,23,0,2,0,116,42,19,68.9,Matches
Sanjin Prcić,ba BIH,MF,29-119,16.7,2,1,0,15,18,1,25,21,12,0,0,0,137,15,7,68.2,Matches
Dimitri Liénard,fr FRA,"DF,MF",35-034,15.7,3,0,0,12,13,3,107,13,25,0,0,0,110,15,15,50.0,Matches
Ismaël Doukouré,fr FRA,DF,19-238,15.3,5,0,0,25,15,0,6,17,11,0,0,0,95,17,23,42.5,Matches
Gerzino Nyamsi,fr FRA,DF,26-056,12.4,4,1,0,25,3,0,1,8,11,0,2,0,73,27,14,65.9,Matches
Jean-Eudes Aholou,ci CIV,MF,28-364,11.0,3,1,0,27,18,1,5,19,16,0,0,0,64,19,15,55.9,Matches
Lucas Perrin,fr FRA,DF,24-120,12.2,1,0,0,13,11,0,7,18,17,0,1,0,72,22,11,66.7,Matches
Adrien Thomasson,fr FRA,MF,29-099,10.4,2,0,0,16,20,4,8,3,9,0,0,0,80,7,6,53.8,Matches
Mouhamadou Diarra,sn SEN,MF,19-075,9.8,1,0,0,13,12,0,22,9,10,1,0,0,59,6,11,35.3,Matches
Thomas Delaine,fr FRA,DF,30-360,8.6,3,0,0,14,10,0,49,6,11,0,2,0,36,7,8,46.7,Matches
Ludovic Ajorque,fr FRA,FW,29-022,8.6,1,0,0,14,8,1,0,2,4,0,0,0,21,50,33,60.2,Matches
Ibrahima Sissoko,fr FRA,MF,25-143,9.5,0,0,0,26,12,1,9,5,12,0,1,0,79,24,17,58.5,Matches
Colin Dagba,fr FRA,DF,24-191,7.4,2,0,0,12,5,1,28,10,14,0,0,0,36,2,5,28.6,Matches
Ronaël Pierre-Gabriel,fr FRA,DF,24-279,7.3,3,0,0,12,8,2,19,9,18,0,0,0,41,8,7,53.3,Matches
Frederic Guilbert,fr FRA,DF,28-085,6.6,3,0,0,14,9,0,27,17,11,0,1,0,55,10,8,55.6,Matches
Morgan Sanson,fr FRA,MF,28-213,5.2,1,0,0,8,15,0,7,11,9,0,0,0,32,6,5,54.5,Matches
Eduard Sobol,ua UKR,DF,27-333,5.5,2,0,0,8,7,2,9,4,6,0,1,0,19,6,3,66.7,Matches
Lebo Mothiba,za RSA,"FW,MF",27-050,3.3,0,0,0,7,6,0,3,0,0,0,0,0,7,5,17,22.7,Matches
Nordine Kandil,fr FRA,"MF,FW",21-139,0.9,0,0,0,1,3,0,3,1,2,0,0,0,13,3,0,100.0,Matches
Franci Bouebari,fr FRA,DF,19-188,0.8,0,0,0,2,0,0,1,2,0,0,0,0,0,1,1,50.0,Matches
Karol Fila,pl POL,DF,24-279,0.5,0,0,0,0,0,0,3,1,0,0,0,0,5,0,0,,Matches
Dany Jean,ht HAI,"DF,MF",20-111,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,Matches
Marvin Senaya,tg TOG,DF,22-050,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,50.0,Matches
Squad Total,,,28.4,27.0,55,5,1,369,327,35,475,296,282,2,11,0,1532,471,395,54.4,
Opponent Total,,,26.9,27.0,44,4,2,344,353,65,466,257,247,9,3,2,1536,395,471,45.6,
