Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Erik Palmer-Brown,us USA,DF,25-344,26.5,931,1113,83.6,17214,7052,361,395,91.4,481,536,89.7,74,150,49.3,0,0.4,1.3,-0.4,7,51,8,1,60,Matches
Yoann Salmier,gf GUF,DF,30-133,25.9,1080,1298,83.2,19386,7776,439,487,90.1,507,569,89.1,99,191,51.8,0,0.4,0.4,-0.4,4,88,1,0,104,Matches
Rominigue Kouamé,ml MLI,MF,26-107,22.5,925,1056,87.6,16513,4351,381,417,91.4,428,480,89.2,90,112,80.4,1,1.7,1.3,-0.7,19,121,11,2,138,Matches
Mama Samba Baldé,gw GNB,FW,27-148,22.3,273,403,67.7,4063,870,148,211,70.1,91,120,75.8,16,26,61.5,3,2.0,1.4,1.0,20,22,9,0,41,Matches
Rony Lopes,pt POR,"MF,FW",27-096,20.2,470,689,68.2,8143,2471,231,291,79.4,161,225,71.6,59,120,49.2,5,4.4,3.4,0.6,43,51,20,7,73,Matches
Gauthier Gallon,fr FRA,GK,29-345,22.0,433,660,65.6,11285,8371,99,100,99.0,208,211,98.6,115,334,34.4,0,0.0,0.0,0.0,1,8,0,0,0,Matches
Thierno Balde,fr FRA,DF,20-297,19.0,641,781,82.1,9961,3041,336,382,88.0,257,315,81.6,31,47,66.0,0,0.9,1.3,-0.9,15,28,17,4,51,Matches
Xavier Chavalerin,fr FRA,MF,32-027,20.5,708,861,82.2,11676,3837,342,380,90.0,274,316,86.7,60,104,57.7,2,2.0,1.9,0.0,18,66,8,4,77,Matches
Jackson Porozo,ec ECU,DF,22-242,16.4,472,577,81.8,8367,2750,193,225,85.8,236,268,88.1,30,63,47.6,0,0.1,0.5,-0.1,1,21,1,0,25,Matches
Renaud Ripart,fr FRA,"FW,MF",30-020,14.7,317,468,67.7,4446,1019,177,234,75.6,107,156,68.6,11,28,39.3,1,1.9,0.7,-0.9,21,27,10,1,47,Matches
Andreas Bruus,dk DEN,"DF,FW",24-077,14.3,358,510,70.2,6172,2162,167,217,77.0,143,192,74.5,36,73,49.3,2,1.6,1.7,0.4,20,21,18,10,33,Matches
Yasser Larouci,dz ALG,"DF,FW",22-092,13.2,435,568,76.6,6421,2252,238,278,85.6,162,210,77.1,16,43,37.2,0,1.3,0.9,-1.3,11,29,14,7,45,Matches
Wilson Odobert,fr FRA,"MF,FW",18-126,14.3,294,387,76.0,4332,944,163,206,79.1,94,119,79.0,19,27,70.4,2,1.6,1.0,0.4,18,15,10,5,31,Matches
Abdu Conté,pt POR,DF,25-010,13.1,545,695,78.4,9535,3455,239,281,85.1,253,302,83.8,43,73,58.9,2,1.9,1.7,0.1,13,36,13,6,51,Matches
Florian Tardieu,fr FRA,MF,30-346,11.2,655,755,86.8,11723,4194,302,325,92.9,242,267,90.6,84,127,66.1,0,1.0,1.2,-1.0,17,68,8,2,83,Matches
Adil Rami,fr FRA,DF,37-097,11.1,382,458,83.4,8117,3708,124,136,91.2,182,208,87.5,71,102,69.6,1,0.6,0.1,0.4,3,31,2,1,22,Matches
Lucien Agoume,fr FRA,MF,21-053,8.1,413,513,80.5,7332,2163,178,211,84.4,178,208,85.6,46,66,69.7,1,1.0,0.9,0.0,9,35,13,2,66,Matches
Mateusz Lis,pl POL,GK,26-035,7.0,181,263,68.8,4827,3669,45,46,97.8,74,78,94.9,58,135,43.0,0,0.0,0.0,0.0,0,5,0,0,0,Matches
Papa Ndiaga Yade,sn SEN,DF,23-088,5.3,210,290,72.4,3059,1020,131,148,88.5,57,88,64.8,15,39,38.5,1,0.9,0.5,0.1,8,8,5,4,14,Matches
Ike Ugbo,ca CAN,"FW,MF",24-194,4.9,40,59,67.8,479,48,23,33,69.7,12,15,80.0,0,1,0.0,1,0.3,0.3,0.7,2,2,0,0,2,Matches
Jeff Reine-Adélaïde,fr FRA,MF,25-076,1.1,61,76,80.3,960,173,31,38,81.6,24,27,88.9,4,6,66.7,0,0.0,0.0,0.0,0,4,0,0,8,Matches
Tristan Dingomé,cm CMR,MF,32-045,1.1,55,78,70.5,840,252,31,34,91.2,19,28,67.9,3,9,33.3,0,0.3,0.2,-0.3,4,7,1,0,6,Matches
Alexis Tibidi,fr FRA,"FW,MF",19-151,0.8,19,23,82.6,273,4,9,11,81.8,7,8,87.5,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Mathis Hamdi,fr FRA,DF,19-167,0.8,26,38,68.4,347,111,14,18,77.8,11,15,73.3,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Kyliane Dong,fr FRA,"DF,MF",18-188,0.6,7,14,50.0,117,6,4,5,80.0,2,4,50.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Banhie Zoukrou,fr FRA,DF,19-331,0.6,39,44,88.6,601,209,14,15,93.3,21,23,91.3,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Amar Ahmed,se SWE,FW,19-043,0.2,6,10,60.0,79,18,3,5,60.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Jordan Dongmo,cm CMR,MF,22-063,0.2,9,10,90.0,120,10,5,5,100.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Marlos Moreno,co COL,"MF,DF",26-195,0.1,3,4,75.0,40,10,2,2,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Ante Palaversa,hr CRO,MF,22-362,0.1,6,7,85.7,127,15,1,1,100.0,2,2,100.0,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.6,29.0,9994,12708,78.6,176555,65961,4431,5137,86.3,4240,5000,84.8,985,1889,52.1,22,23.8,21.1,-1.8,254,747,169,56,982,
Opponent Total,,,27.0,29.0,13709,16440,83.4,244131,81502,5772,6535,88.3,6098,6892,88.5,1376,2180,63.1,40,37.5,39.1,2.5,317,1167,322,87,1472,
