Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Erik Palmer-Brown,us USA,DF,25-347,29,2381.0,82.0,91.2,26.5,27,86.0,23,2,27.0,0,0.72,35.0,59.0,-24.0,-0.91,-0.91,30.2,48.5,-18.3,-0.69,0.98,Matches
Yoann Salmier,gf GUF,DF,30-136,27,2327.0,86.0,89.2,25.9,27,86.0,23,0,,0,0.74,36.0,58.0,-22.0,-0.85,-0.21,30.1,49.2,-19.1,-0.74,0.37,Matches
Rominigue Kouamé,ml MLI,MF,26-110,24,2024.0,84.0,77.5,22.5,24,84.0,16,0,,5,0.83,31.0,45.0,-14.0,-0.62,0.91,26.4,39.1,-12.7,-0.56,0.95,Matches
Mama Samba Baldé,gw GNB,FW,27-151,26,2004.0,77.0,76.8,22.3,23,82.0,13,3,38.0,0,0.62,31.0,51.0,-20.0,-0.9,-0.3,27.0,42.5,-15.4,-0.69,0.36,Matches
Rony Lopes,pt POR,"MF,FW",27-099,25,1817.0,73.0,69.6,20.2,23,76.0,9,2,29.0,0,0.8,25.0,38.0,-13.0,-0.64,0.6,20.2,40.1,-19.8,-0.98,-0.68,Matches
Gauthier Gallon,fr FRA,GK,29-348,22,1980.0,90.0,75.9,22.0,22,90.0,22,0,,5,0.68,30.0,48.0,-18.0,-0.82,0.04,28.4,41.2,-12.8,-0.58,0.8,Matches
Thierno Balde,fr FRA,DF,20-300,24,1707.0,71.0,65.4,19.0,20,83.0,10,4,13.0,1,0.75,24.0,42.0,-18.0,-0.95,-0.35,20.3,35.6,-15.3,-0.81,-0.09,Matches
Xavier Chavalerin,fr FRA,MF,32-030,27,1841.0,68.0,70.5,20.5,19,88.0,17,8,21.0,2,0.74,24.0,45.0,-21.0,-1.03,-0.68,22.1,43.4,-21.3,-1.04,-0.9,Matches
Jackson Porozo,ec ECU,DF,22-245,19,1472.0,77.0,56.4,16.4,16,87.0,14,3,24.0,7,0.74,24.0,37.0,-13.0,-0.79,0.08,21.1,33.3,-12.3,-0.75,0.06,Matches
Renaud Ripart,fr FRA,"FW,MF",30-023,26,1320.0,51.0,50.6,14.7,15,72.0,4,11,22.0,2,0.73,19.0,28.0,-9.0,-0.61,0.43,15.8,24.1,-8.3,-0.57,0.42,Matches
Andreas Bruus,dk DEN,"DF,FW",24-080,20,1283.0,64.0,49.2,14.3,14,84.0,8,6,17.0,2,0.65,18.0,28.0,-10.0,-0.7,0.25,15.3,28.8,-13.5,-0.95,-0.34,Matches
Yasser Larouci,dz ALG,"DF,FW",22-095,21,1187.0,57.0,45.5,13.2,14,75.0,6,7,21.0,6,0.71,16.0,32.0,-16.0,-1.21,-0.71,17.5,25.6,-8.0,-0.61,0.31,Matches
Wilson Odobert,fr FRA,"MF,FW",18-129,26,1285.0,49.0,49.2,14.3,13,74.0,3,13,25.0,2,0.81,21.0,33.0,-12.0,-0.84,-0.03,17.2,29.6,-12.4,-0.87,-0.18,Matches
Abdu Conté,pt POR,DF,25-013,16,1177.0,74.0,45.1,13.1,13,84.0,8,3,28.0,1,0.75,19.0,23.0,-4.0,-0.31,0.95,12.3,27.1,-14.8,-1.13,-0.64,Matches
Florian Tardieu,fr FRA,MF,30-349,14,1008.0,72.0,38.6,11.2,11,87.0,7,3,16.0,1,1.07,17.0,26.0,-9.0,-0.8,0.04,14.2,21.3,-7.1,-0.64,0.23,Matches
Adil Rami,fr FRA,DF,37-100,13,995.0,77.0,38.1,11.1,11,82.0,7,2,45.0,6,0.54,11.0,18.0,-7.0,-0.63,0.31,11.3,21.6,-10.3,-0.93,-0.25,Matches
Lucien Agoume,fr FRA,MF,21-056,10,726.0,73.0,27.8,8.1,9,80.0,6,1,9.0,4,0.5,7.0,19.0,-12.0,-1.49,-0.91,8.9,14.1,-5.2,-0.65,0.18,Matches
Mateusz Lis,pl POL,GK,26-038,7,630.0,90.0,24.1,7.0,7,90.0,7,0,,16,0.86,8.0,14.0,-6.0,-0.86,-0.04,4.9,14.6,-9.7,-1.38,-0.8,Matches
Papa Ndiaga Yade,sn SEN,DF,23-091,10,476.0,48.0,18.2,5.3,5,75.0,2,5,21.0,3,1.2,8.0,9.0,-1.0,-0.19,0.78,7.4,9.4,-1.9,-0.37,0.5,Matches
Ike Ugbo,ca CAN,"FW,MF",24-197,17,439.0,26.0,16.8,4.9,5,53.0,0,12,14.0,9,1.0,11.0,8.0,3.0,0.62,1.73,8.3,8.2,0.1,0.02,0.95,Matches
Jeff Reine-Adélaïde,fr FRA,MF,25-079,3,103.0,34.0,3.9,1.1,1,71.0,0,2,16.0,3,0.0,0.0,5.0,-5.0,-4.37,-3.69,1.0,3.0,-2.0,-1.77,-1.03,Matches
Tristan Dingomé,cm CMR,MF,32-048,8,99.0,12.0,3.8,1.1,0,,0,8,12.0,8,1.25,2.0,2.0,0.0,0.0,0.86,2.1,2.1,0.0,0.02,0.83,Matches
Alexis Tibidi,fr FRA,"FW,MF",19-154,3,74.0,25.0,2.8,0.8,0,,0,3,25.0,3,0.0,0.0,2.0,-2.0,-2.43,-1.65,0.5,1.3,-0.9,-1.07,-0.3,Matches
Mathis Hamdi,fr FRA,DF,19-170,2,69.0,35.0,2.6,0.8,0,,0,2,35.0,3,0.0,0.0,4.0,-4.0,-5.22,-4.51,0.5,2.0,-1.5,-1.96,-1.22,Matches
Kyliane Dong,fr FRA,"DF,MF",18-191,3,58.0,19.0,2.2,0.6,0,,0,3,19.0,1,0.0,0.0,2.0,-2.0,-3.1,-2.33,0.5,1.5,-1.1,-1.65,-0.9,Matches
Banhie Zoukrou,fr FRA,DF,19-334,2,50.0,25.0,1.9,0.6,0,,0,2,25.0,17,0.5,0.0,2.0,-2.0,-3.6,-2.83,0.5,1.5,-0.9,-1.7,-0.94,Matches
Amar Ahmed,se SWE,FW,19-046,1,20.0,20.0,0.8,0.2,0,,0,1,20.0,2,1.0,0.0,0.0,0.0,0.0,0.83,0.1,0.6,-0.6,-2.5,-1.74,Matches
Jordan Dongmo,cm CMR,MF,22-066,2,20.0,10.0,0.8,0.2,0,,0,2,10.0,6,0.5,0.0,1.0,-1.0,-4.5,-3.7,0.0,0.4,-0.4,-1.69,-0.92,Matches
Marlos Moreno,co COL,"MF,DF",26-198,2,13.0,7.0,0.5,0.1,0,,0,2,7.0,6,1.0,0.0,1.0,-1.0,-6.92,-6.13,0.5,1.3,-0.8,-5.78,-5.02,Matches
Ante Palaversa,hr CRO,MF,23-000,1,10.0,10.0,0.4,0.1,0,,0,1,10.0,5,0.0,1.0,0.0,1.0,9.0,9.87,0.7,0.1,0.6,5.43,6.23,Matches
Rudy Kohon,fr FRA,DF,18-318,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Derek Mazou-Sacko,fr FRA,MF,18-182,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Corentin Michel,be BEL,GK,23-017,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jessy Moulin,fr FRA,GK,37-083,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Eric N'Jo,fr FRA,DF,18-309,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Yoann Touzghar,tn TUN,FW,36-129,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,26.6,29,2610.0,90.0,100.0,29.0,319,82.0,205,111,21.0,143,0.72,38.0,62.0,-24.0,-0.83,,33.3,55.8,-22.5,-0.78,,
Opponent Total,,,27.0,29,2610.0,90.0,100.0,29.0,319,82.0,205,111,21.0,127,1.97,62.0,38.0,24.0,0.83,,55.8,33.3,22.5,0.78,,
