Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Lukáš Hrádecký,fi FIN,GK,33-115,23.0,788,605,183,57,0,0,0,0,0,0,0,0,568,0,0,Matches
Edmond Tapsoba,bf BFA,DF,24-045,22.9,1617,1534,82,54,4,5,2,10,0,0,0,0,1384,1,14,Matches
Moussa Diaby,fr FRA,"FW,MF",23-255,20.7,706,662,40,6,8,4,70,15,9,4,4,0,527,4,13,Matches
Jeremie Frimpong,nl NED,"DF,MF",22-099,20.4,850,690,160,7,0,3,43,153,0,0,0,0,664,0,25,Matches
Robert Andrich,de GER,MF,28-178,19.7,1105,1070,33,29,0,4,4,4,0,0,0,0,921,2,11,Matches
Jonathan Tah,de GER,DF,27-036,19.6,1161,1132,27,19,0,4,3,1,0,0,0,0,1032,2,5,Matches
Piero Hincapié,ec ECU,DF,21-069,18.6,1220,1110,110,29,1,4,17,65,0,0,0,0,1003,0,27,Matches
Mitchel Bakker,nl NED,"DF,MF",22-272,12.8,702,573,128,11,1,8,18,116,1,0,0,0,553,1,14,Matches
Exequiel Palacios,ar ARG,MF,24-165,12.3,805,770,30,26,2,2,4,3,0,0,0,0,689,5,13,Matches
Adam Hložek,cz CZE,"FW,MF",20-237,11.3,283,260,23,1,1,1,15,1,11,5,4,0,210,0,9,Matches
Kerem Demirbay,de GER,MF,29-259,12.0,766,667,95,45,2,5,70,5,42,22,15,0,576,4,12,Matches
Odilon Kossonou,ci CIV,DF,22-074,10.9,664,620,42,14,0,0,4,28,0,0,0,0,553,2,16,Matches
Patrik Schick,cz CZE,FW,27-054,10.5,253,233,19,2,1,0,4,6,0,0,0,0,176,1,5,Matches
Amine Adli,fr FRA,"FW,MF",22-313,9.3,330,309,16,2,2,2,13,4,7,2,2,0,248,5,11,Matches
Callum Hudson-Odoi,eng ENG,"FW,MF",22-132,6.6,242,217,22,8,1,2,12,4,4,3,0,0,202,3,5,Matches
Nadiem Amiri,de GER,"MF,FW",26-143,8.0,356,333,21,10,3,2,11,1,6,1,5,0,303,2,12,Matches
Sardar Azmoun,ir IRN,"FW,MF",28-077,6.2,153,143,9,0,1,0,0,1,0,0,0,0,102,1,4,Matches
Charles Aránguiz,cl CHI,MF,33-336,5.5,311,290,20,12,0,0,12,1,7,4,3,0,248,1,3,Matches
Florian Wirtz,de GER,"MF,FW",19-320,4.9,246,219,26,8,9,6,15,1,11,3,5,0,189,1,4,Matches
Daley Sinkgraven,nl NED,"DF,MF",27-258,3.6,198,163,35,2,0,1,3,33,0,0,0,0,152,0,5,Matches
Timothy Fosu-Mensah,nl NED,DF,25-076,1.9,116,93,22,2,0,1,4,20,0,0,0,0,91,1,3,Matches
Andrey Lunyov,ru RUS,GK,31-126,1.0,44,39,5,2,0,0,0,0,0,0,0,0,35,0,0,Matches
Karim Bellarabi,de GER,FW,32-345,0.9,51,50,1,0,0,0,5,1,0,0,0,0,34,0,1,Matches
Paulinho,br BRA,FW,22-247,0.9,28,27,1,0,0,0,0,0,1,0,0,0,23,0,1,Matches
Joel Pohjanpalo,fi FIN,"FW,MF",28-187,0.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Ayman Azhil,ma MAR,MF,21-343,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.5,24.0,12996,11810,1150,346,37,54,329,473,99,44,38,0,10483,36,213,
Opponent Total,,,27.1,24.0,11690,10594,1045,277,23,69,351,457,85,44,34,1,9121,51,210,
