Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Lukáš Hrádecký,fi FIN,GK,33-115,23.0,568,788,72.1,14818,10702,124,127,97.6,267,271,98.5,174,386,45.1,0,0.0,0.0,0.0,0,7,1,0,0,Matches
Edmond Tapsoba,bf BFA,DF,24-045,22.9,1384,1617,85.6,26158,10129,512,567,90.3,715,778,91.9,144,236,61.0,0,0.9,1.1,-0.9,4,102,7,0,112,Matches
Moussa Diaby,fr FRA,"FW,MF",23-255,20.7,527,706,74.6,7915,1799,298,361,82.5,165,214,77.1,38,71,53.5,4,5.3,4.4,-1.3,42,34,37,12,68,Matches
Jeremie Frimpong,nl NED,"DF,MF",22-099,20.4,664,850,78.1,8643,2797,462,528,87.5,158,211,74.9,20,44,45.5,6,4.9,4.5,1.1,31,30,20,7,48,Matches
Robert Andrich,de GER,MF,28-178,19.7,921,1105,83.3,15130,4264,453,509,89.0,368,438,84.0,66,97,68.0,2,1.1,0.7,0.9,14,68,10,2,83,Matches
Jonathan Tah,de GER,DF,27-036,19.6,1032,1161,88.9,19600,6764,359,384,93.5,574,618,92.9,95,137,69.3,0,0.4,0.2,-0.4,5,37,1,0,35,Matches
Piero Hincapié,ec ECU,DF,21-069,18.6,1003,1220,82.2,16597,5245,493,535,92.1,433,498,86.9,66,140,47.1,0,0.7,0.6,-0.7,8,40,5,3,53,Matches
Mitchel Bakker,nl NED,"DF,MF",22-272,12.8,553,702,78.8,8624,2632,309,357,86.6,200,251,79.7,33,65,50.8,2,1.7,1.1,0.3,14,23,11,1,45,Matches
Exequiel Palacios,ar ARG,MF,24-165,12.3,689,805,85.6,10649,3255,349,392,89.0,272,302,90.1,38,55,69.1,2,1.0,1.2,1.0,11,58,10,1,72,Matches
Adam Hložek,cz CZE,"FW,MF",20-237,11.3,210,283,74.2,3104,895,126,153,82.4,54,71,76.1,19,28,67.9,3,2.5,1.3,0.5,18,20,6,0,29,Matches
Kerem Demirbay,de GER,MF,29-259,12.0,576,766,75.2,9995,3276,275,315,87.3,218,264,82.6,64,144,44.4,3,2.0,3.2,1.0,20,50,10,4,63,Matches
Odilon Kossonou,ci CIV,DF,22-074,10.9,553,664,83.3,9122,3243,255,283,90.1,255,288,88.5,32,59,54.2,1,0.1,0.6,0.9,3,41,2,1,44,Matches
Patrik Schick,cz CZE,FW,27-054,10.5,176,253,69.6,2172,435,110,153,71.9,48,70,68.6,3,5,60.0,1,0.6,0.4,0.4,10,3,7,1,11,Matches
Amine Adli,fr FRA,"FW,MF",22-313,9.3,248,330,75.2,3475,792,143,179,79.9,75,92,81.5,13,22,59.1,2,1.1,1.3,0.9,14,18,6,0,30,Matches
Callum Hudson-Odoi,eng ENG,"FW,MF",22-132,6.6,202,242,83.5,3353,760,112,126,88.9,66,76,86.8,21,29,72.4,1,0.8,0.9,0.2,13,18,7,1,31,Matches
Nadiem Amiri,de GER,"MF,FW",26-143,8.0,303,356,85.1,4970,1220,152,164,92.7,109,120,90.8,31,45,68.9,1,0.8,1.3,0.2,11,31,6,1,39,Matches
Sardar Azmoun,ir IRN,"FW,MF",28-077,6.2,102,153,66.7,1552,582,54,75,72.0,25,38,65.8,12,16,75.0,1,2.1,0.9,-1.1,10,14,6,0,25,Matches
Charles Aránguiz,cl CHI,MF,33-336,5.5,248,311,79.7,3706,1211,136,154,88.3,84,96,87.5,15,39,38.5,0,0.2,0.2,-0.2,3,21,3,0,32,Matches
Florian Wirtz,de GER,"MF,FW",19-320,4.9,189,246,76.8,3287,986,93,110,84.5,58,74,78.4,29,47,61.7,4,1.3,1.2,2.7,14,22,11,2,33,Matches
Daley Sinkgraven,nl NED,"DF,MF",27-258,3.6,152,198,76.8,2374,659,90,100,90.0,47,61,77.0,13,30,43.3,1,1.0,0.3,0.0,5,10,1,1,8,Matches
Timothy Fosu-Mensah,nl NED,DF,25-076,1.9,91,116,78.4,1245,303,60,67,89.6,27,33,81.8,2,9,22.2,0,0.3,0.2,-0.3,4,2,2,1,7,Matches
Andrey Lunyov,ru RUS,GK,31-126,1.0,35,44,79.5,880,696,9,9,100.0,17,19,89.5,9,16,56.3,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Karim Bellarabi,de GER,FW,32-345,0.9,34,51,66.7,440,160,23,30,76.7,11,18,61.1,0,2,0.0,0,0.0,0.0,0.0,0,4,0,0,3,Matches
Paulinho,br BRA,FW,22-247,0.9,23,28,82.1,279,86,16,19,84.2,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,1,0,0,4,Matches
Joel Pohjanpalo,fi FIN,"FW,MF",28-187,0.0,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Ayman Azhil,ma MAR,MF,21-343,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.5,24.0,10483,12996,80.7,178088,62891,5013,5697,88.0,4251,4907,86.6,937,1723,54.4,34,28.6,25.7,5.4,254,655,169,38,875,
Opponent Total,,,27.1,24.0,9121,11690,78.0,167302,62396,3873,4463,86.8,4047,4740,85.4,992,1862,53.3,21,19.7,25.0,1.3,187,678,172,36,864,
