Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Lukáš Hrádecký,fi FIN,GK,33-115,23,2069.0,90.0,95.8,23.0,23,90.0,22,0,,0,1.48,42.0,37.0,5.0,0.22,1.21,33.8,30.6,3.3,0.14,-1.82,Matches
Edmond Tapsoba,bf BFA,DF,24-045,24,2061.0,86.0,95.4,22.9,23,88.0,21,1,29.0,0,1.42,40.0,37.0,3.0,0.13,-0.78,35.5,30.0,5.6,0.24,0.53,Matches
Moussa Diaby,fr FRA,"FW,MF",23-255,23,1860.0,81.0,86.1,20.7,23,81.0,11,0,,0,1.48,36.0,30.0,6.0,0.29,0.89,31.3,25.4,5.8,0.28,0.45,Matches
Jeremie Frimpong,nl NED,"DF,MF",22-099,24,1838.0,77.0,85.1,20.4,22,80.0,9,2,41.0,0,1.42,38.0,31.0,7.0,0.34,1.18,32.2,25.2,6.9,0.34,0.8,Matches
Robert Andrich,de GER,MF,28-178,22,1776.0,81.0,82.2,19.7,21,84.0,17,1,15.0,0,1.41,39.0,34.0,5.0,0.25,0.49,30.1,27.5,2.6,0.13,-0.5,Matches
Jonathan Tah,de GER,DF,27-036,23,1763.0,77.0,81.6,19.6,20,86.0,17,3,18.0,0,1.43,32.0,36.0,-4.0,-0.2,-2.02,27.4,26.8,0.6,0.03,-1.04,Matches
Piero Hincapié,ec ECU,DF,21-069,21,1671.0,80.0,77.4,18.6,18,86.0,11,3,39.0,0,1.52,35.0,25.0,10.0,0.54,1.64,26.3,23.1,3.2,0.17,-0.2,Matches
Mitchel Bakker,nl NED,"DF,MF",22-272,19,1148.0,60.0,53.1,12.8,13,81.0,7,6,16.0,3,1.42,26.0,19.0,7.0,0.55,0.82,18.9,15.0,3.9,0.31,0.19,Matches
Exequiel Palacios,ar ARG,MF,24-165,18,1105.0,61.0,51.2,12.3,13,75.0,6,5,26.0,1,1.61,22.0,17.0,5.0,0.41,0.49,18.8,13.6,5.2,0.42,0.42,Matches
Adam Hložek,cz CZE,"FW,MF",20-237,21,1017.0,48.0,47.1,11.3,13,65.0,0,8,22.0,3,1.33,20.0,15.0,5.0,0.44,0.52,17.4,13.6,3.9,0.34,0.23,Matches
Kerem Demirbay,de GER,MF,29-259,19,1077.0,57.0,49.9,12.0,12,74.0,2,7,27.0,5,1.16,18.0,22.0,-4.0,-0.33,-1.0,19.0,16.0,3.1,0.26,0.08,Matches
Odilon Kossonou,ci CIV,DF,22-074,18,983.0,55.0,45.5,10.9,11,80.0,7,7,15.0,5,1.56,25.0,18.0,7.0,0.64,0.87,18.9,15.5,3.5,0.32,0.18,Matches
