Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Lukáš Hrádecký,fi FIN,GK,33-129,25.0,904,789,897,7,0,0,904,0,0,,0,,519,2935,1719,0,0,0,1,0,438,0,Matches
Edmond Tapsoba,bf BFA,DF,24-059,24.9,1967,201,935,974,67,15,1965,15,8,53.3,2,13.3,1138,6747,4019,30,10,0,9,9,1273,4,Matches
Moussa Diaby,fr FRA,"FW,MF",23-269,22.7,961,3,67,408,497,106,960,80,34,42.5,39,48.8,625,4343,2441,95,55,47,45,31,782,197,Matches
Jeremie Frimpong,nl NED,"DF,MF",22-113,22.3,1205,33,255,503,473,95,1205,129,69,53.5,33,25.6,680,5814,3659,133,86,37,67,40,765,174,Matches
Robert Andrich,de GER,MF,28-192,21.7,1396,92,444,818,141,13,1396,6,5,83.3,1,16.7,579,2773,1357,11,15,1,16,3,880,6,Matches
Jonathan Tah,de GER,DF,27-050,20.6,1390,172,736,625,35,17,1390,5,4,80.0,1,20.0,729,3741,1729,3,4,0,2,9,929,4,Matches
Piero Hincapié,ec ECU,DF,21-083,20.5,1540,135,653,764,131,24,1540,27,12,44.4,13,48.1,817,4220,2497,35,23,6,15,9,996,26,Matches
Exequiel Palacios,ar ARG,MF,24-179,14.0,1092,44,282,666,157,9,1090,10,6,60.0,4,40.0,542,1993,859,7,13,1,16,19,715,25,Matches
Kerem Demirbay,de GER,MF,29-273,13.2,971,29,183,548,245,12,971,21,7,33.3,11,52.4,477,2486,1194,19,15,4,20,19,616,16,Matches
Mitchel Bakker,nl NED,"DF,MF",22-286,12.9,831,22,247,412,182,21,831,26,7,26.9,15,57.7,401,1915,1019,20,13,6,18,10,509,52,Matches
Odilon Kossonou,ci CIV,DF,22-088,12.9,868,79,368,446,62,4,868,12,7,58.3,4,33.3,476,2527,1471,18,12,0,15,11,539,12,Matches
Adam Hložek,cz CZE,"FW,MF",20-251,11.4,412,10,41,205,170,37,412,20,8,40.0,6,30.0,203,910,444,19,11,9,28,15,293,59,Matches
Amine Adli,fr FRA,"FW,MF",22-327,11.0,546,7,57,277,216,44,546,41,16,39.0,15,36.6,311,1664,854,32,17,9,44,15,410,89,Matches
Patrik Schick,cz CZE,FW,27-068,10.5,358,8,22,168,172,48,358,16,7,43.8,8,50.0,195,697,234,8,9,3,28,13,298,68,Matches
Callum Hudson-Odoi,eng ENG,"FW,MF",22-146,6.7,288,6,32,145,117,10,288,28,14,50.0,10,35.7,193,1610,893,30,23,6,7,14,240,44,Matches
Nadiem Amiri,de GER,"MF,FW",26-157,8.0,441,9,66,258,123,9,441,31,14,45.2,13,41.9,247,1556,773,22,21,4,10,4,311,26,Matches
Florian Wirtz,de GER,"FW,MF",19-334,6.8,412,5,48,226,146,16,412,44,25,56.8,19,43.2,236,1319,669,20,15,5,26,15,293,41,Matches
Sardar Azmoun,ir IRN,"FW,MF",28-091,6.5,234,6,25,122,94,38,234,6,3,50.0,3,50.0,113,438,200,5,4,6,18,8,174,39,Matches
Charles Aránguiz,cl CHI,MF,33-350,5.5,368,9,84,225,61,8,368,7,4,57.1,1,14.3,172,681,278,3,3,0,8,2,244,7,Matches
Daley Sinkgraven,nl NED,"DF,MF",27-272,3.7,248,13,78,111,60,7,248,5,3,60.0,2,40.0,124,585,296,8,6,1,3,7,155,17,Matches
Timothy Fosu-Mensah,nl NED,DF,25-090,2.0,134,1,30,65,39,3,134,1,0,0.0,1,100.0,41,174,109,3,2,0,2,1,86,8,Matches
Andrey Lunyov,ru RUS,GK,31-140,1.0,45,34,44,1,0,0,45,0,0,,0,,35,177,134,0,0,0,0,0,29,0,Matches
Karim Bellarabi,de GER,FW,32-359,0.9,60,1,9,23,29,3,60,4,1,25.0,3,75.0,34,170,81,3,3,1,0,1,47,10,Matches
Paulinho,br BRA,FW,22-261,0.9,38,2,4,18,17,3,38,4,2,50.0,2,50.0,22,175,58,3,2,3,2,1,26,8,Matches
Joel Pohjanpalo,fi FIN,"FW,MF",28-201,0.0,1,0,0,1,0,0,1,0,0,,0,,1,6,2,0,0,0,0,0,1,0,Matches
Ayman Azhil,ma MAR,MF,21-357,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.5,26.0,16710,1710,5607,8016,3234,542,16705,538,256,47.6,206,38.3,8910,49656,26989,527,362,149,400,256,11049,932,
Opponent Total,,,27.2,26.0,15518,1581,4985,7283,3397,538,15512,365,138,37.8,187,51.2,8678,43683,21275,359,273,105,386,199,9832,948,
