Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Joshua Kimmich,de GER,MF,28-057,25,2126.0,85.0,90.9,23.6,24,87.0,21,1,45.0,0,2.08,71.0,28.0,43.0,1.82,0.14,50.9,27.0,23.9,1.01,-0.2,Matches
Dayot Upamecano,fr FRA,DF,24-161,24,2067.0,86.0,88.3,23.0,24,86.0,22,0,,0,2.04,66.0,24.0,42.0,1.83,0.18,50.0,24.0,26.0,1.13,0.89,Matches
Alphonso Davies,ca CAN,DF,22-155,23,1913.0,83.0,81.8,21.3,22,85.0,16,1,45.0,0,2.0,58.0,24.0,34.0,1.6,-1.14,43.5,23.7,19.8,0.93,-0.55,Matches
Benjamin Pavard,fr FRA,DF,27-009,23,1801.0,78.0,77.0,20.0,20,87.0,17,3,23.0,3,2.3,61.0,23.0,38.0,1.9,0.4,44.2,21.7,22.5,1.13,0.41,Matches
Jamal Musiala,de GER,"MF,FW",20-039,25,1691.0,68.0,72.3,18.8,20,77.0,5,5,30.0,0,2.08,52.0,21.0,31.0,1.65,-0.57,39.8,21.9,17.9,0.95,-0.28,Matches
Matthijs de Ligt,nl NED,DF,23-237,23,1689.0,73.0,72.2,18.8,19,85.0,15,4,19.0,1,2.0,52.0,18.0,34.0,1.81,0.01,36.9,19.5,17.4,0.93,-0.37,Matches
Leon Goretzka,de GER,MF,28-059,20,1408.0,70.0,60.2,15.6,18,76.0,6,2,16.0,1,2.05,43.0,18.0,25.0,1.6,-0.53,31.9,20.8,11.1,0.71,-0.8,Matches
Leroy Sané,de GER,"MF,FW",27-085,24,1579.0,66.0,67.5,17.5,16,82.0,9,8,34.0,0,2.04,46.0,20.0,26.0,1.48,-1.0,32.8,20.3,12.5,0.72,-0.97,Matches
Serge Gnabry,de GER,"FW,MF",27-266,26,1342.0,52.0,57.4,14.9,15,70.0,4,11,27.0,0,2.12,46.0,17.0,29.0,1.94,0.32,33.4,17.0,16.4,1.1,0.17,Matches
Thomas Müller,de GER,"FW,MF",33-205,19,1127.0,59.0,48.2,12.5,15,70.0,5,4,20.0,0,1.89,36.0,8.0,28.0,2.24,0.83,29.0,10.4,18.7,1.49,0.89,Matches
Sadio Mané,sn SEN,FW,30-361,19,1098.0,58.0,46.9,12.2,14,70.0,3,5,23.0,0,2.26,38.0,15.0,23.0,1.89,0.15,27.0,13.6,13.4,1.1,0.13,Matches
Eric Maxim Choupo-Moting,cm CMR,FW,34-014,18,1092.0,61.0,46.7,12.1,14,74.0,4,4,15.0,1,2.11,37.0,12.0,25.0,2.06,0.47,27.8,13.0,14.8,1.22,0.35,Matches
Manuel Neuer,de GER,GK,37-010,12,1080.0,90.0,46.2,12.0,12,90.0,12,0,,0,2.08,36.0,11.0,25.0,2.08,0.51,27.6,11.4,16.2,1.35,0.59,Matches
Yann Sommer,ch SUI,GK,34-110,11,990.0,90.0,42.3,11.0,11,90.0,11,0,,0,1.91,27.0,16.0,11.0,1.0,-1.4,20.4,14.1,6.2,0.57,-0.8,Matches
Kingsley Coman,fr FRA,"FW,MF",26-297,18,998.0,55.0,42.6,11.1,10,72.0,2,8,35.0,1,2.17,34.0,9.0,25.0,2.25,0.78,25.4,9.9,15.5,1.4,0.64,Matches
Marcel Sabitzer,at AUT,MF,29-020,15,628.0,42.0,26.8,7.0,7,67.0,2,8,20.0,3,2.27,22.0,3.0,19.0,2.72,1.25,16.9,3.7,13.2,1.89,1.17,Matches
Noussair Mazraoui,ma MAR,DF,25-143,12,569.0,47.0,24.3,6.3,6,78.0,3,6,17.0,6,2.42,25.0,10.0,15.0,2.37,0.75,14.9,9.3,5.6,0.89,-0.19,Matches
Lucas Hernández,fr FRA,DF,27-051,7,476.0,68.0,20.3,5.3,6,75.0,2,1,27.0,2,2.71,19.0,3.0,16.0,3.03,1.53,16.0,4.2,11.8,2.23,1.5,Matches
João Cancelo,pt POR,"DF,FW",28-314,7,371.0,53.0,15.9,4.1,4,68.0,1,3,33.0,1,2.14,13.0,7.0,6.0,1.46,-0.42,6.1,7.3,-1.2,-0.3,-1.58,Matches
Josip Stanišić,hr CRO,DF,23-004,11,470.0,43.0,20.1,5.2,3,85.0,1,8,27.0,13,1.91,11.0,7.0,4.0,0.77,-1.3,10.9,5.5,5.4,1.03,0.0,Matches
Sven Ulreich,de GER,GK,34-246,3,270.0,90.0,11.5,3.0,3,90.0,3,0,,22,3.0,15.0,2.0,13.0,4.33,2.86,7.6,3.3,4.4,1.45,0.48,Matches
Ryan Gravenberch,nl NED,MF,20-325,16,323.0,20.0,13.8,3.6,1,45.0,0,15,19.0,8,2.31,10.0,7.0,3.0,0.84,-1.13,5.8,4.4,1.3,0.37,-0.76,Matches
Mathys Tel,fr FRA,FW,17-344,16,319.0,20.0,13.6,3.5,1,60.0,0,15,17.0,8,2.13,13.0,5.0,8.0,2.26,0.52,7.6,3.6,4.0,1.12,0.1,Matches
Daley Blind,nl NED,"DF,MF",33-028,4,134.0,34.0,5.7,1.5,1,90.0,1,3,15.0,7,2.25,3.0,5.0,-2.0,-1.34,-3.34,2.8,3.6,-0.8,-0.55,-1.68,Matches
Paul Wanner,de GER,MF,17-104,2,25.0,13.0,1.1,0.3,0,,0,2,13.0,8,3.0,0.0,1.0,-1.0,-3.6,-5.47,0.2,0.2,0.0,0.04,-1.0,Matches
Gabriel Vidovic,hr CRO,FW,19-126,1,19.0,19.0,0.8,0.2,0,,0,1,19.0,0,3.0,1.0,0.0,1.0,4.74,2.95,0.1,0.3,-0.2,-0.76,-1.81,Matches
Arijon Ibrahimović,de GER,MF,17-116,1,14.0,14.0,0.6,0.2,0,,0,1,14.0,3,3.0,0.0,0.0,0.0,0.0,-1.82,0.9,0.0,0.9,5.71,4.71,Matches
Gabriel Marušić,hr CRO,DF,20-034,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Tanguy Nianzou,fr FRA,DF,20-303,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Bouna Sarr,sn SEN,"DF,MF",31-065,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Johannes Schenk,de GER,GK,20-083,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Joshua Zirkzee,nl NED,FW,21-319,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.3,26,2340.0,90.0,100.0,26.0,286,80.0,165,119,23.0,105,2.12,76.0,29.0,47.0,1.81,,55.6,28.8,26.8,1.03,,
Opponent Total,,,27.1,26,2340.0,90.0,100.0,26.0,286,80.0,165,119,23.0,109,0.62,29.0,76.0,-47.0,-1.81,,28.8,55.6,-26.8,-1.03,,
