Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Joshua Kimmich,de GER,MF,28-054,23.6,2263,86,464,1214,602,16,2263,18,8,44.4,6,33.3,1292,6277,2365,28,20,4,22,20,1527,44,Matches
Dayot Upamecano,fr FRA,DF,24-158,23.0,2245,208,998,1176,84,17,2245,14,9,64.3,5,35.7,1611,8175,4664,28,25,2,16,9,1656,7,Matches
Alphonso Davies,ca CAN,DF,22-152,21.3,1726,48,414,846,503,77,1726,127,65,51.2,49,38.6,1140,7117,4128,109,60,33,48,27,1147,145,Matches
Benjamin Pavard,fr FRA,DF,27-006,20.0,1952,119,747,934,276,29,1952,4,0,0.0,1,25.0,1185,4998,2573,27,17,2,9,2,1381,58,Matches
Jamal Musiala,de GER,"MF,FW",20-036,18.8,1044,13,100,496,464,114,1044,98,49,50.0,43,43.9,774,4309,1998,64,45,27,66,59,816,155,Matches
Matthijs de Ligt,nl NED,DF,23-234,18.8,1624,152,731,816,85,26,1624,2,0,0.0,2,100.0,1128,5362,2833,13,8,0,10,2,1185,8,Matches
Leon Goretzka,de GER,MF,28-056,15.6,1003,45,233,527,255,37,1003,15,9,60.0,4,26.7,506,2383,1372,35,23,5,15,8,638,49,Matches
Leroy Sané,de GER,"MF,FW",27-082,17.5,1128,7,94,511,551,80,1128,110,64,58.2,42,38.2,757,4682,1973,60,50,22,46,49,933,146,Matches
Serge Gnabry,de GER,"FW,MF",27-263,14.9,858,5,99,350,420,101,857,47,22,46.8,20,42.6,562,3100,1507,55,37,31,37,19,659,158,Matches
Thomas Müller,de GER,"FW,MF",33-202,12.5,692,11,61,269,363,83,692,10,4,40.0,6,60.0,393,1328,654,25,13,9,34,11,550,138,Matches
Sadio Mané,sn SEN,FW,30-358,12.2,488,7,28,175,294,100,486,41,20,48.8,19,46.3,336,2122,1062,49,19,29,44,14,387,136,Matches
Eric Maxim Choupo-Moting,cm CMR,FW,34-011,12.1,397,6,19,168,211,67,396,29,20,69.0,6,20.7,246,933,251,10,5,6,31,15,310,76,Matches
Manuel Neuer,de GER,GK,37-007,12.0,528,436,519,8,2,2,528,0,0,,0,,338,1534,910,0,0,0,1,0,318,0,Matches
Yann Sommer,ch SUI,GK,34-107,11.0,480,373,475,5,0,0,480,1,1,100.0,0,0.0,327,1348,684,0,0,0,0,1,316,0,Matches
Kingsley Coman,fr FRA,"FW,MF",26-294,11.1,728,7,49,245,446,64,728,66,31,47.0,26,39.4,522,3364,1864,72,36,29,33,17,580,213,Matches
Marcel Sabitzer,at AUT,MF,29-017,7.0,548,10,88,323,141,9,548,3,1,33.3,2,66.7,312,1283,572,7,8,0,6,3,368,19,Matches
Noussair Mazraoui,ma MAR,DF,25-140,6.3,518,15,157,240,124,12,518,13,6,46.2,5,38.5,307,1356,751,14,12,2,5,1,360,25,Matches
Lucas Hernández,fr FRA,DF,27-048,5.3,407,20,153,222,33,2,407,3,1,33.3,1,33.3,267,1151,657,3,3,0,1,0,302,4,Matches
João Cancelo,pt POR,"DF,FW",28-311,4.1,335,15,87,155,95,16,335,24,10,41.7,10,41.7,202,911,429,10,8,6,6,1,225,35,Matches
Josip Stanišić,hr CRO,DF,23-001,5.2,547,18,141,315,95,4,547,7,4,57.1,1,14.3,346,1603,904,10,14,1,4,3,394,31,Matches
Sven Ulreich,de GER,GK,34-243,3.0,139,123,139,1,0,0,139,0,0,,0,,97,441,217,0,0,0,0,0,80,0,Matches
Ryan Gravenberch,nl NED,MF,20-322,3.6,264,7,46,140,85,7,264,13,7,53.8,5,38.5,177,855,393,7,11,1,12,9,190,18,Matches
Mathys Tel,fr FRA,FW,17-341,3.5,200,3,10,86,105,24,200,23,8,34.8,13,56.5,135,805,354,12,7,6,19,10,157,42,Matches
Daley Blind,nl NED,"DF,MF",33-025,1.5,117,10,44,65,9,0,117,0,0,,0,,62,258,134,0,0,0,1,0,74,0,Matches
Paul Wanner,de GER,MF,17-101,0.3,13,1,3,6,4,2,13,2,2,100.0,0,0.0,10,67,22,1,1,1,0,4,11,4,Matches
Gabriel Vidovic,hr CRO,FW,19-123,0.2,14,0,1,6,7,2,14,0,0,,0,,7,21,8,0,0,0,0,0,12,2,Matches
Arijon Ibrahimović,de GER,MF,17-113,0.2,13,0,3,6,4,2,13,1,0,0.0,0,0.0,6,9,8,0,1,0,0,0,9,2,Matches
Squad Total,,,27.3,26.0,20271,1745,5903,9305,5258,893,20267,671,341,50.8,266,39.6,13045,65792,33287,639,423,216,466,284,14585,1515,
Opponent Total,,,27.1,26.0,13108,1984,5306,5253,2700,423,13101,431,175,40.6,223,51.7,6659,33826,15584,268,238,71,394,276,7318,666,
