Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Manuel Riemann,de GER,GK,34-191,25.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Anthony Losilla,fr FRA,MF,37-009,22.4,0,15,4,26.7,0.67,0.18,0.0,0.0,16.1,0,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
Kevin Stöger,at AUT,MF,29-204,21.5,2,34,7,20.6,1.58,0.33,0.03,0.14,24.9,5,1,1,2.4,1.7,0.05,-0.4,-0.7,Matches
Philipp Hofmann,de GER,FW,29-354,21.1,7,34,15,44.1,1.61,0.71,0.21,0.47,14.0,0,0,0,5.7,5.7,0.17,1.3,1.3,Matches
Ivan Ordets,ua UKR,DF,30-254,18.5,0,6,0,0.0,0.32,0.0,0.0,,12.0,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Danilo Soares,br BRA,DF,31-141,15.2,0,1,0,0.0,0.07,0.0,0.0,,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Simon Zoller,de GER,FW,31-266,14.2,3,26,8,30.8,1.84,0.56,0.12,0.38,12.8,0,0,0,3.8,3.8,0.15,-0.8,-0.8,Matches
Cristian Gamboa,cr CRC,DF,33-146,14.1,0,7,1,14.3,0.5,0.07,0.0,0.0,30.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Erhan Mašović,rs SRB,DF,24-117,15.5,4,11,6,54.5,0.71,0.39,0.36,0.67,12.9,0,0,0,2.0,2.0,0.18,2.0,2.0,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",29-040,13.5,2,20,6,30.0,1.48,0.44,0.1,0.33,18.8,0,0,0,2.0,2.0,0.1,0.0,0.0,Matches
Takuma Asano,jp JPN,"FW,MF",28-129,11.2,1,29,10,34.5,2.6,0.9,0.03,0.1,18.6,0,0,0,2.6,2.6,0.09,-1.6,-1.6,Matches
Philipp Förster,de GER,MF,28-043,11.4,2,12,5,41.7,1.05,0.44,0.17,0.4,20.8,2,0,0,0.7,0.7,0.06,1.3,1.3,Matches
Saidy Janko,gm GAM,DF,27-148,9.0,0,1,0,0.0,0.11,0.0,0.0,,21.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Gerrit Holtmann,ph PHI,FW,27-359,9.5,1,25,13,52.0,2.63,1.37,0.04,0.08,19.6,0,0,0,2.1,2.1,0.08,-1.1,-1.1,Matches
Kostas Stafylidis,gr GRE,"DF,MF",29-107,8.9,0,10,0,0.0,1.12,0.0,0.0,,28.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Vassilis Lambropoulos,gr GRE,DF,32-353,6.8,0,6,0,0.0,0.88,0.0,0.0,,11.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Jordi Osei-Tutu,eng ENG,"DF,FW",24-168,7.2,0,12,5,41.7,1.66,0.69,0.0,0.0,19.9,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Patrick Osterhage,de GER,MF,23-046,7.1,0,4,0,0.0,0.56,0.0,0.0,,21.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Keven Schlotterbeck,de GER,DF,25-325,6.2,1,4,1,25.0,0.65,0.16,0.25,1.0,10.6,0,0,0,1.0,1.0,0.24,0.0,0.0,Matches
Dominique Heintz,de GER,DF,29-216,4.7,0,1,0,0.0,0.21,0.0,0.0,,8.5,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
Pierre Kunde,cm CMR,MF,27-236,3.6,1,4,1,25.0,1.13,0.28,0.25,1.0,24.7,0,0,0,0.3,0.3,0.08,0.7,0.7,Matches
Tim Oermann,de GER,DF,19-164,2.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jacek Góralski,pl POL,MF,30-179,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jannes Horn,de GER,"DF,FW",26-041,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Silvère Ganvoula M'Boussy,cg CGO,"FW,MF",26-270,2.6,0,9,3,33.3,3.42,1.14,0.0,0.0,20.2,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Moritz Broschinski,de GER,"FW,MF",22-177,1.1,1,3,2,66.7,2.7,1.8,0.33,0.5,14.3,0,0,0,0.4,0.4,0.14,0.6,0.6,Matches
Squad Total,,,30.1,25.0,25,274,87,31.8,10.96,3.48,0.09,0.28,18.5,7,1,1,26.5,25.7,0.09,-1.5,-1.7,
Opponent Total,,,27.0,25.0,53,376,145,38.6,15.04,5.8,0.12,0.32,17.8,15,7,12,47.3,37.9,0.1,5.7,8.1,
