Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Nico Schlotterbeck,de GER,DF,23-123,24.7,31,1.25,23,0,2,3,1,2,6,0.24,4,0,0,0,0,2,Matches
Jude Bellingham,eng ENG,MF,19-278,24.1,98,4.07,73,0,9,7,8,1,13,0.54,10,0,1,0,2,0,Matches
Julian Brandt,de GER,"MF,FW",26-336,20.0,96,4.79,62,23,4,2,4,1,12,0.6,6,3,1,0,2,0,Matches
Raphaël Guerreiro,pt POR,"DF,MF",29-102,19.4,75,3.86,61,7,3,3,0,1,13,0.67,12,1,0,0,0,0,Matches
Gregor Kobel,ch SUI,GK,25-118,19.0,2,0.11,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Niklas Süle,de GER,DF,27-212,16.8,27,1.61,21,0,1,5,0,0,5,0.3,3,0,0,2,0,0,Matches
Mats Hummels,de GER,DF,34-108,15.6,22,1.41,19,1,0,2,0,0,2,0.13,2,0,0,0,0,0,Matches
Salih Özcan,tr TUR,MF,25-082,15.4,21,1.36,18,2,0,0,0,1,1,0.06,1,0,0,0,0,0,Matches
Marco Reus,de GER,"MF,FW",33-307,12.8,40,3.11,29,3,1,6,1,0,6,0.47,3,1,0,1,1,0,Matches
Donyell Malen,nl NED,FW,24-074,12.3,49,3.98,30,6,8,1,4,0,9,0.73,6,0,2,0,1,0,Matches
Marius Wolf,de GER,DF,27-311,13.7,36,2.63,26,0,7,1,1,1,4,0.29,3,0,1,0,0,0,Matches
Emre Can,de GER,MF,29-081,13.1,18,1.37,16,1,0,0,1,0,2,0.15,2,0,0,0,0,0,Matches
Karim Adeyemi,de GER,"FW,MF",21-075,8.9,33,3.72,24,0,2,3,3,1,7,0.79,5,0,1,1,0,0,Matches
Youssoufa Moukoko,de GER,FW,18-134,10.9,19,1.75,13,0,5,1,0,0,5,0.46,4,0,1,0,0,0,Matches
Julian Ryerson,no NOR,DF,25-137,8.3,13,1.56,12,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Anthony Modeste,fr FRA,FW,34-354,8.9,11,1.24,9,0,0,2,0,0,1,0.11,1,0,0,0,0,0,Matches
Alexander Meyer,de GER,GK,31-355,7.0,1,0.14,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Sébastien Haller,ci CIV,FW,28-285,6.9,15,2.17,9,0,1,4,1,0,3,0.43,2,0,1,0,0,0,Matches
Thomas Meunier,be BEL,DF,31-203,6.5,17,2.62,15,1,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Gio Reyna,us USA,"FW,MF",20-141,5.9,16,2.71,13,0,0,2,1,0,2,0.34,1,0,0,0,1,0,Matches
Jamie Bynoe-Gittens,eng ENG,"FW,MF",18-238,5.4,18,3.31,11,0,4,2,1,0,8,1.47,7,0,1,0,0,0,Matches
Mahmoud Dahoud,de GER,MF,27-092,3.7,6,1.6,5,0,0,1,0,0,1,0.27,0,0,0,1,0,0,Matches
Thorgan Hazard,be BEL,"FW,DF",30-005,5.2,23,4.45,16,4,0,3,0,0,0,0.0,0,0,0,0,0,0,Matches
Felix Passlack,de GER,DF,24-309,0.5,2,3.67,1,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Tom Rothe,de GER,DF,18-156,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Justin Njinmah,de GER,FW,22-139,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Antonios Papadopoulos,de GER,DF,23-205,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marco Pašalić,hr CRO,MF,22-201,0.1,1,8.18,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.5,26.0,690,26.54,510,49,47,48,28,8,100,3.85,72,5,9,5,7,2,
Opponent Total,,,27.2,26.0,562,21.62,394,61,25,39,31,12,55,2.12,43,4,1,5,1,1,
