Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Nico Schlotterbeck,de GER,DF,23-108,24.3,3,0,0,14,17,1,11,30,32,0,0,0,184,60,32,65.2,Matches
Jude Bellingham,eng ENG,MF,19-263,23.1,6,0,0,28,61,2,22,29,33,0,0,0,161,30,25,54.5,Matches
Julian Brandt,de GER,"MF,FW",26-321,19.5,2,0,0,8,14,5,127,14,14,0,0,0,107,7,20,25.9,Matches
Raphaël Guerreiro,pt POR,"DF,MF",29-087,18.4,3,0,0,5,6,2,52,26,13,0,0,0,127,4,9,30.8,Matches
Gregor Kobel,ch SUI,GK,25-103,18.0,0,0,0,0,2,0,0,0,0,0,0,0,30,3,0,100.0,Matches
Niklas Süle,de GER,DF,27-197,15.8,1,0,0,6,4,0,10,11,11,0,0,0,98,21,14,60.0,Matches
Mats Hummels,de GER,DF,34-093,15.1,4,0,0,14,9,1,3,23,21,0,0,0,86,48,24,66.7,Matches
Salih Özcan,tr TUR,MF,25-067,14.9,6,0,0,19,23,0,3,21,14,0,0,0,105,18,15,54.5,Matches
Donyell Malen,nl NED,FW,24-059,11.8,0,0,0,10,26,3,43,4,4,1,0,0,31,5,9,35.7,Matches
Marco Reus,de GER,"MF,FW",33-292,12.2,2,0,0,15,15,3,14,5,14,1,0,0,41,8,17,32.0,Matches
Marius Wolf,de GER,DF,27-296,12.7,1,0,0,9,17,3,41,17,12,0,0,0,68,5,3,62.5,Matches
Karim Adeyemi,de GER,"FW,MF",21-060,8.9,5,0,0,11,18,0,15,6,7,0,0,0,43,7,2,77.8,Matches
Emre Can,de GER,MF,29-066,12.1,5,0,0,17,16,0,0,15,20,0,0,0,104,22,9,71.0,Matches
Youssoufa Moukoko,de GER,FW,18-119,10.5,0,0,0,6,7,1,3,1,6,0,0,0,28,5,3,62.5,Matches
Julian Ryerson,no NOR,DF,25-122,7.8,2,0,0,10,7,1,22,6,5,0,0,0,46,5,5,50.0,Matches
Anthony Modeste,fr FRA,FW,34-339,8.9,4,0,0,14,7,6,2,2,4,0,0,0,15,32,34,48.5,Matches
Alexander Meyer,de GER,GK,31-340,7.0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0,Matches
Thomas Meunier,be BEL,DF,31-188,6.5,2,0,0,12,4,1,16,9,7,0,0,0,44,7,3,70.0,Matches
Sébastien Haller,ci CIV,FW,28-270,6.2,0,0,0,6,8,0,1,0,0,0,0,0,14,20,21,48.8,Matches
Gio Reyna,us USA,"FW,MF",20-126,5.9,1,0,0,5,15,1,13,3,5,0,0,0,20,5,12,29.4,Matches
Jamie Bynoe-Gittens,eng ENG,"FW,MF",18-223,5.4,0,0,0,9,16,0,5,0,4,0,0,0,21,8,10,44.4,Matches
Mahmoud Dahoud,de GER,MF,27-077,3.4,1,0,0,2,2,0,3,7,8,0,0,0,24,1,3,25.0,Matches
Thorgan Hazard,be BEL,"FW,DF",29-355,5.2,1,0,0,14,5,4,37,5,6,0,0,0,44,4,8,33.3,Matches
Felix Passlack,de GER,DF,24-294,0.5,0,0,0,0,1,0,2,0,0,0,0,0,4,1,1,50.0,Matches
Tom Rothe,de GER,DF,18-141,0.3,0,0,0,2,0,0,2,1,1,0,0,0,4,0,0,,Matches
Justin Njinmah,de GER,FW,22-124,0.2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,,Matches
Antonios Papadopoulos,de GER,DF,23-190,0.1,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0,100.0,Matches
Marco Pašalić,hr CRO,MF,22-186,0.1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,,Matches
Squad Total,,,26.4,25.0,49,0,0,239,303,34,448,236,241,2,0,0,1468,328,279,54.0,
Opponent Total,,,27.2,25.0,60,3,2,316,231,63,365,263,314,0,2,2,1413,279,328,46.0,
