Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Nico Schlotterbeck,de GER,DF,23-108,25,2184.0,87.0,97.1,24.3,25,87.0,23,0,,0,2.12,54.0,31.0,23.0,0.95,-0.42,43.5,31.2,12.4,0.51,-0.88,Matches
Jude Bellingham,eng ENG,MF,19-263,24,2075.0,86.0,92.2,23.1,23,89.0,22,1,25.0,0,2.08,50.0,29.0,21.0,0.91,-0.63,41.7,30.1,11.6,0.5,-0.44,Matches
Julian Brandt,de GER,"MF,FW",26-321,23,1757.0,76.0,78.1,19.5,20,84.0,10,3,27.0,0,2.13,45.0,21.0,24.0,1.23,1.23,36.0,22.5,13.4,0.69,0.68,Matches
Raphaël Guerreiro,pt POR,"DF,MF",29-087,19,1660.0,87.0,73.8,18.4,19,87.0,14,0,,3,1.84,42.0,28.0,14.0,0.76,-0.77,35.9,24.0,11.9,0.64,0.41,Matches
Gregor Kobel,ch SUI,GK,25-103,18,1620.0,90.0,72.0,18.0,18,90.0,18,0,,2,2.33,40.0,19.0,21.0,1.17,0.74,32.7,22.3,10.4,0.58,0.15,Matches
Niklas Süle,de GER,DF,27-197,21,1422.0,68.0,63.2,15.8,16,86.0,13,5,9.0,2,2.05,38.0,23.0,15.0,0.95,-0.03,29.3,23.2,6.1,0.38,-0.42,Matches
Mats Hummels,de GER,DF,34-093,21,1357.0,65.0,60.3,15.1,16,83.0,12,5,6.0,3,2.24,29.0,17.0,12.0,0.8,-0.41,26.6,19.5,7.1,0.47,-0.17,Matches
Salih Özcan,tr TUR,MF,25-067,19,1341.0,71.0,59.6,14.9,16,79.0,9,3,24.0,3,2.11,28.0,16.0,12.0,0.81,-0.38,26.1,19.0,7.0,0.47,-0.16,Matches
Donyell Malen,nl NED,FW,24-059,17,1063.0,63.0,47.2,11.8,14,69.0,0,3,31.0,2,2.06,23.0,19.0,4.0,0.34,-1.18,22.5,15.1,7.4,0.63,0.17,Matches
Marco Reus,de GER,"MF,FW",33-292,16,1096.0,69.0,48.7,12.2,13,79.0,5,3,25.0,0,2.44,24.0,10.0,14.0,1.15,0.37,19.6,11.5,8.1,0.67,0.25,Matches
