Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Kevin Trapp,de GER,GK,32-254,23.0,408,620,65.8,10669,6984,82,83,98.8,211,215,98.1,113,315,35.9,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Obite N'Dicka,fr FRA,DF,23-211,22.9,1135,1323,85.8,19493,7889,497,537,92.6,544,605,89.9,78,145,53.8,0,0.1,0.2,-0.1,2,40,3,0,61,Matches
Tuta,br BRA,DF,23-258,22.9,1086,1359,79.9,20398,7322,372,415,89.6,605,700,86.4,97,203,47.8,0,0.4,0.5,-0.4,3,57,1,0,70,Matches
Mario Götze,de GER,MF,30-289,21.8,796,1062,75.0,11489,3346,453,527,86.0,250,326,76.7,45,95,47.4,1,4.4,4.3,-3.4,30,68,26,6,103,Matches
Randal Kolo Muani,fr FRA,FW,24-104,20.8,288,459,62.7,3810,828,175,258,67.8,81,121,66.9,12,23,52.2,10,3.6,3.1,6.4,24,18,19,2,42,Matches
Djibril Sow,ch SUI,MF,26-041,20.7,939,1107,84.8,15912,4919,410,467,87.8,442,489,90.4,62,90,68.9,0,0.8,0.9,-0.8,12,91,15,1,129,Matches
Jesper Lindstrøm,dk DEN,"MF,FW",23-018,17.0,292,463,63.1,3877,1042,188,250,75.2,72,114,63.2,14,38,36.8,2,2.8,3.1,-0.8,19,16,14,2,27,Matches
Daichi Kamada,jp JPN,"MF,FW",26-226,17.4,720,893,80.6,11934,3525,356,400,89.0,292,338,86.4,55,106,51.9,4,2.0,2.4,2.0,21,81,14,3,97,Matches
Kristijan Jakić,hr CRO,"DF,MF",25-309,14.0,576,759,75.9,10020,4253,246,290,84.8,278,331,84.0,42,98,42.9,0,0.7,0.8,-0.7,6,33,6,1,51,Matches
Ansgar Knauff,de GER,DF,21-068,11.5,343,524,65.5,5238,2268,177,228,77.6,140,206,68.0,18,42,42.9,1,1.3,1.5,-0.3,4,23,10,4,30,Matches
Sebastian Rode,de GER,MF,32-159,10.5,476,568,83.8,7585,2333,237,263,90.1,191,222,86.0,34,52,65.4,1,0.8,1.0,0.2,9,61,7,0,61,Matches
Junior Dina Ebimbe,fr FRA,"DF,MF",22-118,8.7,243,340,71.5,3625,1214,144,178,80.9,80,108,74.1,12,34,35.3,1,1.4,1.1,-0.4,8,19,6,1,28,Matches
Makoto Hasebe,jp JPN,DF,39-060,8.1,423,487,86.9,8324,2912,128,139,92.1,252,275,91.6,41,64,64.1,0,0.4,0.2,-0.4,1,16,2,0,20,Matches
Luca Pellegrini,it ITA,DF,24-012,6.2,292,431,67.7,5244,2035,140,164,85.4,106,137,77.4,38,90,42.2,0,0.8,0.9,-0.8,8,16,4,2,22,Matches
Philipp Max,de GER,DF,29-170,5.0,231,313,73.8,3693,1435,125,140,89.3,87,117,74.4,17,44,38.6,0,0.7,1.2,-0.7,6,19,8,3,20,Matches
Christopher Lenz,de GER,DF,28-178,7.6,303,411,73.7,5534,2253,135,154,87.7,116,151,76.8,43,84,51.2,2,1.4,1.8,0.6,14,22,12,7,28,Matches
Rafael Borré,co COL,"FW,MF",27-185,7.0,199,274,72.6,2862,626,123,150,82.0,55,76,72.4,12,21,57.1,2,1.3,1.5,0.7,10,12,4,2,20,Matches
Aurélio Buta,pt POR,DF,26-037,5.5,213,288,74.0,3139,1145,125,151,82.8,74,97,76.3,10,22,45.5,2,0.6,0.4,1.4,3,12,7,2,18,Matches
Hrvoje Smolčić,hr CRO,DF,22-214,4.2,217,271,80.1,3990,1764,83,96,86.5,116,132,87.9,16,33,48.5,0,0.0,0.0,0.0,0,7,0,0,14,Matches
Lucas Alario,ar ARG,"FW,MF",30-162,3.0,48,69,69.6,664,164,26,36,72.2,15,20,75.0,4,5,80.0,0,0.0,0.2,0.0,1,3,0,0,7,Matches
Almamy Touré,ml MLI,DF,26-325,1.8,80,101,79.2,1377,381,29,34,85.3,43,52,82.7,5,9,55.6,0,0.0,0.0,0.0,0,7,0,0,6,Matches
Diant Ramaj,de GER,GK,21-181,1.0,21,25,84.0,501,271,5,5,100.0,12,12,100.0,4,8,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Filip Kostić,rs SRB,"DF,MF",30-138,0.8,23,40,57.5,469,260,8,11,72.7,12,16,75.0,3,11,27.3,0,0.1,0.1,-0.1,1,1,1,0,4,Matches
Faride Alidou,de GER,"DF,MF",21-244,1.4,43,58,74.1,664,267,22,23,95.7,18,26,69.2,2,5,40.0,0,0.3,0.1,-0.3,1,5,5,1,10,Matches
Timothy Chandler,us USA,DF,32-355,0.9,31,53,58.5,680,507,7,19,36.8,16,22,72.7,7,9,77.8,0,0.0,0.0,0.0,1,7,0,0,7,Matches
Marcel Wenig,de GER,MF,18-319,0.0,9,10,90.0,120,11,7,7,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.7,24.0,9435,12308,76.7,161311,59954,4300,5025,85.6,4109,4910,83.7,785,1647,47.7,26,23.3,25.5,2.7,184,640,164,37,875,
Opponent Total,,,27.0,24.0,9410,12253,76.8,174862,63182,3733,4418,84.5,4438,5190,85.5,1027,1952,52.6,26,23.9,28.3,2.1,190,659,175,43,888,
