Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Mark Flekken,nl NED,GK,29-279,24,2160.0,90.0,100.0,24.0,24,90.0,24,0,,0,1.88,37.0,33.0,4.0,0.17,,34.2,32.7,1.5,0.06,,Matches
Matthias Ginter,de GER,DF,29-059,24,2160.0,90.0,100.0,24.0,24,90.0,24,0,,0,1.88,37.0,33.0,4.0,0.17,,34.2,32.7,1.5,0.06,,Matches
Christian Günter,de GER,"DF,MF",30-019,23,2035.0,88.0,94.2,22.6,23,88.0,22,0,,0,1.91,35.0,30.0,5.0,0.22,0.94,33.3,29.1,4.3,0.19,2.16,Matches
Nicolas Höfler,de GER,MF,33-010,23,2012.0,87.0,93.1,22.4,23,87.0,19,0,,0,1.83,34.0,30.0,4.0,0.18,0.18,32.2,29.5,2.7,0.12,0.81,Matches
Philipp Lienhart,at AUT,DF,26-251,23,2011.0,87.0,93.1,22.3,22,90.0,21,1,34.0,0,1.83,35.0,28.0,7.0,0.31,2.13,33.2,30.5,2.7,0.12,0.81,Matches
Michael Gregoritsch,at AUT,FW,28-335,23,1692.0,74.0,78.3,18.8,22,76.0,1,1,24.0,0,1.91,30.0,21.0,9.0,0.48,1.44,30.0,21.4,8.7,0.46,1.84,Matches
Ritsu Doan,jp JPN,"FW,MF",24-276,24,1686.0,70.0,78.1,18.7,21,75.0,1,3,34.0,0,1.88,34.0,25.0,9.0,0.48,1.43,29.6,22.7,6.9,0.37,1.39,Matches
Vincenzo Grifo,it ITA,"FW,MF",29-346,23,1607.0,70.0,74.4,17.9,20,78.0,0,3,18.0,0,1.96,32.0,18.0,14.0,0.78,2.41,29.0,20.6,8.4,0.47,1.57,Matches
Maximilian Eggestein,de GER,MF,26-101,23,1740.0,76.0,80.6,19.3,19,86.0,11,4,25.0,0,1.83,28.0,28.0,0.0,0.0,-0.86,23.9,27.0,-3.1,-0.16,-1.15,Matches
Kiliann Sildillia,fr FRA,"DF,MF",20-307,21,1651.0,79.0,76.4,18.3,19,85.0,16,2,16.0,2,1.71,27.0,26.0,1.0,0.05,-0.48,25.1,26.6,-1.5,-0.08,-0.61,Matches
Lukas Kübler,de GER,DF,30-201,13,1105.0,85.0,51.2,12.3,13,85.0,7,0,,6,2.08,22.0,13.0,9.0,0.73,1.16,19.0,15.6,3.4,0.28,0.44,Matches
