Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Oliver Baumann,de GER,GK,32-308,26.0,1164,934,1153,11,0,0,1164,0,0,,0,,729,3240,1731,0,0,0,0,0,617,0,Matches
Christoph Baumgartner,at AUT,"MF,FW",23-248,22.0,1062,32,161,520,399,94,1062,95,45,47.4,39,41.1,614,4081,2066,61,47,26,55,26,704,120,Matches
Angeliño,es ESP,DF,26-092,21.9,1366,52,360,598,415,25,1366,20,9,45.0,7,35.0,638,2486,1098,18,21,2,22,14,753,101,Matches
Ozan Kabak,tr TUR,DF,23-012,20.7,1328,141,660,606,80,24,1328,23,11,47.8,9,39.1,775,4121,2149,17,16,0,20,7,812,13,Matches
Dennis Geiger,de GER,MF,24-300,16.9,821,23,168,493,170,6,821,11,5,45.5,5,45.5,425,2379,1055,19,10,0,17,8,468,19,Matches
Kevin Vogt,de GER,DF,31-195,18.2,1270,169,671,586,17,0,1270,1,1,100.0,0,0.0,796,4979,3122,14,2,0,9,2,810,2,Matches
Andrej Kramarić,hr CRO,"MF,FW",31-291,19.0,905,9,85,475,354,84,901,34,16,47.1,16,47.1,589,2837,1086,31,21,12,45,28,679,153,Matches
Robert Skov,dk DEN,DF,26-321,13.7,831,28,193,342,307,35,829,26,7,26.9,15,57.7,424,2287,1130,41,24,11,19,11,446,89,Matches
Kevin Akpoguma,ng NGA,DF,27-352,16.2,996,94,448,472,84,16,996,21,7,33.3,13,61.9,520,2778,1213,15,13,3,15,5,561,23,Matches
Pavel Kadeřábek,cz CZE,DF,30-346,14.7,823,36,207,339,283,31,823,12,2,16.7,8,66.7,358,1662,887,24,17,4,9,7,448,91,Matches
Grischa Prömel,de GER,MF,28-087,11.9,486,23,116,242,131,32,486,9,3,33.3,4,44.4,244,1237,540,15,9,3,18,10,290,33,Matches
Stanley N'Soki,fr FRA,DF,23-362,12.2,805,52,347,432,32,7,805,17,10,58.8,5,29.4,529,2410,1277,13,4,0,12,4,525,9,Matches
Georginio Rutter,fr FRA,FW,20-351,11.2,338,9,27,98,219,67,338,71,34,47.9,34,47.9,235,1541,723,32,11,24,46,25,260,75,Matches
Ihlas Bebou,tg TOG,FW,28-348,8.1,286,6,21,133,137,32,286,28,9,32.1,18,64.3,155,848,336,13,8,6,35,12,184,59,Matches
John Brooks,us USA,DF,30-068,7.0,455,60,242,211,5,3,455,2,1,50.0,0,0.0,252,1121,500,1,1,0,1,0,255,1,Matches
Moanes Dabbur,il ISR,FW,30-327,7.3,291,0,14,142,138,33,291,17,8,47.1,9,52.9,181,711,211,7,4,3,19,17,216,42,Matches
Angelo Stiller,de GER,MF,22-002,6.8,396,7,81,207,112,10,396,4,1,25.0,2,50.0,195,847,336,4,7,0,15,11,226,16,Matches
Sebastian Rudy,de GER,MF,33-037,6.0,367,18,94,196,79,4,367,3,0,0.0,3,100.0,178,688,342,5,2,0,10,5,210,4,Matches
Kasper Dolberg,dk DEN,"FW,MF",25-182,3.8,115,5,13,46,58,14,115,5,2,40.0,3,60.0,65,400,154,4,6,2,21,5,78,18,Matches
Thomas Delaney,dk DEN,MF,31-215,3.3,191,10,80,90,22,0,191,6,2,33.3,3,50.0,105,321,132,0,0,0,1,2,112,3,Matches
Jacob Bruun Larsen,dk DEN,FW,24-199,3.3,110,1,8,50,54,16,110,7,2,28.6,5,71.4,69,436,146,9,4,5,9,6,75,23,Matches
Tom Bischof,de GER,"MF,FW",17-282,2.9,139,0,22,62,59,6,139,8,0,0.0,6,75.0,79,357,163,7,10,1,8,5,80,8,Matches
Umut Tohumcu,de GER,MF,18-238,2.6,98,5,18,58,23,1,98,5,1,20.0,4,80.0,50,228,95,2,3,0,6,1,50,2,Matches
Finn Ole Becker,de GER,MF,22-302,2.2,95,1,9,50,36,5,95,2,0,0.0,2,100.0,42,224,93,3,2,1,2,3,45,3,Matches
Muhammed Damar,de GER,MF,18-362,1.8,94,1,17,49,29,6,94,6,0,0.0,5,83.3,49,273,145,2,3,1,9,2,65,7,Matches
Eduardo Simões,pt POR,DF,21-035,1.0,81,4,25,53,4,1,81,2,1,50.0,0,0.0,56,228,133,4,1,0,1,0,51,0,Matches
Diadie Samassékou,ml MLI,"MF,FW",27-085,0.4,23,1,5,15,3,0,23,1,1,100.0,0,0.0,9,39,13,0,0,0,0,0,13,1,Matches
Stefan Posch,at AUT,DF,25-327,0.2,12,2,7,5,0,0,12,0,0,,0,,6,23,11,0,0,0,0,0,7,0,Matches
Ermin Bičakčić,ba BIH,DF,33-072,1.9,106,17,55,35,16,4,106,0,0,,0,,54,200,89,0,2,0,1,0,54,2,Matches
Fisnik Asllani,xk KVX,FW,20-241,1.9,95,3,8,36,53,16,95,3,1,33.3,2,66.7,56,182,103,4,3,3,7,2,75,19,Matches
Joshua Quarshie,de GER,MF,18-254,0.0,3,0,0,0,3,1,3,0,0,,0,,2,10,6,0,0,0,0,0,2,0,Matches
Squad Total,,,27.3,26.0,15152,1743,5315,6652,3322,573,15146,439,179,40.8,217,49.4,8479,43174,21085,365,251,107,432,218,9171,936,
Opponent Total,,,27.3,26.0,15324,1633,5181,6805,3514,607,15322,400,180,45.0,167,41.8,8473,41783,21189,446,306,128,418,259,9294,949,
