2022-07-30,15:30,DFB-Pokal,Round of 64,Sat,Away,D,2 (3),2 (4),Jahn R'burg,Unnamed: 10,Unnamed: 11,61,"13,236",Anthony Modeste,4-4-2◆,Felix Brych,Match Report,Jahn R'burg won on penalty kicks following extra time
2022-08-07,17:30,Bundesliga,Matchweek 1,Sun,Home,W,3.0,1.0,Schalke 04,4.1,0.2,75.0,50000.0,Jonas Hector,4-1-3-2,Robert Schröder,Match Report,
2022-08-13,15:30,Bundesliga,Matchweek 2,Sat,Away,D,2.0,2.0,RB Leipzig,1.5,1.0,48.0,49579.0,Jonas Hector,4-2-3-1,Benjamin Brand,Match Report,
2022-08-18,20:30,Conf Lg,Play-off round,Thu,Home,L,1.0,2.0,hu Vidi,,,,44000.0,Jonas Hector,4-2-3-1,Tiago Martins,Match Report,Leg 1 of 2
2022-08-21,15:30,Bundesliga,Matchweek 3,Sun,Away,D,1.0,1.0,Eint Frankfurt,0.3,0.9,46.0,50800.0,Jonas Hector,4-1-2-1-2◆,Martin Petersen,Match Report,
2022-08-25,19:00,Conf Lg,Play-off round,Thu,Away,W,3.0,0.0,hu Vidi,,,,10411.0,Florian Kainz,4-2-3-1,Ali Palabıyık,Match Report,Leg 2 of 2; Köln won
2022-08-28,15:30,Bundesliga,Matchweek 4,Sun,Home,D,0.0,0.0,Stuttgart,0.6,2.1,63.0,50000.0,Jonas Hector,4-1-3-2,Harm Osmers,Match Report,
2022-09-03,15:30,Bundesliga,Matchweek 5,Sat,Away,W,4.0,2.0,Wolfsburg,2.7,1.0,49.0,25654.0,Jonas Hector,4-2-3-1,Matthias Jöllenbeck,Match Report,
2022-09-08,19:40,Conf Lg,Group stage,Thu,Away,D,1.0,1.0,fr Nice,1.3,1.9,53.0,19000.0,Jonas Hector,4-1-2-1-2◆,Luís Godinho,Match Report,
2022-09-11,15:30,Bundesliga,Matchweek 6,Sun,Home,L,0.0,1.0,Union Berlin,0.6,1.5,53.0,49500.0,Jonas Hector,4-2-3-1,Benjamin Cortus,Match Report,
2022-09-15,21:00,Conf Lg,Group stage,Thu,Home,W,4.0,2.0,cz Slovácko,3.3,1.6,58.0,47700.0,Marvin Schwäbe,4-2-3-1,Yevhen Aranovskyi,Match Report,
2022-09-18,17:30,Bundesliga,Matchweek 7,Sun,Away,D,1.0,1.0,Bochum,2.1,0.2,65.0,25800.0,Jonas Hector,4-2-3-1,Bastian Dankert,Match Report,
2022-10-01,15:30,Bundesliga,Matchweek 8,Sat,Home,W,3.0,2.0,Dortmund,1.9,2.5,42.0,50000.0,Jonas Hector,4-1-3-2,Harm Osmers,Match Report,
2022-10-06,21:00,Conf Lg,Group stage,Thu,Home,L,0.0,1.0,rs Partizan,1.9,1.1,73.0,47000.0,Florian Kainz,4-4-2,Ricardo de Burgos,Match Report,
2022-10-09,15:30,Bundesliga,Matchweek 9,Sun,Away,L,2.0,5.0,M'Gladbach,1.3,3.0,35.0,54042.0,Jonas Hector,4-1-3-2,Sven Jablonski,Match Report,
2022-10-13,18:45,Conf Lg,Group stage,Thu,Away,L,0.0,2.0,rs Partizan,0.9,0.7,68.0,15467.0,Jonas Hector,4-2-2-2,Roi Reinshreiber,Match Report,
2022-10-16,15:30,Bundesliga,Matchweek 10,Sun,Home,W,3.0,2.0,Augsburg,1.5,0.4,64.0,49000.0,Jonas Hector,4-1-3-2,Felix Zwayer,Match Report,
2022-10-21,20:30,Bundesliga,Matchweek 11,Fri,Away,L,0.0,5.0,Mainz 05,0.7,1.9,45.0,31610.0,Jonas Hector,4-3-1-2,Matthias Jöllenbeck,Match Report,
2022-10-28,13:00,Conf Lg,Group stage,Fri,Away,W,1.0,0.0,cz Slovácko,3.0,0.5,57.0,7333.0,Florian Kainz,4-4-2,Giorgi Kruashvili,Match Report,
2022-10-30,19:30,Bundesliga,Matchweek 12,Sun,Home,D,1.0,1.0,Hoffenheim,1.2,0.9,36.0,49000.0,Florian Kainz,4-4-2,Frank Willenborg,Match Report,
2022-11-03,21:00,Conf Lg,Group stage,Thu,Home,D,2.0,2.0,fr Nice,1.6,1.0,56.0,47000.0,Florian Kainz,4-4-2,César Soto,Match Report,
2022-11-06,17:30,Bundesliga,Matchweek 13,Sun,Away,L,0.0,2.0,Freiburg,0.5,1.4,45.0,33800.0,Florian Kainz,4-2-3-1,Florian Badstübner,Match Report,
2022-11-09,18:30,Bundesliga,Matchweek 14,Wed,Home,L,1.0,2.0,Leverkusen,1.4,1.4,58.0,50000.0,Jonas Hector,4-2-3-1,Tobias Stieler,Match Report,
2022-11-12,15:30,Bundesliga,Matchweek 15,Sat,Away,L,0.0,2.0,Hertha BSC,1.8,1.8,52.0,60827.0,Jonas Hector,4-2-3-1,Christian Dingert,Match Report,
2023-01-21,18:30,Bundesliga,Matchweek 16,Sat,Home,W,7.0,1.0,Werder Bremen,3.0,0.3,50.0,50000.0,Jonas Hector,4-2-2-2,Robert Schröder,Match Report,
2023-01-24,20:30,Bundesliga,Matchweek 17,Tue,Away,D,1.0,1.0,Bayern Munich,0.8,1.4,23.0,75000.0,Jonas Hector,4-2-3-1,Tobias Stieler,Match Report,
2023-01-29,15:30,Bundesliga,Matchweek 18,Sun,Away,D,0.0,0.0,Schalke 04,0.3,1.2,46.0,61571.0,Jonas Hector,4-1-3-2,Matthias Jöllenbeck,Match Report,
2023-02-04,15:30,Bundesliga,Matchweek 19,Sat,Home,D,0.0,0.0,RB Leipzig,0.8,1.3,44.0,,Jonas Hector,4-2-2-2,Martin Petersen,Match Report,
2023-02-12,17:30,Bundesliga,Matchweek 20,Sun,Home,W,3.0,0.0,Eint Frankfurt,1.2,0.3,43.0,50000.0,Jonas Hector,4-2-3-1,Daniel Siebert,Match Report,
2023-02-18,15:30,Bundesliga,Matchweek 21,Sat,Away,L,0.0,3.0,Stuttgart,0.5,1.5,55.0,46850.0,Jonas Hector,4-2-3-1,Benjamin Cortus,Match Report,
2023-02-25,15:30,Bundesliga,Matchweek 22,Sat,Home,L,0.0,2.0,Wolfsburg,1.2,1.0,57.0,49300.0,Jonas Hector,4-4-2,Frank Willenborg,Match Report,
2023-03-04,15:30,Bundesliga,Matchweek 23,Sat,Away,D,0.0,0.0,Union Berlin,0.9,0.5,48.0,,Jonas Hector,4-2-3-1,Tobias Stieler,Match Report,
2023-03-10,20:30,Bundesliga,Matchweek 24,Fri,Home,L,0.0,2.0,Bochum,0.7,1.4,63.0,50000.0,Jonas Hector,4-2-3-1,Tobias Welz,Match Report,
2023-03-18,18:30,Bundesliga,Matchweek 25,Sat,Away,L,1.0,6.0,Dortmund,1.6,3.3,37.0,81365.0,Jonas Hector,4-2-2-2,Daniel Siebert,Match Report,
2023-04-02,15:30,Bundesliga,Matchweek 26,Sun,Home,D,0.0,0.0,M'Gladbach,1.0,1.0,51.0,50000.0,Jonas Hector,4-1-4-1,Felix Zwayer,Match Report,
2023-04-08,15:30,Bundesliga,Matchweek 27,Sat,Away,,,,Augsburg,,,,,,,,Head-to-Head,
2023-04-15,15:30,Bundesliga,Matchweek 28,Sat,Home,,,,Mainz 05,,,,,,,,Head-to-Head,
2023-04-22,15:30,Bundesliga,Matchweek 29,Sat,Away,,,,Hoffenheim,,,,,,,,Head-to-Head,
2023-04-29,15:30,Bundesliga,Matchweek 30,Sat,Home,,,,Freiburg,,,,,,,,Head-to-Head,
2023-05-07,15:30,Bundesliga,Matchweek 31,Sun,Away,,,,Leverkusen,,,,,,,,Head-to-Head,
2023-05-12,20:30,Bundesliga,Matchweek 32,Fri,Home,,,,Hertha BSC,,,,,,,,Head-to-Head,
2023-05-20,15:30,Bundesliga,Matchweek 33,Sat,Away,,,,Werder Bremen,,,,,,,,Head-to-Head,
2023-05-27,15:30,Bundesliga,Matchweek 34,Sat,Home,,,,Bayern Munich,,,,,,,,Head-to-Head,
