Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Karim Onisiwo,at AUT,"FW,MF",31-020,23,21,1895.0,21.1,9.0,1.0,10.0,9.0,0.0,0.0,3.0,0.0,5.6,5.6,2.3,7.9,56.0,36.0,174.0,0.43,0.05,0.47,0.43,0.47,0.27,0.11,0.37,0.27,0.37,Matches
Robin Zentner,de GER,GK,28-160,20,20,1800.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Edimilson Fernandes,ch SUI,DF,26-356,24,20,1775.0,19.7,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.1,1.5,10.0,51.0,16.0,0.0,0.1,0.1,0.0,0.1,0.02,0.05,0.08,0.02,0.08,Matches
Dominik Kohr,de GER,MF,29-065,23,20,1689.0,18.8,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,1.4,1.4,0.8,2.2,8.0,111.0,26.0,0.16,0.0,0.16,0.16,0.16,0.07,0.04,0.12,0.07,0.12,Matches
Lee Jae-sung,kr KOR,MF,30-239,26,19,1479.0,16.4,7.0,3.0,10.0,7.0,0.0,0.0,2.0,0.0,3.2,3.2,1.9,5.1,25.0,53.0,82.0,0.43,0.18,0.61,0.43,0.61,0.19,0.12,0.31,0.19,0.31,Matches
Stefan Bell,de GER,DF,31-225,22,18,1680.0,18.7,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,0.5,1.1,9.0,63.0,7.0,0.0,0.05,0.05,0.0,0.05,0.04,0.02,0.06,0.04,0.06,Matches
Leandro Barreiro Martins,lu LUX,MF,23-093,24,18,1589.0,17.7,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,2.4,2.4,2.0,4.4,12.0,42.0,36.0,0.11,0.17,0.28,0.11,0.28,0.14,0.11,0.25,0.14,0.25,Matches
Anton Stach,de GER,MF,24-142,23,17,1597.0,17.7,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,3.5,5.5,31.0,89.0,56.0,0.06,0.23,0.28,0.06,0.28,0.11,0.2,0.31,0.11,0.31,Matches
Anthony Caci,fr FRA,DF,25-279,23,17,1528.0,17.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,0.6,0.6,1.9,2.5,13.0,65.0,31.0,0.12,0.06,0.18,0.12,0.18,0.04,0.11,0.15,0.04,0.15,Matches
Aarón Martín,es ESP,DF,25-349,21,17,1492.0,16.6,3.0,3.0,6.0,3.0,0.0,1.0,1.0,0.0,2.0,1.2,2.6,3.8,21.0,74.0,54.0,0.18,0.18,0.36,0.18,0.36,0.12,0.16,0.28,0.07,0.23,Matches
Silvan Widmer,ch SUI,DF,30-032,22,15,1359.0,15.1,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.5,2.4,0.8,3.2,10.0,43.0,71.0,0.13,0.0,0.13,0.13,0.13,0.16,0.05,0.22,0.16,0.21,Matches
Alexander Hack,de GER,DF,29-210,18,14,1124.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.1,0.1,0.1,0.2,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches
Marcus Ingvartsen,dk DEN,"FW,MF",27-092,20,13,1015.0,11.3,9.0,0.0,9.0,5.0,4.0,4.0,2.0,0.0,7.3,4.2,0.2,4.4,11.0,20.0,68.0,0.8,0.0,0.8,0.44,0.44,0.65,0.02,0.67,0.37,0.39,Matches
Danny da Costa,de GER,DF,29-267,17,11,980.0,10.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,30.0,49.0,66.0,0.0,0.18,0.18,0.0,0.18,0.02,0.08,0.1,0.02,0.1,Matches
Andreas Hanche-Olsen,no NOR,DF,26-079,10,10,867.0,9.6,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.1,0.3,3.0,30.0,5.0,0.0,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
Ludovic Ajorque,fr FRA,FW,29-040,10,9,736.0,8.2,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.5,2.5,1.6,4.1,3.0,20.0,55.0,0.37,0.12,0.49,0.37,0.49,0.3,0.2,0.5,0.3,0.5,Matches
Maxim Leitsch,de GER,DF,24-323,9,7,663.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,5.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,Matches
Jonathan Burkardt,de GER,"MF,FW",22-269,11,7,533.0,5.9,1.0,2.0,3.0,1.0,0.0,1.0,2.0,0.0,3.0,2.2,1.1,3.3,9.0,14.0,46.0,0.17,0.34,0.51,0.17,0.51,0.5,0.18,0.68,0.37,0.55,Matches
Finn Dahmen,de GER,GK,25-010,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Angelo Fulgini,fr FRA,MF,26-229,16,5,525.0,5.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.8,1.4,3.0,29.0,43.0,0.0,0.17,0.17,0.0,0.17,0.1,0.13,0.23,0.1,0.23,Matches
Aymen Barkok,ma MAR,MF,24-320,17,2,412.0,4.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.3,0.8,11.0,27.0,23.0,0.0,0.22,0.22,0.0,0.22,0.09,0.07,0.17,0.09,0.17,Matches
Delano Burgzorg,nl NED,"FW,MF",24-150,11,0,212.0,2.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.2,1.0,3.0,20.0,0.0,0.42,0.42,0.0,0.42,0.06,0.02,0.09,0.06,0.09,Matches
Niklas Tauer,de GER,"DF,MF",22-048,3,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
Suliman Mustapha,at AUT,"FW,MF",21-317,5,0,68.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,5.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.19,0.19,0.19,Matches
Nelson Weiper,de GER,"FW,MF",18-020,5,0,35.0,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,1.0,1.0,6.0,2.57,0.0,2.57,2.57,2.57,2.34,0.0,2.34,2.34,2.34,Matches
Brajan Gruda,de GER,MF,18-310,2,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,1.63,0.0,1.63,Matches
Ben Bobzien,de GER,FW,19-342,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lasse Finn Rieß,de GER,GK,21-253,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Anderson Lucoqui,ao ANG,DF,25-274,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Matondo-Merveille Papela,de GER,MF,22-078,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Eniss Shabani,de GER,MF,19-312,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.7,26,286,2340.0,26.0,43.0,27.0,70.0,39.0,4.0,6.0,50.0,1.0,35.7,30.9,22.4,53.4,279.0,910.0,898.0,1.65,1.04,2.69,1.5,2.54,1.37,0.86,2.24,1.19,2.05,
Opponent Total,,,27.4,26,286,2340.0,26.0,36.0,27.0,63.0,34.0,2.0,5.0,59.0,5.0,36.9,33.0,26.3,59.3,413.0,918.0,902.0,1.38,1.04,2.42,1.31,2.35,1.42,1.01,2.43,1.27,2.28,
