Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Karim Onisiwo,at AUT,"FW,MF",31-002,20.7,747,6,25,295,438,122,747,73,25,34.2,38,52.1,435,2547,1034,56,29,25,85,35,534,172,Matches
Dominik Kohr,de GER,MF,29-047,17.6,1009,40,206,639,172,20,1009,10,2,20.0,7,70.0,452,1762,688,7,7,1,9,3,527,25,Matches
Robin Zentner,de GER,GK,28-142,18.0,620,475,601,14,5,4,620,0,0,,0,,344,2059,1148,0,0,0,1,0,216,1,Matches
Edimilson Fernandes,ch SUI,DF,26-338,17.9,983,99,412,475,109,4,983,18,11,61.1,3,16.7,507,2416,1245,10,6,2,10,13,483,16,Matches
Lee Jae-sung,kr KOR,MF,30-221,15.5,764,18,125,375,271,47,764,27,16,59.3,6,22.2,409,1777,812,23,19,5,34,18,497,74,Matches
Aarón Martín,es ESP,DF,25-331,16.5,974,35,228,445,315,11,973,17,9,52.9,6,35.3,479,2353,1030,21,16,1,9,13,511,54,Matches
Stefan Bell,de GER,DF,31-207,16.7,982,110,525,422,43,14,982,4,3,75.0,0,0.0,499,2272,1067,9,5,0,9,4,480,7,Matches
Leandro Barreiro Martins,lu LUX,MF,23-075,15.9,580,33,143,281,164,38,580,10,3,30.0,3,30.0,236,934,363,11,10,2,27,8,249,33,Matches
Anton Stach,de GER,MF,24-124,15.9,830,26,134,458,257,40,830,37,17,45.9,15,40.5,383,2098,1067,29,18,7,31,11,449,47,Matches
Anthony Caci,fr FRA,DF,25-261,15.0,930,59,315,460,164,13,930,10,3,30.0,6,60.0,454,2123,1005,12,6,1,7,5,463,29,Matches
Silvan Widmer,ch SUI,DF,30-014,14.0,786,23,212,381,200,38,786,9,3,33.3,6,66.7,367,1391,640,10,6,1,18,7,399,70,Matches
Alexander Hack,de GER,DF,29-192,12.5,727,75,345,363,27,13,727,1,1,100.0,0,0.0,343,1471,818,1,4,0,3,1,335,0,Matches
Marcus Ingvartsen,dk DEN,"FW,MF",27-074,9.8,354,8,35,159,164,51,350,22,6,27.3,13,59.1,203,761,227,10,2,6,40,12,265,61,Matches
Danny da Costa,de GER,DF,29-249,10.0,583,17,116,270,200,20,583,20,7,35.0,12,60.0,252,1417,723,29,14,11,17,8,286,62,Matches
Andreas Hanche-Olsen,no NOR,DF,26-061,7.6,431,44,213,193,33,7,431,2,2,100.0,0,0.0,210,959,502,3,6,0,7,4,209,5,Matches
Maxim Leitsch,de GER,DF,24-305,7.4,405,42,188,205,12,2,405,1,0,0.0,1,100.0,203,957,443,5,0,1,5,1,225,1,Matches
Ludovic Ajorque,fr FRA,FW,29-022,6.2,259,4,18,123,119,41,259,5,3,60.0,2,40.0,102,439,97,3,0,0,21,9,193,46,Matches
Jonathan Burkardt,de GER,"MF,FW",22-251,5.9,180,2,19,65,99,37,179,20,11,55.0,8,40.0,128,642,257,9,7,6,17,9,139,46,Matches
Finn Dahmen,de GER,GK,24-357,6.0,207,158,201,7,0,0,207,0,0,,0,,135,787,411,0,0,0,0,0,80,0,Matches
Angelo Fulgini,fr FRA,MF,26-211,5.8,320,6,36,177,110,14,320,25,8,32.0,14,56.0,199,800,326,3,6,2,12,7,228,43,Matches
Aymen Barkok,ma MAR,MF,24-302,4.2,230,9,35,87,114,11,230,16,8,50.0,8,50.0,124,934,509,11,14,3,13,6,133,21,Matches
Delano Burgzorg,nl NED,"FW,MF",24-132,2.3,78,1,3,25,51,9,78,12,5,41.7,7,58.3,54,320,84,1,0,3,13,6,61,20,Matches
Niklas Tauer,de GER,"DF,MF",22-030,1.0,70,5,23,38,10,1,70,0,0,,0,,40,205,100,1,2,0,1,1,47,4,Matches
Suliman Mustapha,at AUT,"FW,MF",21-299,0.8,36,0,1,18,18,4,36,3,2,66.7,1,33.3,16,180,132,5,3,2,5,2,23,7,Matches
Nelson Weiper,de GER,"FW,MF",18-002,0.2,16,0,0,2,15,5,16,3,0,0.0,2,66.7,7,40,4,0,0,1,0,0,8,4,Matches
Brajan Gruda,de GER,MF,18-292,0.0,8,0,0,2,6,1,8,2,0,0.0,2,100.0,4,29,0,0,0,0,0,1,3,0,Matches
Squad Total,,,27.6,24.0,13109,1295,4159,5979,3116,567,13103,347,145,41.8,160,46.1,6585,31673,14732,269,180,80,394,184,7043,848,
Opponent Total,,,27.3,24.0,15267,1657,5252,7166,2987,451,15262,407,176,43.2,185,45.5,8371,41731,20545,383,249,71,384,197,9332,833,
