Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Kouadio Koné,fr FRA,MF,21-321,23.3,62,33,31,27,4,21,37,56.8,16,31,6,25,24,86,16,0,Matches
Christoph Kramer,de GER,MF,32-043,21.7,34,24,17,13,4,19,47,40.4,28,30,1,29,15,49,36,0,Matches
Nico Elvedi,ch SUI,DF,26-185,22.5,40,19,27,11,2,25,31,80.6,6,20,9,11,27,67,98,3,Matches
Marcus Thuram,fr FRA,FW,25-240,22.2,13,6,3,5,5,6,10,60.0,4,14,3,11,5,18,17,0,Matches
Jonas Hofmann,de GER,"FW,MF",30-263,21.6,20,11,12,7,1,8,36,22.2,28,26,2,24,14,34,13,0,Matches
Joe Scally,us USA,DF,20-093,20.9,24,16,19,5,0,19,25,76.0,6,15,6,9,7,31,51,0,Matches
Ramy Bensebaini,dz ALG,DF,27-352,20.8,32,20,19,10,3,25,34,73.5,9,33,10,23,26,58,74,1,Matches
Alassane Pléa,fr FRA,FW,30-024,15.5,14,7,4,7,3,6,17,35.3,11,19,2,17,10,24,13,0,Matches
Ko Itakura,jp JPN,DF,26-066,14.6,12,7,6,4,2,5,16,31.3,11,28,18,10,19,31,53,0,Matches
Lars Stindl,de GER,"FW,MF",34-220,14.2,18,10,4,12,2,9,22,40.9,13,18,3,15,8,26,17,0,Matches
Julian Weigl,de GER,MF,27-207,14.0,29,12,14,14,1,16,29,55.2,13,14,1,13,12,41,21,0,Matches
Marvin Friedrich,de GER,DF,27-111,10.7,13,9,10,2,1,8,10,80.0,2,9,4,5,11,24,39,0,Matches
Yann Sommer,ch SUI,GK,34-107,10.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,8,0,Matches
Florian Neuhaus,de GER,MF,26-018,8.5,7,3,3,2,2,2,9,22.2,7,14,3,11,7,14,3,0,Matches
Jonas Omlin,ch SUI,GK,29-083,7.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,5,0,Matches
Tobias Sippel,de GER,GK,35-012,5.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Luca Netz,de GER,DF,19-323,4.6,16,7,12,2,2,12,19,63.2,7,3,1,2,3,19,21,0,Matches
Stefan Lainer,at AUT,DF,30-219,3.8,5,3,1,3,1,2,8,25.0,6,1,0,1,6,11,16,1,Matches
Hannes Wolf,at AUT,FW,23-352,3.8,9,6,4,4,1,3,9,33.3,6,3,0,3,2,11,7,0,Matches
Nathan N'Goumou,fr FRA,FW,23-020,3.6,7,3,4,2,1,4,8,50.0,4,4,0,4,0,7,3,0,Matches
Jan Jakob Olschowsky,de GER,GK,21-136,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Tony Jantschke,de GER,"DF,MF",32-361,1.0,2,1,1,1,0,1,1,100.0,0,4,2,2,0,2,5,0,Matches
Patrick Herrmann,de GER,"FW,MF",32-050,1.7,6,2,4,1,1,2,4,50.0,2,2,0,2,2,8,0,0,Matches
Yvandro Borges Sanches,lu LUX,"FW,MF",18-314,0.3,2,2,0,2,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
Semir Telalovic,de GER,"MF,FW",23-101,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Rocco Reitz,de GER,MF,20-309,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Oscar Fraulo,dk DEN,MF,19-118,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.5,25.0,366,201,196,134,36,196,377,52.0,181,289,71,218,198,564,518,6,
Opponent Total,,,27.2,25.0,408,238,151,194,63,170,355,47.9,185,327,68,259,250,658,339,8,
