Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Kouadio Koné,fr FRA,MF,21-321,23.3,9,0,0,42,55,0,4,24,33,0,1,0,185,15,17,46.9,Matches
Christoph Kramer,de GER,MF,32-043,21.7,3,0,0,29,13,4,11,15,24,0,0,0,96,21,25,45.7,Matches
Nico Elvedi,ch SUI,DF,26-185,22.5,1,0,0,13,9,1,0,27,19,0,0,0,115,43,31,58.1,Matches
Marcus Thuram,fr FRA,FW,25-240,22.2,3,0,0,30,30,14,8,5,6,0,0,0,61,30,47,39.0,Matches
Jonas Hofmann,de GER,"FW,MF",30-263,21.6,1,0,0,10,35,18,145,14,11,2,1,0,95,8,15,34.8,Matches
Joe Scally,us USA,DF,20-093,20.9,1,0,0,10,46,3,31,7,16,0,0,0,83,15,10,60.0,Matches
Ramy Bensebaini,dz ALG,DF,27-352,20.8,5,1,1,19,35,2,24,26,20,0,0,1,124,53,29,64.6,Matches
Alassane Pléa,fr FRA,FW,30-024,15.5,4,0,0,21,26,4,40,10,7,0,1,0,67,11,20,35.5,Matches
Ko Itakura,jp JPN,DF,26-066,14.6,0,1,0,7,10,0,1,19,7,0,0,0,65,31,22,58.5,Matches
Lars Stindl,de GER,"FW,MF",34-220,14.2,7,0,0,21,27,6,13,8,10,0,0,0,55,8,21,27.6,Matches
Julian Weigl,de GER,MF,27-207,14.0,5,0,0,17,17,0,0,12,12,0,0,0,75,14,10,58.3,Matches
Marvin Friedrich,de GER,DF,27-111,10.7,1,0,0,1,2,0,0,11,9,0,0,0,53,31,13,70.5,Matches
Yann Sommer,ch SUI,GK,34-107,10.0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0.0,Matches
Florian Neuhaus,de GER,MF,26-018,8.5,1,0,0,5,9,0,5,7,3,0,0,0,45,3,8,27.3,Matches
Jonas Omlin,ch SUI,GK,29-083,7.3,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,,Matches
Tobias Sippel,de GER,GK,35-012,5.7,1,0,0,0,0,0,0,0,0,0,0,0,7,2,1,66.7,Matches
Luca Netz,de GER,DF,19-323,4.6,0,0,0,3,0,1,5,3,7,0,0,0,34,6,6,50.0,Matches
Stefan Lainer,at AUT,DF,30-219,3.8,1,0,0,3,2,0,4,6,3,0,0,0,22,3,2,60.0,Matches
Hannes Wolf,at AUT,FW,23-352,3.8,0,0,0,7,10,1,2,2,6,0,0,0,23,3,5,37.5,Matches
Nathan N'Goumou,fr FRA,FW,23-020,3.6,0,0,0,4,2,1,10,0,3,0,0,0,9,6,3,66.7,Matches
Jan Jakob Olschowsky,de GER,GK,21-136,2.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,Matches
Tony Jantschke,de GER,"DF,MF",32-361,1.0,0,0,0,2,0,0,0,0,1,0,0,0,1,4,1,80.0,Matches
Patrick Herrmann,de GER,"FW,MF",32-050,1.7,2,0,0,4,3,0,10,2,2,0,1,0,13,2,5,28.6,Matches
Yvandro Borges Sanches,lu LUX,"FW,MF",18-314,0.3,0,0,0,1,0,0,2,0,2,0,0,0,3,0,0,,Matches
Semir Telalovic,de GER,"MF,FW",23-101,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
Rocco Reitz,de GER,MF,20-309,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Oscar Fraulo,dk DEN,MF,19-118,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.5,25.0,45,2,1,250,332,55,315,198,201,2,4,1,1270,310,292,51.5,
Opponent Total,,,27.2,25.0,52,4,3,342,234,74,475,250,238,3,4,0,1392,292,310,48.5,
