Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Willi Orban,hu HUN,DF,30-154,24.8,3,0,0,15,22,3,3,33,28,0,0,0,151,87,53,62.1,Matches
Dominik Szoboszlai,hu HUN,"MF,FW",22-163,21.0,1,1,0,22,31,1,84,16,22,0,0,0,127,5,13,27.8,Matches
Joško Gvardiol,hr CRO,DF,21-073,19.3,1,0,0,15,12,0,3,26,12,0,1,1,134,34,29,54.0,Matches
Janis Blaswich,de GER,GK,31-339,19.0,0,0,0,1,3,0,0,0,0,0,1,0,31,9,0,100.0,Matches
André Silva,pt POR,FW,27-151,17.7,2,0,0,29,41,10,4,2,4,0,0,0,40,18,27,40.0,Matches
Benjamin Henrichs,de GER,"DF,MF",26-042,18.9,7,0,0,31,22,1,44,27,39,0,0,0,132,15,11,57.7,Matches
Xaver Schlager,at AUT,MF,25-190,16.3,2,0,0,25,24,1,2,16,23,0,0,0,127,12,20,37.5,Matches
David Raum,de GER,"DF,FW",24-349,15.9,4,0,0,18,14,2,129,15,21,0,2,0,92,12,9,57.1,Matches
Timo Werner,de GER,"FW,MF",27-031,15.5,2,0,0,5,10,13,21,5,3,0,0,0,41,3,5,37.5,Matches
Christopher Nkunku,fr FRA,"FW,MF",25-143,15.8,2,0,0,13,26,9,15,7,2,2,0,0,48,12,15,44.4,Matches
Marcel Halstenberg,de GER,DF,31-191,14.1,2,0,0,16,7,0,29,15,17,1,0,0,77,20,13,60.6,Matches
Emil Forsberg,se SWE,"MF,FW",31-165,13.2,2,0,0,14,16,5,13,3,11,0,0,0,41,11,12,47.8,Matches
Konrad Laimer,at AUT,MF,25-314,11.4,6,0,0,22,15,2,9,13,18,0,0,0,85,2,9,18.2,Matches
Kevin Kampl,si SVN,MF,32-179,10.5,7,0,0,15,4,0,3,14,10,0,0,0,78,4,16,20.0,Matches
Mohamed Simakan,fr FRA,DF,22-338,10.4,0,0,0,14,15,1,6,10,10,0,1,0,52,19,16,54.3,Matches
Dani Olmo,es ESP,"MF,FW",24-334,9.0,2,0,0,11,28,1,8,6,7,0,0,0,57,4,10,28.6,Matches
Amadou Haidara,ml MLI,MF,25-065,10.5,3,0,0,20,7,0,3,18,6,1,1,0,65,18,21,46.2,Matches
Péter Gulácsi,hu HUN,GK,32-335,6.0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,,Matches
Abdou Diallo,sn SEN,"DF,MF",26-337,4.8,2,0,0,3,1,1,1,7,5,0,1,0,34,12,9,57.1,Matches
Lukas Klostermann,de GER,DF,26-307,4.3,0,0,0,3,2,1,1,4,6,0,0,0,28,7,13,35.0,Matches
Yussuf Poulsen,dk DEN,FW,28-295,3.9,1,0,0,9,9,2,2,0,3,0,0,0,18,19,10,65.5,Matches
Hugo Novoa,es ESP,"DF,FW",20-095,2.0,0,0,0,6,2,4,10,1,2,0,0,0,4,3,4,42.9,Matches
Ørjan Nyland,no NOR,GK,32-208,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
Alexander Sørloth,no NOR,FW,27-122,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
Sanoussy Ba,de GER,DF,19-091,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.0,26.0,50,1,0,308,311,57,390,238,249,4,7,1,1477,326,315,50.9,
Opponent Total,,,27.2,26.0,61,1,1,324,292,37,352,309,271,4,5,0,1413,315,326,49.1,
