Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Willi Orban,hu HUN,DF,30-151,24.8,1978,1921,55,52,0,11,3,3,0,0,0,0,1749,2,13,Matches
Dominik Szoboszlai,hu HUN,"MF,FW",22-160,21.0,1227,1078,146,51,16,20,84,39,52,13,25,2,991,3,32,Matches
Joško Gvardiol,hr CRO,DF,21-070,19.3,1739,1692,45,43,0,16,3,2,0,0,0,0,1562,2,11,Matches
Janis Blaswich,de GER,GK,31-336,19.0,823,689,133,26,0,0,0,0,0,0,0,0,734,1,1,Matches
André Silva,pt POR,FW,27-148,17.7,447,414,33,1,5,2,4,4,0,0,0,0,329,0,23,Matches
Benjamin Henrichs,de GER,"DF,MF",26-039,18.9,1213,1050,156,14,2,3,44,141,1,1,0,0,921,7,37,Matches
Xaver Schlager,at AUT,MF,25-187,16.3,905,887,11,10,3,5,2,1,0,0,0,0,752,7,14,Matches
David Raum,de GER,"DF,FW",24-346,15.9,1001,795,203,19,3,4,129,133,51,14,30,0,752,3,37,Matches
Timo Werner,de GER,"FW,MF",27-028,15.5,500,466,28,5,2,5,21,12,1,0,0,0,370,6,19,Matches
Christopher Nkunku,fr FRA,"FW,MF",25-140,15.8,478,447,28,10,6,5,15,3,5,2,2,0,381,3,16,Matches
Marcel Halstenberg,de GER,DF,31-188,14.1,975,821,150,28,0,6,29,111,11,4,4,0,785,4,16,Matches
Emil Forsberg,se SWE,"MF,FW",31-162,13.2,424,411,11,4,0,2,13,3,4,2,2,0,345,2,9,Matches
Konrad Laimer,at AUT,MF,25-311,11.4,527,499,25,17,5,2,9,8,0,0,0,0,417,3,18,Matches
Kevin Kampl,si SVN,MF,32-176,10.5,653,635,17,16,3,2,3,1,0,0,0,0,584,1,16,Matches
Mohamed Simakan,fr FRA,DF,22-335,10.4,786,715,69,10,1,7,6,59,0,0,0,0,661,2,17,Matches
Dani Olmo,es ESP,"MF,FW",24-331,9.0,384,359,20,8,15,4,8,1,7,2,0,0,283,5,16,Matches
Amadou Haidara,ml MLI,MF,25-062,10.5,589,575,11,7,1,0,3,4,0,0,0,0,488,3,5,Matches
Péter Gulácsi,hu HUN,GK,32-332,6.0,215,173,42,6,0,0,0,0,0,0,0,0,189,0,0,Matches
Abdou Diallo,sn SEN,"DF,MF",26-334,4.8,345,335,9,7,1,3,1,2,0,0,0,0,296,1,1,Matches
Lukas Klostermann,de GER,DF,26-304,4.3,314,299,14,4,0,0,1,10,0,0,0,0,272,1,2,Matches
Yussuf Poulsen,dk DEN,FW,28-292,3.9,98,94,3,0,3,0,2,1,0,0,0,0,54,1,2,Matches
Hugo Novoa,es ESP,"DF,FW",20-092,2.0,108,87,21,2,0,1,10,19,0,0,0,0,77,0,6,Matches
Ørjan Nyland,no NOR,GK,32-205,1.0,30,28,2,0,0,1,0,0,0,0,0,0,27,0,0,Matches
Alexander Sørloth,no NOR,FW,27-119,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Sanoussy Ba,de GER,DF,19-088,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.0,26.0,15761,14472,1232,340,66,99,390,557,132,38,63,2,13021,57,311,
Opponent Total,,,27.2,26.0,11338,10087,1214,344,26,87,352,501,93,47,28,1,8601,37,279,
