Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Willi Orban,hu HUN,DF,30-151,24.8,3,21,7,33.3,0.85,0.28,0.14,0.43,9.9,0,0,0,2.7,2.7,0.13,0.3,0.3,Matches
Dominik Szoboszlai,hu HUN,"MF,FW",22-160,21.0,4,40,19,47.5,1.9,0.9,0.1,0.21,24.4,9,0,0,2.7,2.7,0.07,1.3,1.3,Matches
Joško Gvardiol,hr CRO,DF,21-070,19.3,1,10,3,30.0,0.52,0.16,0.1,0.33,11.8,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches
Janis Blaswich,de GER,GK,31-336,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
André Silva,pt POR,FW,27-148,17.7,4,56,22,39.3,3.16,1.24,0.07,0.18,13.3,0,0,0,8.7,8.7,0.16,-4.7,-4.7,Matches
Benjamin Henrichs,de GER,"DF,MF",26-039,18.9,2,19,4,21.1,1.0,0.21,0.11,0.5,20.9,0,0,0,0.8,0.8,0.04,1.2,1.2,Matches
Xaver Schlager,at AUT,MF,25-187,16.3,1,5,1,20.0,0.31,0.06,0.2,1.0,23.6,0,0,0,0.3,0.3,0.06,0.7,0.7,Matches
David Raum,de GER,"DF,FW",24-346,15.9,0,11,3,27.3,0.69,0.19,0.0,0.0,24.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
Timo Werner,de GER,"FW,MF",27-028,15.5,7,45,19,42.2,2.91,1.23,0.16,0.37,15.2,0,0,0,6.6,6.6,0.15,0.4,0.4,Matches
Christopher Nkunku,fr FRA,"FW,MF",25-140,15.8,12,46,17,37.0,2.92,1.08,0.22,0.59,15.7,4,2,3,9.5,7.2,0.16,2.5,2.8,Matches
Marcel Halstenberg,de GER,DF,31-188,14.1,1,7,2,28.6,0.5,0.14,0.14,0.5,11.6,0,0,0,0.9,0.9,0.14,0.1,0.1,Matches
Emil Forsberg,se SWE,"MF,FW",31-162,13.2,6,17,8,47.1,1.29,0.61,0.24,0.5,17.1,0,2,2,4.6,3.0,0.18,1.4,1.0,Matches
Konrad Laimer,at AUT,MF,25-311,11.4,1,12,4,33.3,1.05,0.35,0.08,0.25,19.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches
Kevin Kampl,si SVN,MF,32-176,10.5,0,4,0,0.0,0.38,0.0,0.0,,27.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Mohamed Simakan,fr FRA,DF,22-335,10.4,1,7,2,28.6,0.67,0.19,0.14,0.5,13.7,0,0,0,1.0,1.0,0.15,0.0,0.0,Matches
Dani Olmo,es ESP,"MF,FW",24-331,9.0,2,31,13,41.9,3.46,1.45,0.06,0.15,22.0,0,0,0,2.3,2.3,0.07,-0.3,-0.3,Matches
Amadou Haidara,ml MLI,MF,25-062,10.5,1,14,3,21.4,1.33,0.28,0.07,0.33,24.0,0,0,0,1.7,1.7,0.12,-0.7,-0.7,Matches
Péter Gulácsi,hu HUN,GK,32-332,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Abdou Diallo,sn SEN,"DF,MF",26-334,4.8,1,4,1,25.0,0.83,0.21,0.25,1.0,8.0,0,0,0,0.4,0.4,0.1,0.6,0.6,Matches
Lukas Klostermann,de GER,DF,26-304,4.3,0,4,1,25.0,0.93,0.23,0.0,0.0,12.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Yussuf Poulsen,dk DEN,FW,28-292,3.9,1,7,4,57.1,1.78,1.02,0.14,0.25,11.5,0,0,0,0.8,0.8,0.11,0.2,0.2,Matches
Hugo Novoa,es ESP,"DF,FW",20-092,2.0,1,3,2,66.7,1.47,0.98,0.33,0.5,13.2,0,0,0,0.9,0.9,0.29,0.1,0.1,Matches
Ørjan Nyland,no NOR,GK,32-205,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Alexander Sørloth,no NOR,FW,27-119,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sanoussy Ba,de GER,DF,19-088,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.0,26.0,49,363,135,37.2,13.96,5.19,0.12,0.33,17.3,13,4,5,46.1,42.1,0.12,2.9,2.9,
Opponent Total,,,27.2,26.0,32,233,79,33.9,8.96,3.04,0.11,0.33,18.5,8,6,7,30.1,24.6,0.11,1.9,1.4,
