Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Waldemar Anton,de GER,DF,26-257,26,26,2234.0,24.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.4,1.4,0.8,2.2,45.0,102.0,48.0,0.04,0.0,0.04,0.04,0.04,0.06,0.03,0.09,0.06,0.09,Matches
Wataru Endo,jp JPN,MF,30-053,25,25,2202.0,24.5,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,2.5,2.5,2.9,5.3,22.0,121.0,51.0,0.12,0.08,0.2,0.12,0.2,0.1,0.12,0.22,0.1,0.22,Matches
Hiroki Ito,jp JPN,DF,23-326,24,23,2021.0,22.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,2.0,2.6,22.0,124.0,20.0,0.0,0.04,0.04,0.0,0.04,0.03,0.09,0.12,0.03,0.12,Matches
Konstantinos Mavropanos,gr GRE,DF,25-113,23,22,1958.0,21.8,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,3.7,3.7,1.0,4.7,27.0,94.0,10.0,0.09,0.05,0.14,0.09,0.14,0.17,0.05,0.22,0.17,0.22,Matches
Florian Müller,de GER,GK,25-141,19,19,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Silas Katompa,cd COD,"FW,DF",24-179,22,19,1561.0,17.3,4.0,2.0,6.0,3.0,1.0,1.0,3.0,0.0,5.2,4.4,1.2,5.6,54.0,30.0,119.0,0.23,0.12,0.35,0.17,0.29,0.3,0.07,0.37,0.25,0.32,Matches
Chris Führich,de GER,"FW,MF",25-084,25,17,1529.0,17.0,4.0,0.0,4.0,3.0,1.0,1.0,2.0,0.0,3.1,2.3,2.8,5.1,74.0,62.0,103.0,0.24,0.0,0.24,0.18,0.18,0.18,0.17,0.35,0.13,0.3,Matches
Naouirou Ahamada,fr FRA,MF,21-005,17,17,1398.0,15.5,2.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,0.8,0.8,1.2,2.1,43.0,56.0,54.0,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13,Matches
Borna Sosa,hr CRO,DF,25-072,18,15,1347.0,15.0,2.0,6.0,8.0,2.0,0.0,0.0,5.0,0.0,0.7,0.7,4.4,5.2,39.0,76.0,100.0,0.13,0.4,0.53,0.13,0.53,0.05,0.3,0.34,0.05,0.34,Matches
Atakan Karazor,de GER,MF,26-172,22,15,1345.0,14.9,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.2,0.2,0.6,0.8,4.0,49.0,6.0,0.0,0.07,0.07,0.0,0.07,0.01,0.04,0.06,0.01,0.06,Matches
Tiago Tomás,pt POR,"FW,MF",20-291,20,13,1015.0,11.3,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,2.2,2.2,2.8,5.1,25.0,17.0,66.0,0.18,0.27,0.44,0.18,0.44,0.2,0.25,0.45,0.2,0.45,Matches
