Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Marvin Ducksch,de GER,FW,29-012,25,25,2090.0,23.2,8.0,5.0,13.0,8.0,0.0,1.0,2.0,0.0,8.1,7.3,3.9,11.2,25.0,41.0,173.0,0.34,0.22,0.56,0.34,0.56,0.35,0.17,0.52,0.31,0.48,Matches
Niclas Füllkrug,de GER,FW,30-038,24,24,2117.0,23.5,15.0,5.0,20.0,10.0,5.0,5.0,4.0,0.0,11.8,7.6,3.0,10.6,37.0,81.0,171.0,0.64,0.21,0.85,0.43,0.64,0.5,0.13,0.63,0.32,0.45,Matches
Jiří Pavlenka,cz CZE,GK,30-339,24,24,2098.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Anthony Jung,de GER,"DF,FW",31-136,25,24,1953.0,21.7,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,1.2,2.5,18.0,53.0,82.0,0.09,0.18,0.28,0.09,0.28,0.06,0.06,0.11,0.06,0.11,Matches
Amos Pieper,de GER,DF,25-061,24,21,1844.0,20.5,1.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.6,0.6,0.3,0.9,13.0,83.0,3.0,0.05,0.05,0.1,0.05,0.1,0.03,0.01,0.04,0.03,0.04,Matches
Mitchell Weiser,de GER,"DF,FW",28-332,22,21,1839.0,20.4,1.0,7.0,8.0,1.0,0.0,0.0,6.0,0.0,1.7,1.7,3.7,5.4,41.0,94.0,128.0,0.05,0.34,0.39,0.05,0.39,0.08,0.18,0.27,0.08,0.27,Matches
Marco Friedl,at AUT,DF,25-003,21,21,1784.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.3,0.3,0.4,0.7,11.0,88.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.04,0.01,0.04,Matches
Miloš Veljković,rs SRB,DF,27-174,20,17,1521.0,16.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.5,0.9,4.0,48.0,2.0,0.06,0.0,0.06,0.06,0.06,0.02,0.03,0.05,0.02,0.05,Matches
Christian Groß,de GER,MF,34-039,19,17,1377.0,15.3,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,14.0,48.0,11.0,0.07,0.0,0.07,0.07,0.07,0.01,0.02,0.03,0.01,0.03,Matches
Ilia Gruev,bg BUL,MF,22-317,23,15,1306.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,0.8,21.0,52.0,12.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
Niklas Stark,de GER,DF,27-339,18,14,1315.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.1,0.1,0.3,0.4,7.0,48.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Jens Stage,dk DEN,MF,26-131,24,14,1210.0,13.4,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.8,2.9,16.0,42.0,41.0,0.15,0.07,0.22,0.15,0.22,0.15,0.06,0.21,0.15,0.21,Matches
Leonardo Bittencourt,de GER,"MF,DF",29-090,16,14,1017.0,11.3,2.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,0.7,0.7,1.2,2.0,27.0,34.0,61.0,0.18,0.09,0.27,0.18,0.27,0.06,0.11,0.17,0.06,0.17,Matches
Romano Schmid,at AUT,MF,23-051,19,11,1092.0,12.1,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,1.7,2.1,21.0,57.0,51.0,0.0,0.25,0.25,0.0,0.25,0.03,0.14,0.17,0.03,0.17,Matches
Niklas Schmidt,de GER,MF,25-018,17,9,910.0,10.1,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.4,1.4,1.3,2.7,22.0,52.0,37.0,0.2,0.0,0.2,0.2,0.2,0.14,0.13,0.27,0.14,0.27,Matches
Lee Buchanan,eng ENG,"DF,FW",22-012,16,1,328.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.5,0.8,8.0,18.0,18.0,0.27,0.0,0.27,0.27,0.27,0.07,0.15,0.21,0.07,0.21,Matches
Oliver Burke,sct SCO,"FW,MF",25-346,15,1,268.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3,1.3,11.0,7.0,36.0,0.67,0.0,0.67,0.67,0.67,0.35,0.09,0.44,0.35,0.44,Matches
