Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Marvin Ducksch,de GER,FW,29-030,24.2,961,39,86,342,536,120,960,28,12,42.9,15,53.6,432,1556,692,25,11,19,45,12,577,183,Matches
Niclas Füllkrug,de GER,FW,30-056,24.5,1106,31,68,571,477,119,1101,52,28,53.8,19,36.5,596,2543,1081,37,31,19,65,47,901,178,Matches
Jiří Pavlenka,cz CZE,GK,30-357,24.3,962,841,958,4,0,0,962,1,0,0.0,1,100.0,502,2842,1514,0,2,2,1,0,407,0,Matches
Anthony Jung,de GER,"DF,FW",31-154,22.7,1346,64,446,614,296,29,1346,18,11,61.1,7,38.9,671,2952,1246,20,19,1,23,14,789,87,Matches
Mitchell Weiser,de GER,"DF,FW",28-350,21.4,1395,42,269,698,452,61,1395,94,31,33.0,47,50.0,697,3406,1538,44,35,14,71,31,773,137,Matches
Marco Friedl,at AUT,DF,25-021,20.8,1571,147,746,756,79,3,1571,13,10,76.9,2,15.4,918,4187,1908,11,10,0,13,8,973,7,Matches
Amos Pieper,de GER,DF,25-079,20.7,1396,118,597,727,76,21,1396,3,1,33.3,0,0.0,727,3713,1894,13,11,0,9,5,863,3,Matches
Miloš Veljković,rs SRB,DF,27-192,17.9,1196,144,673,508,20,10,1196,3,2,66.7,1,33.3,662,3314,1936,4,1,0,2,0,750,2,Matches
Christian Groß,de GER,MF,34-057,16.1,852,47,232,537,90,5,852,17,11,64.7,6,35.3,388,1748,846,15,9,1,15,7,441,12,Matches
Niklas Stark,de GER,DF,27-357,15.4,1111,108,552,536,29,9,1111,2,2,100.0,0,0.0,636,3601,1947,8,5,0,6,4,685,3,Matches
Ilia Gruev,bg BUL,MF,22-335,14.5,800,33,188,527,95,4,800,8,4,50.0,3,37.5,416,2002,983,21,16,0,15,11,465,12,Matches
Jens Stage,dk DEN,MF,26-149,13.8,576,22,122,302,158,37,576,12,7,58.3,3,25.0,263,1167,526,16,16,4,19,5,334,42,Matches
Leonardo Bittencourt,de GER,"MF,DF",29-108,11.6,678,10,97,377,212,26,678,38,16,42.1,16,42.1,412,2341,999,29,24,3,28,8,475,63,Matches
Romano Schmid,at AUT,MF,23-069,12.8,760,15,112,397,260,19,760,38,13,34.2,21,55.3,427,2105,1119,26,25,7,35,16,515,56,Matches
Niklas Schmidt,de GER,MF,25-036,10.8,638,16,98,394,162,17,638,37,25,67.6,10,27.0,389,2144,986,24,21,4,15,11,439,40,Matches
Lee Buchanan,eng ENG,"DF,FW",22-030,3.6,234,17,74,97,67,7,234,6,0,0.0,5,83.3,123,542,253,8,2,0,6,2,132,18,Matches
Oliver Burke,sct SCO,"FW,MF",25-364,3.0,118,0,4,41,73,13,118,6,2,33.3,4,66.7,77,366,153,11,3,5,12,4,93,36,Matches
Michael Zetterer,de GER,GK,27-268,1.7,66,56,66,0,0,0,66,0,0,,0,,37,257,155,0,0,0,0,0,27,0,Matches
Fabio Chiarodia,it ITA,DF,17-305,0.7,29,6,16,11,2,1,29,0,0,,0,,9,44,13,0,0,0,0,0,12,0,Matches
Eren Dinkçi,de GER,"FW,MF",21-114,2.0,113,1,7,45,64,15,113,12,2,16.7,10,83.3,68,313,131,4,6,2,14,4,80,18,Matches
Maximilian Philipp,de GER,"MF,FW",29-036,1.2,53,1,14,25,16,3,53,3,2,66.7,1,33.3,29,99,21,2,2,1,3,2,32,4,Matches
Nicolai Rapp,de GER,"MF,DF",26-114,0.8,68,2,24,36,8,3,68,1,0,0.0,1,100.0,33,134,46,1,0,1,0,0,39,0,Matches
Felix Agu,de GER,"DF,FW",23-191,0.5,33,1,7,13,14,2,33,3,0,0.0,2,66.7,19,165,24,0,2,0,1,2,19,2,Matches
Dikeni Salifou,tg TOG,MF,19-302,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.0,26.0,16062,1761,5456,7558,3186,524,16056,395,179,45.3,174,44.1,8531,41541,20011,319,251,83,398,193,9821,903,
Opponent Total,,,27.0,26.0,15677,1621,5083,7242,3528,591,15675,510,222,43.5,224,43.9,8553,44413,21297,445,292,126,412,238,9511,925,
