Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Marvin Ducksch,de GER,FW,29-030,24.2,8,67,32,47.8,2.77,1.32,0.12,0.25,18.5,9,0,1,8.3,7.5,0.11,-0.3,0.5,Matches
Niclas Füllkrug,de GER,FW,30-056,24.5,15,69,28,40.6,2.81,1.14,0.14,0.36,16.4,0,5,5,11.9,7.7,0.11,3.1,2.3,Matches
Jiří Pavlenka,cz CZE,GK,30-357,24.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Anthony Jung,de GER,"DF,FW",31-154,22.7,2,15,6,40.0,0.66,0.26,0.13,0.33,16.0,0,0,0,1.3,1.3,0.08,0.7,0.7,Matches
Mitchell Weiser,de GER,"DF,FW",28-350,21.4,1,22,7,31.8,1.03,0.33,0.05,0.14,17.7,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
Marco Friedl,at AUT,DF,25-021,20.8,0,3,1,33.3,0.14,0.05,0.0,0.0,23.0,0,0,0,0.3,0.3,0.1,-0.3,-0.3,Matches
Amos Pieper,de GER,DF,25-079,20.7,2,11,4,36.4,0.53,0.19,0.18,0.5,13.0,0,0,0,0.7,0.7,0.07,1.3,1.3,Matches
Miloš Veljković,rs SRB,DF,27-192,17.9,1,2,1,50.0,0.11,0.06,0.5,1.0,5.0,0,0,0,0.4,0.4,0.19,0.6,0.6,Matches
Christian Groß,de GER,MF,34-057,16.1,1,3,1,33.3,0.19,0.06,0.33,1.0,28.1,0,0,0,0.1,0.1,0.03,0.9,0.9,Matches
Niklas Stark,de GER,DF,27-357,15.4,0,2,1,50.0,0.13,0.06,0.0,0.0,13.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Ilia Gruev,bg BUL,MF,22-335,14.5,0,5,1,20.0,0.34,0.07,0.0,0.0,25.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Jens Stage,dk DEN,MF,26-149,13.8,2,13,5,38.5,0.94,0.36,0.15,0.4,11.6,0,0,0,2.0,2.0,0.16,0.0,0.0,Matches
Leonardo Bittencourt,de GER,"MF,DF",29-108,11.6,2,17,7,41.2,1.46,0.6,0.12,0.29,22.2,1,0,0,0.8,0.8,0.05,1.2,1.2,Matches
Romano Schmid,at AUT,MF,23-069,12.8,0,9,0,0.0,0.7,0.0,0.0,,26.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Niklas Schmidt,de GER,MF,25-036,10.8,2,17,8,47.1,1.58,0.74,0.12,0.25,20.7,2,0,0,1.5,1.5,0.09,0.5,0.5,Matches
Lee Buchanan,eng ENG,"DF,FW",22-030,3.6,1,4,1,25.0,1.1,0.27,0.25,1.0,22.1,0,0,0,0.2,0.2,0.06,0.8,0.8,Matches
Oliver Burke,sct SCO,"FW,MF",25-364,3.0,2,8,5,62.5,2.69,1.68,0.25,0.4,14.0,0,0,0,1.0,1.0,0.13,1.0,1.0,Matches
Michael Zetterer,de GER,GK,27-268,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Fabio Chiarodia,it ITA,DF,17-305,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Eren Dinkçi,de GER,"FW,MF",21-114,2.0,0,5,0,0.0,2.51,0.0,0.0,,15.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Maximilian Philipp,de GER,"MF,FW",29-036,1.2,0,4,1,25.0,3.46,0.87,0.0,0.0,21.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Nicolai Rapp,de GER,"MF,DF",26-114,0.8,0,1,0,0.0,1.27,0.0,0.0,,12.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Felix Agu,de GER,"DF,FW",23-191,0.5,0,1,0,0.0,1.84,0.0,0.0,,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Dikeni Salifou,tg TOG,MF,19-302,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.0,26.0,39,278,109,39.2,10.69,4.19,0.12,0.31,17.9,12,5,6,31.2,26.5,0.1,7.8,7.5,
Opponent Total,,,27.0,26.0,48,358,135,37.7,13.77,5.19,0.13,0.35,17.5,7,1,2,41.3,39.7,0.11,6.7,7.3,
