Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Koen Casteels,be BEL,GK,30-285,26.0,7,0.27,6,1,0,0,0,0,2,0.08,2,0,0,0,0,0,Matches
Mickey van de Ven,nl NED,DF,21-352,26.0,18,0.69,12,1,2,1,2,0,1,0.04,0,0,0,0,1,0,Matches
Maximilian Arnold,de GER,MF,28-314,24.2,73,3.02,35,33,1,2,2,0,9,0.37,4,3,0,1,1,0,Matches
Ridle Baku,de GER,DF,24-363,23.1,52,2.26,42,2,3,1,4,0,5,0.22,4,0,1,0,0,0,Matches
Paulo Otávio,br BRA,DF,28-134,21.1,36,1.71,30,2,1,3,0,0,7,0.33,7,0,0,0,0,0,Matches
Yannick Gerhardt,de GER,MF,29-024,16.4,39,2.38,31,0,0,3,4,1,7,0.43,6,0,0,0,1,0,Matches
Jakub Kamiński,pl POL,"FW,MF",20-305,15.7,49,3.12,45,0,3,1,0,0,11,0.7,11,0,0,0,0,0,Matches
Patrick Wimmer,at AUT,"FW,MF",21-311,13.5,56,4.16,36,7,5,3,5,0,9,0.67,5,3,1,0,0,0,Matches
Sebastiaan Bornauw,be BEL,DF,24-015,14.9,2,0.13,2,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Maxence Lacroix,fr FRA,DF,23-000,15.5,11,0.71,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mattias Svanberg,se SWE,MF,24-091,14.8,38,2.58,23,3,2,5,5,0,7,0.47,4,0,0,1,2,0,Matches
Omar Marmoush,eg EGY,FW,24-058,13.8,37,2.68,22,0,9,2,4,0,5,0.36,3,0,2,0,0,0,Matches
Felix Nmecha,de GER,MF,22-178,12.9,32,2.47,24,0,0,3,3,2,4,0.31,3,0,0,0,1,0,Matches
Lukas Nmecha,de GER,FW,24-113,10.0,27,2.7,15,1,1,3,7,0,2,0.2,0,0,0,1,1,0,Matches
Jonas Wind,dk DEN,FW,24-058,8.1,22,2.73,15,0,0,6,1,0,4,0.5,3,0,0,0,1,0,Matches
Josuha Guilavogui,fr FRA,"MF,DF",32-199,7.0,11,1.57,8,0,0,0,2,1,0,0.0,0,0,0,0,0,0,Matches
Luca Waldschmidt,de GER,FW,26-322,4.2,4,0.95,3,0,0,1,0,0,1,0.24,1,0,0,0,0,0,Matches
Kilian Fischer,de GER,DF,22-176,4.2,3,0.72,2,0,0,0,1,0,1,0.24,0,0,0,0,1,0,Matches
Josip Brekalo,hr CRO,"MF,FW",24-287,3.0,7,2.32,3,3,0,1,0,0,1,0.33,0,1,0,0,0,0,Matches
Bartol Franjić,hr CRO,MF,23-082,2.5,3,1.19,2,0,1,0,0,0,2,0.79,1,0,1,0,0,0,Matches
Max Kruse,de GER,"MF,FW",35-018,3.0,10,3.31,8,0,1,1,0,0,1,0.33,1,0,0,0,0,0,Matches
Kevin Paredes,us USA,"FW,MF",19-334,4.4,18,4.11,16,0,0,0,2,0,4,0.91,4,0,0,0,0,0,Matches
Maximilian Philipp,de GER,FW,29-036,1.3,1,0.78,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jérôme Roussillon,fr FRA,"MF,DF",30-090,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lukáš Ambros,cz CZE,MF,18-305,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolas Cozza,fr FRA,DF,24-088,0.2,1,5.63,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Aster Vranckx,be BEL,MF,20-184,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.5,26.0,557,21.42,393,53,29,36,42,4,84,3.23,60,7,5,3,9,0,
Opponent Total,,,27.2,26.0,612,23.54,428,71,26,43,36,8,53,2.04,38,2,3,5,3,2,
