Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Koen Casteels,be BEL,GK,30-282,26.0,938,1199,78.2,28271,19426,127,128,99.2,413,417,99.0,396,651,60.8,1,0.0,0.1,1.0,0,33,0,0,2,Matches
Mickey van de Ven,nl NED,DF,21-349,26.0,1216,1391,87.4,24682,7992,333,367,90.7,750,791,94.8,125,200,62.5,1,0.5,0.7,0.5,4,68,5,0,76,Matches
Maximilian Arnold,de GER,MF,28-311,24.2,1013,1316,77.0,22764,7271,275,311,88.4,519,600,86.5,203,363,55.9,3,4.1,4.5,-1.1,36,90,17,2,122,Matches
Ridle Baku,de GER,DF,24-360,23.1,1001,1273,78.6,18354,6177,394,455,86.6,492,592,83.1,100,172,58.1,1,3.3,4.2,-2.3,24,98,29,11,111,Matches
Paulo Otávio,br BRA,DF,28-131,21.1,803,1094,73.4,14553,5535,346,408,84.8,382,479,79.7,69,161,42.9,5,2.5,2.9,2.5,20,64,26,16,91,Matches
Yannick Gerhardt,de GER,MF,29-021,16.4,381,512,74.4,6300,2066,196,231,84.8,150,189,79.4,27,53,50.9,3,1.8,1.8,1.2,17,50,9,2,68,Matches
Jakub Kamiński,pl POL,"FW,MF",20-302,15.7,302,417,72.4,4474,1390,168,209,80.4,103,131,78.6,15,31,48.4,2,2.0,2.3,0.0,21,23,25,3,58,Matches
Patrick Wimmer,at AUT,"FW,MF",21-308,13.5,270,434,62.2,4198,1476,136,185,73.5,98,129,76.0,19,57,33.3,6,3.8,4.5,2.2,29,22,21,6,51,Matches
Sebastiaan Bornauw,be BEL,DF,24-012,14.9,703,834,84.3,13536,4842,228,258,88.4,416,459,90.6,57,102,55.9,0,0.1,0.1,-0.1,1,29,0,0,46,Matches
Maxence Lacroix,fr FRA,DF,22-362,15.5,838,962,87.1,17538,6922,213,240,88.8,518,550,94.2,101,156,64.7,0,0.1,0.2,-0.1,3,56,0,0,67,Matches
Mattias Svanberg,se SWE,MF,24-088,14.8,273,396,68.9,4517,1466,121,165,73.3,108,141,76.6,28,52,53.8,4,3.3,2.8,0.7,17,28,16,5,57,Matches
Omar Marmoush,eg EGY,FW,24-055,13.8,248,375,66.1,3704,863,132,188,70.2,86,116,74.1,17,29,58.6,1,0.9,1.2,0.1,9,26,12,1,47,Matches
Felix Nmecha,de GER,MF,22-175,12.9,315,433,72.7,5334,1556,146,189,77.2,137,169,81.1,23,44,52.3,3,1.6,0.8,1.4,11,36,7,1,45,Matches
Lukas Nmecha,de GER,FW,24-110,10.0,133,201,66.2,1973,348,69,92,75.0,43,62,69.4,10,14,71.4,0,0.5,0.4,-0.5,6,17,5,0,18,Matches
Jonas Wind,dk DEN,FW,24-055,8.1,146,214,68.2,1827,477,106,134,79.1,32,52,61.5,2,4,50.0,0,0.7,1.6,-0.7,7,21,6,0,22,Matches
Josuha Guilavogui,fr FRA,"MF,DF",32-196,7.0,262,336,78.0,4981,1638,96,120,80.0,129,160,80.6,34,44,77.3,0,0.4,0.8,-0.4,4,28,5,0,31,Matches
Luca Waldschmidt,de GER,FW,26-319,4.2,80,104,76.9,1018,155,51,61,83.6,22,29,75.9,3,6,50.0,0,0.0,0.5,0.0,0,6,1,0,6,Matches
Kilian Fischer,de GER,DF,22-173,4.2,176,215,81.9,2863,1263,91,99,91.9,70,85,82.4,12,20,60.0,0,0.1,0.1,-0.1,2,14,2,2,17,Matches
Josip Brekalo,hr CRO,"MF,FW",24-284,3.0,103,148,69.6,1684,475,57,65,87.7,31,41,75.6,11,20,55.0,1,0.4,0.4,0.6,5,10,4,0,13,Matches
Bartol Franjić,hr CRO,MF,23-079,2.5,61,79,77.2,929,258,33,36,91.7,21,27,77.8,4,7,57.1,1,0.1,0.1,0.9,2,6,1,0,4,Matches
Max Kruse,de GER,"MF,FW",35-015,3.0,90,121,74.4,1644,240,36,49,73.5,42,48,87.5,9,12,75.0,0,0.1,0.2,-0.1,3,4,3,1,7,Matches
Kevin Paredes,us USA,"FW,MF",19-331,4.4,112,150,74.7,1764,588,58,71,81.7,38,46,82.6,10,20,50.0,3,1.4,1.1,1.6,8,8,11,3,21,Matches
Maximilian Philipp,de GER,FW,29-033,1.3,27,42,64.3,427,64,17,19,89.5,7,9,77.8,2,9,22.2,0,0.0,0.1,0.0,1,1,1,0,1,Matches
Jérôme Roussillon,fr FRA,"MF,DF",30-087,0.2,3,7,42.9,40,5,2,3,66.7,1,3,33.3,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
Lukáš Ambros,cz CZE,MF,18-302,0.2,3,3,100.0,43,4,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Nicolas Cozza,fr FRA,DF,24-085,0.2,8,8,100.0,131,18,5,5,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Aster Vranckx,be BEL,MF,20-181,0.1,2,3,66.7,32,10,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.5,26.0,9507,12267,77.5,187581,72525,3439,4091,84.1,4613,5331,86.5,1277,2227,57.3,35,27.7,31.6,7.3,231,738,206,53,981,
Opponent Total,,,27.2,26.0,9131,12018,76.0,173146,67961,3778,4429,85.3,3923,4690,83.6,1204,2174,55.4,22,24.1,28.7,-2.1,248,716,201,55,904,
