Player,minutes_played,matches_played,matches_started,tackles,tackles_won,defensive_third_tackles,midfield_tackles,attacking_third_tackles,shots_blocked,interceptions,clearances,errors_leading_to_goal,shot_creating_actions,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creation_actions,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,yellow_cards,red_cards,fouls,fouls_drawn,offsides,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,short_passes_completed,short_passes_attempted,medium_passes_completed,medium_passes_attempted,long_passes_completed,long_passes_attempted,assists,expected_assists,key_passes,passes_into_final_third,passes_into_penalty_box,crosses_into_penalty_area,progressive_passes,touches_penalty_area_defending,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_penalty_area_attacking,attempted_take_ons,successful_take_ons,tackled_take_ons,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,carry_miscontrols,carry_dispossessions,goals,total_shots,shots_on_target,goals_per_shot,average_shot_distance,freekick_shots,penalty_kicks_converted,penalty_kicks_attempted,xG
Tijjani Reijnders,2423.0,27,27,27.0,14.0,5.0,20.0,2.0,14.0,44.0,23.0,0.0,122.0,90.0,13.0,10.0,5.0,2.0,2.0,12.0,9.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,25.0,12.0,0.0,0.0,0.0,0.0,184.0,16.0,32.0,673.0,725.0,516.0,591.0,90.0,142.0,4.0,5.3,49.0,106.0,44.0,2.0,190.0,45.0,310.0,926.0,634.0,62.0,63.0,32.0,22.0,1155.0,7279.0,3278.0,75.0,69.0,23.0,43.0,31.0,3.0,60.0,19.0,0.05,21.3,4.0,0.0,0.0,4.6
Pantelis Hatzidiakos,2263.0,27,27,47.0,27.0,36.0,8.0,3.0,16.0,19.0,74.0,0.0,45.0,42.0,2.0,0.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,18.0,15.0,0.0,0.0,1.0,0.0,159.0,33.0,35.0,537.0,586.0,620.0,690.0,152.0,256.0,4.0,2.0,18.0,123.0,15.0,4.0,135.0,148.0,761.0,848.0,242.0,24.0,10.0,4.0,4.0,1111.0,5483.0,3218.0,35.0,26.0,3.0,20.0,4.0,0.0,17.0,2.0,0.0,15.1,0.0,0.0,0.0,1.9
Jordy Clasie,2298.0,26,26,55.0,34.0,23.0,29.0,3.0,10.0,32.0,37.0,1.0,58.0,52.0,4.0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,28.0,17.0,0.0,0.0,0.0,0.0,213.0,11.0,11.0,620.0,685.0,554.0,614.0,175.0,242.0,1.0,2.8,20.0,189.0,21.0,3.0,188.0,79.0,412.0,1108.0,311.0,5.0,16.0,9.0,3.0,1050.0,4674.0,2136.0,22.0,34.0,0.0,16.0,17.0,1.0,16.0,3.0,0.06,25.1,0.0,0.0,0.0,0.7
Milos Kerkez,2041.0,26,26,41.0,26.0,21.0,15.0,5.0,8.0,26.0,47.0,0.0,51.0,39.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,29.0,31.0,1.0,0.0,0.0,0.0,104.0,20.0,31.0,445.0,503.0,374.0,473.0,60.0,108.0,1.0,3.1,24.0,53.0,28.0,13.0,86.0,70.0,376.0,585.0,457.0,48.0,44.0,24.0,12.0,713.0,4070.0,2033.0,58.0,41.0,9.0,39.0,11.0,2.0,16.0,7.0,0.13,18.7,0.0,0.0,0.0,1.4
Jens Odgaard,1851.0,24,23,39.0,21.0,11.0,19.0,9.0,5.0,11.0,27.0,0.0,65.0,38.0,1.0,12.0,8.0,5.0,1.0,9.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,33.0,38.0,3.0,0.0,0.0,0.0,80.0,44.0,41.0,184.0,235.0,129.0,173.0,17.0,43.0,4.0,2.0,21.0,21.0,19.0,3.0,52.0,28.0,106.0,388.0,393.0,90.0,69.0,25.0,41.0,554.0,3359.0,1364.0,43.0,30.0,20.0,73.0,47.0,8.0,78.0,33.0,0.1,17.6,3.0,0.0,0.0,7.4
Yukinari Sugawara,1805.0,24,19,42.0,24.0,29.0,12.0,1.0,7.0,14.0,38.0,0.0,48.0,38.0,7.0,2.0,0.0,0.0,1.0,10.0,9.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,11.0,11.0,2.0,0.0,1.0,0.0,120.0,6.0,18.0,423.0,465.0,313.0,389.0,102.0,193.0,6.0,3.0,24.0,68.0,29.0,14.0,74.0,60.0,373.0,505.0,403.0,33.0,13.0,6.0,5.0,653.0,2998.0,1331.0,36.0,17.0,5.0,12.0,4.0,3.0,21.0,11.0,0.14,17.4,0.0,0.0,0.0,2.5
Jesper Karlsson,1577.0,20,19,14.0,8.0,6.0,6.0,2.0,0.0,7.0,7.0,0.0,68.0,54.0,9.0,3.0,2.0,0.0,0.0,9.0,7.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,10.0,10.0,4.0,0.0,0.0,0.0,85.0,3.0,15.0,257.0,290.0,144.0,209.0,47.0,101.0,4.0,4.2,36.0,32.0,40.0,10.0,104.0,13.0,74.0,276.0,469.0,60.0,31.0,10.0,17.0,504.0,2994.0,1278.0,44.0,35.0,19.0,27.0,21.0,6.0,36.0,15.0,0.17,23.8,4.0,0.0,1.0,3.4
Sam Beukema,1582.0,19,17,18.0,9.0,10.0,6.0,2.0,18.0,27.0,85.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,7.0,0.0,0.0,2.0,0.0,114.0,43.0,25.0,316.0,355.0,590.0,637.0,121.0,187.0,0.0,0.6,3.0,99.0,6.0,0.0,97.0,189.0,618.0,702.0,66.0,19.0,5.0,4.0,1.0,892.0,5629.0,3718.0,35.0,9.0,0.0,6.0,1.0,0.0,5.0,1.0,0.0,8.8,0.0,0.0,0.0,0.7
Vangelis Pavlidis,1441.0,19,17,16.0,8.0,2.0,9.0,5.0,1.0,4.0,13.0,0.0,55.0,37.0,1.0,6.0,6.0,3.0,2.0,9.0,4.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,14.0,26.0,13.0,1.0,0.0,0.0,65.0,60.0,46.0,175.0,248.0,126.0,158.0,18.0,31.0,4.0,1.6,22.0,24.0,8.0,0.0,43.0,16.0,53.0,328.0,345.0,109.0,55.0,21.0,30.0,381.0,1874.0,783.0,31.0,14.0,22.0,52.0,40.0,11.0,49.0,23.0,0.2,12.1,0.0,1.0,1.0,9.0
Hobie Verhulst,1440.0,16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,54.0,54.0,172.0,173.0,121.0,320.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,546.0,582.0,2.0,0.0,0.0,0.0,0.0,0.0,351.0,1426.0,719.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
Dani de Wit,1119.0,15,15,26.0,18.0,6.0,8.0,12.0,2.0,11.0,11.0,0.0,21.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,27.0,16.0,2.0,0.0,0.0,0.0,46.0,39.0,34.0,188.0,224.0,70.0,108.0,10.0,19.0,0.0,2.3,15.0,16.0,7.0,0.0,33.0,17.0,88.0,226.0,222.0,51.0,5.0,3.0,2.0,232.0,692.0,196.0,4.0,9.0,0.0,16.0,8.0,5.0,20.0,12.0,0.25,11.9,0.0,0.0,0.0,2.8
Mathew Ryan,990.0,11,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,32.0,33.0,132.0,136.0,92.0,200.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,344.0,381.0,2.0,1.0,1.0,0.0,0.0,0.0,226.0,1146.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.9,0.0,0.0,0.0,0.0
Maxim Dekker,844.0,13,10,11.0,6.0,6.0,5.0,0.0,3.0,8.0,30.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,27.0,17.0,8.0,161.0,179.0,226.0,243.0,41.0,69.0,0.0,0.2,1.0,32.0,2.0,0.0,39.0,53.0,264.0,295.0,11.0,3.0,0.0,0.0,0.0,372.0,1950.0,1259.0,11.0,5.0,0.0,2.0,1.0,1.0,2.0,1.0,0.5,7.6,0.0,0.0,0.0,0.3
Myron van Brederode,738.0,19,10,13.0,9.0,3.0,9.0,1.0,0.0,7.0,4.0,0.0,38.0,31.0,0.0,2.0,0.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,11.0,5.0,0.0,0.0,0.0,51.0,2.0,6.0,150.0,164.0,78.0,106.0,12.0,25.0,0.0,2.2,16.0,16.0,23.0,3.0,54.0,5.0,33.0,141.0,265.0,46.0,47.0,27.0,18.0,306.0,1940.0,1013.0,36.0,28.0,13.0,28.0,18.0,2.0,7.0,2.0,0.29,18.4,1.0,0.0,0.0,0.7
Sven Mijnans,645.0,8,7,11.0,6.0,5.0,4.0,2.0,2.0,10.0,5.0,0.0,21.0,17.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,7.0,2.0,1.0,0.0,0.0,33.0,9.0,14.0,127.0,146.0,88.0,101.0,14.0,27.0,1.0,1.2,12.0,27.0,8.0,0.0,37.0,8.0,58.0,182.0,137.0,26.0,14.0,8.0,6.0,214.0,720.0,252.0,2.0,5.0,2.0,8.0,14.0,2.0,12.0,5.0,0.17,16.6,0.0,0.0,0.0,2.4
Wouter Goes,567.0,7,7,5.0,4.0,3.0,2.0,0.0,2.0,7.0,20.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,33.0,7.0,12.0,97.0,106.0,189.0,210.0,32.0,59.0,0.0,0.4,2.0,27.0,0.0,0.0,26.0,35.0,202.0,220.0,6.0,3.0,6.0,5.0,0.0,291.0,1942.0,1376.0,8.0,3.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,3.2,0.0,0.0,0.0,0.6
Håkon Evjen,513.0,8,6,10.0,7.0,1.0,7.0,2.0,0.0,3.0,3.0,0.0,22.0,15.0,5.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,27.0,3.0,1.0,93.0,106.0,55.0,65.0,11.0,22.0,1.0,1.5,11.0,9.0,10.0,3.0,18.0,7.0,29.0,86.0,151.0,17.0,12.0,5.0,6.0,163.0,913.0,329.0,13.0,8.0,4.0,10.0,7.0,0.0,14.0,3.0,0.0,21.4,0.0,0.0,0.0,0.9
Djordje Mihailovic,386.0,9,4,21.0,12.0,8.0,13.0,0.0,0.0,3.0,4.0,0.0,15.0,13.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,25.0,6.0,7.0,63.0,81.0,38.0,47.0,5.0,7.0,1.0,0.4,10.0,10.0,8.0,0.0,20.0,6.0,33.0,102.0,83.0,14.0,2.0,1.0,1.0,109.0,566.0,241.0,6.0,5.0,4.0,16.0,5.0,1.0,8.0,3.0,0.13,17.3,0.0,0.0,0.0,1.7
Bruno Martins Indi,314.0,4,4,2.0,1.0,2.0,0.0,0.0,2.0,1.0,11.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,11.0,56.0,60.0,145.0,158.0,36.0,53.0,0.0,0.3,3.0,34.0,1.0,0.0,20.0,21.0,100.0,170.0,28.0,4.0,0.0,0.0,0.0,199.0,996.0,680.0,8.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.2,0.0,0.0,0.0,0.1
Mees de Wit,517.0,20,2,14.0,8.0,8.0,5.0,1.0,2.0,5.0,15.0,0.0,16.0,13.0,0.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,35.0,14.0,9.0,137.0,156.0,124.0,149.0,24.0,37.0,1.0,0.4,5.0,22.0,3.0,3.0,22.0,24.0,123.0,204.0,113.0,12.0,10.0,6.0,2.0,237.0,1169.0,498.0,12.0,5.0,3.0,12.0,7.0,2.0,8.0,2.0,0.25,17.4,0.0,0.0,0.0,0.6
Zinho Vanheusden,215.0,6,2,2.0,0.0,1.0,1.0,0.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,16.0,9.0,11.0,28.0,34.0,51.0,62.0,15.0,24.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,19.0,81.0,62.0,2.0,0.0,0.0,0.0,0.0,94.0,533.0,265.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30.7,0.0,0.0,0.0,0.0
Riechedly Bazoer,230.0,10,1,6.0,6.0,3.0,3.0,0.0,1.0,1.0,9.0,0.0,7.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,12.0,9.0,6.0,65.0,75.0,37.0,49.0,7.0,11.0,0.0,0.1,0.0,11.0,1.0,0.0,9.0,8.0,27.0,103.0,59.0,7.0,5.0,3.0,2.0,108.0,413.0,129.0,2.0,3.0,0.0,7.0,2.0,0.0,6.0,2.0,0.0,20.8,0.0,0.0,0.0,0.3
