Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Jurriën Timber,nl NED,DF,21-293,27,27,2404.0,26.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,4.2,4.2,0.6,4.8,64.0,239.0,34.0,0.04,0.07,0.11,0.04,0.11,0.16,0.02,0.18,0.16,0.18,Matches
Dušan Tadić,rs SRB,"FW,MF",34-137,27,27,2337.0,26.0,8.0,15.0,23.0,5.0,3.0,3.0,3.0,0.0,7.1,4.7,16.1,20.8,83.0,197.0,476.0,0.31,0.58,0.89,0.19,0.77,0.27,0.62,0.89,0.18,0.8,Matches
Edson Álvarez,mx MEX,"MF,DF",25-164,25,24,2046.0,22.7,3.0,2.0,5.0,3.0,0.0,0.0,9.0,0.0,2.6,2.6,2.2,4.8,48.0,166.0,19.0,0.13,0.09,0.22,0.13,0.22,0.12,0.1,0.21,0.12,0.21,Matches
Kenneth Taylor,nl NED,MF,20-325,25,22,1905.0,21.2,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,3.1,3.1,2.3,5.4,51.0,190.0,90.0,0.33,0.14,0.47,0.33,0.47,0.15,0.11,0.26,0.15,0.26,Matches
Steven Berghuis,nl NED,"MF,FW",31-108,25,22,1809.0,20.1,7.0,7.0,14.0,6.0,1.0,1.0,3.0,0.0,5.0,4.2,5.0,9.2,35.0,233.0,129.0,0.35,0.35,0.7,0.3,0.65,0.25,0.25,0.5,0.21,0.46,Matches
Devyne Rensch,nl NED,DF,20-078,22,22,1686.0,18.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,1.0,1.8,1.8,1.0,2.8,24.0,130.0,131.0,0.16,0.05,0.21,0.16,0.21,0.1,0.05,0.15,0.1,0.15,Matches
Steven Bergwijn,nl NED,"FW,MF",25-180,25,21,1740.0,19.3,9.0,5.0,14.0,9.0,0.0,0.0,0.0,0.0,7.0,7.0,4.1,11.1,102.0,119.0,267.0,0.47,0.26,0.72,0.47,0.72,0.36,0.21,0.57,0.36,0.57,Matches
Calvin Bassey,ng NGA,DF,23-096,23,19,1757.0,19.5,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,2.8,3.5,41.0,113.0,76.0,0.05,0.15,0.2,0.05,0.2,0.04,0.14,0.18,0.04,0.18,Matches
Davy Klaassen,nl NED,MF,30-044,26,17,1633.0,18.1,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,6.7,6.7,3.5,10.2,5.0,56.0,50.0,0.39,0.17,0.55,0.39,0.55,0.37,0.19,0.56,0.37,0.56,Matches
Kudus Mohammed,gh GHA,"FW,MF",22-247,26,15,1478.0,16.4,11.0,2.0,13.0,11.0,0.0,0.0,1.0,0.0,9.5,9.5,2.5,12.0,54.0,56.0,128.0,0.67,0.12,0.79,0.67,0.79,0.58,0.15,0.73,0.58,0.73,Matches
Remko Pasveer,nl NED,GK,39-149,15,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Brian Brobbey,nl NED,FW,21-064,26,13,1273.0,14.1,11.0,2.0,13.0,11.0,0.0,0.0,1.0,0.0,10.4,10.4,2.5,12.9,10.0,9.0,118.0,0.78,0.14,0.92,0.78,0.92,0.74,0.18,0.91,0.74,0.91,Matches
Owen Wijndal,nl NED,DF,23-129,16,12,1084.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.8,1.5,29.0,71.0,84.0,0.0,0.08,0.08,0.0,0.08,0.05,0.07,0.12,0.05,0.12,Matches
Gerónimo Rulli,ar ARG,GK,30-321,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Daley Blind,nl NED,DF,33-028,13,11,943.0,10.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,1.3,1.8,33.0,185.0,46.0,0.0,0.19,0.19,0.0,0.19,0.05,0.12,0.17,0.05,0.17,Matches
Jorge Eduardo Sánchez,mx MEX,DF,25-117,13,8,833.0,9.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.9,0.9,1.2,2.1,11.0,46.0,51.0,0.11,0.11,0.22,0.11,0.22,0.1,0.13,0.23,0.1,0.23,Matches
Francisco Conceição,pt POR,"FW,MF",20-113,16,4,470.0,5.2,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.3,1.3,1.2,2.5,31.0,35.0,76.0,0.0,0.38,0.38,0.0,0.38,0.25,0.23,0.48,0.25,0.48,Matches
Antony,br BRA,FW,23-041,2,2,180.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,0.9,14.0,12.0,33.0,0.5,1.0,1.5,0.5,1.5,0.19,0.28,0.47,0.19,0.47,Matches
Florian Grillitsch,at AUT,"MF,DF",27-242,7,1,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.1,1.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
