Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Jurriën Timber,nl NED,DF,21-293,27,2404.0,89.0,98.9,26.7,27,89.0,23,0,,0,2.07,72.0,28.0,44.0,1.65,1.65,61.4,22.5,38.9,1.46,0.35,Matches
Dušan Tadić,rs SRB,"FW,MF",34-137,27,2337.0,87.0,96.2,26.0,27,87.0,21,0,,0,2.07,64.0,25.0,39.0,1.5,-3.34,58.0,21.6,36.4,1.4,-1.39,Matches
Edson Álvarez,mx MEX,"MF,DF",25-164,25,2046.0,82.0,84.2,22.7,24,84.0,20,1,28.0,0,2.08,59.0,24.0,35.0,1.54,-0.57,49.8,20.0,29.8,1.31,-0.9,Matches
Kenneth Taylor,nl NED,MF,20-325,25,1905.0,76.0,78.4,21.2,22,82.0,13,3,31.0,0,2.0,54.0,20.0,34.0,1.61,-0.11,46.1,16.5,29.6,1.4,-0.24,Matches
Steven Berghuis,nl NED,"MF,FW",31-108,25,1809.0,72.0,74.4,20.1,22,80.0,11,3,18.0,1,2.16,53.0,22.0,31.0,1.54,-0.34,47.8,17.2,30.6,1.52,0.27,Matches
Devyne Rensch,nl NED,DF,20-078,22,1686.0,77.0,69.4,18.7,22,77.0,10,0,,1,2.18,48.0,18.0,30.0,1.6,-0.09,44.4,14.7,29.6,1.58,0.42,Matches
Steven Bergwijn,nl NED,"FW,MF",25-180,25,1740.0,70.0,71.6,19.3,21,77.0,7,4,29.0,0,2.08,60.0,21.0,39.0,2.02,1.37,45.6,17.1,28.5,1.48,0.08,Matches
Calvin Bassey,ng NGA,DF,23-096,23,1757.0,76.0,72.3,19.5,19,86.0,17,4,31.0,2,2.0,50.0,20.0,30.0,1.54,-0.34,43.9,16.5,27.4,1.41,-0.16,Matches
Davy Klaassen,nl NED,MF,30-044,26,1633.0,63.0,67.2,18.1,17,82.0,10,9,26.0,1,2.04,46.0,16.0,30.0,1.65,0.07,43.8,14.9,28.8,1.59,0.41,Matches
Kudus Mohammed,gh GHA,"FW,MF",22-247,26,1478.0,57.0,60.8,16.4,15,83.0,8,11,21.0,0,2.12,41.0,17.0,24.0,1.46,-0.43,36.8,13.2,23.6,1.44,-0.04,Matches
Remko Pasveer,nl NED,GK,39-149,15,1350.0,90.0,55.6,15.0,15,90.0,15,0,,12,2.07,45.0,18.0,27.0,1.8,0.38,37.5,12.8,24.7,1.65,0.43,Matches
Brian Brobbey,nl NED,FW,21-064,26,1273.0,49.0,52.4,14.1,13,71.0,2,13,27.0,1,2.04,41.0,14.0,27.0,1.91,0.59,33.5,11.6,21.9,1.55,0.21,Matches
Owen Wijndal,nl NED,DF,23-129,16,1084.0,68.0,44.6,12.0,12,81.0,5,4,28.0,6,2.31,42.0,15.0,27.0,2.24,1.1,28.7,10.6,18.2,1.51,0.1,Matches
Gerónimo Rulli,ar ARG,GK,30-321,12,1080.0,90.0,44.4,12.0,12,90.0,12,0,,0,2.08,27.0,10.0,17.0,1.42,-0.38,24.3,9.7,14.5,1.21,-0.43,Matches
Daley Blind,nl NED,DF,33-028,13,943.0,73.0,38.8,10.5,11,79.0,8,2,39.0,1,2.31,32.0,12.0,20.0,1.91,0.46,27.7,9.4,18.3,1.75,0.48,Matches
Jorge Eduardo Sánchez,mx MEX,DF,25-117,13,833.0,64.0,34.3,9.3,8,87.0,5,5,27.0,8,1.77,20.0,9.0,11.0,1.19,-0.67,16.2,8.2,8.0,0.86,-0.9,Matches
Francisco Conceição,pt POR,"FW,MF",20-113,16,470.0,29.0,19.3,5.2,4,62.0,0,12,18.0,7,2.06,10.0,8.0,2.0,0.38,-1.55,10.6,4.5,6.1,1.17,-0.36,Matches
Antony,br BRA,FW,23-041,2,180.0,90.0,7.4,2.0,2,90.0,2,0,,0,3.0,9.0,3.0,6.0,3.0,1.48,5.3,1.5,3.7,1.87,0.44,Matches
Florian Grillitsch,at AUT,"MF,DF",27-242,7,171.0,24.0,7.0,1.9,1,62.0,0,6,18.0,9,2.43,6.0,3.0,3.0,1.58,-0.05,4.3,1.5,2.8,1.47,0.02,Matches
Youri Baas,nl NED,"DF,MF",20-020,4,124.0,31.0,5.1,1.4,1,68.0,0,3,19.0,10,2.5,2.0,2.0,0.0,0.0,-1.72,1.6,0.7,1.0,0.71,-0.78,Matches
Lucas Ocampos,ar ARG,FW,28-269,4,102.0,26.0,4.2,1.1,1,62.0,0,3,13.0,6,1.75,1.0,0.0,1.0,0.88,-0.78,2.3,0.1,2.2,1.98,0.55,Matches
Perr Schuurs,nl NED,DF,23-131,2,52.0,26.0,2.1,0.6,1,45.0,0,1,7.0,0,3.0,1.0,1.0,0.0,0.0,-1.67,1.0,0.5,0.5,0.93,-0.54,Matches
Lorenzo Lucca,it ITA,"FW,DF",22-208,12,125.0,10.0,5.1,1.4,0,,0,12,10.0,15,1.25,4.0,1.0,3.0,2.16,0.56,4.5,0.8,3.7,2.61,1.22,Matches
Jorrel Hato,nl NED,DF,17-030,4,45.0,11.0,1.9,0.5,0,,0,4,11.0,9,3.0,3.0,0.0,3.0,6.0,4.45,1.7,0.2,1.6,3.1,1.68,Matches
Lisandro Magallán,ar ARG,DF,29-191,2,22.0,11.0,0.9,0.2,0,,0,2,11.0,12,3.0,0.0,1.0,-1.0,-4.09,-5.77,0.3,0.2,0.2,0.74,-0.72,Matches
Kian Fitz-Jim,nl NED,"MF,DF",19-275,2,18.0,9.0,0.7,0.2,0,,0,2,9.0,14,2.0,1.0,0.0,1.0,5.0,3.4,1.1,0.1,0.9,4.93,3.5,Matches
Youri Regeer,nl NED,MF,19-231,1,5.0,5.0,0.2,0.1,0,,0,1,5.0,16,3.0,1.0,0.0,1.0,18.0,16.4,0.5,0.1,0.5,6.98,5.54,Matches
Christian Rasmussen,dk DEN,FW,20-077,2,2.0,1.0,0.1,0.0,0,,0,2,1.0,2,2.0,0.0,0.0,0.0,0.0,-1.63,0.4,0.0,0.4,18.19,16.75,Matches
Olivier Aertssen,nl NED,DF,18-242,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Jaydon Amauri Banel,nl NED,FW,18-169,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jay Gorter,nl NED,GK,22-311,0,,,,,0,,0,0,,15,,,,,,,,,,,,Matches
Victor Jensen,dk DEN,MF,23-057,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Ahmetcan Kaplan,tr TUR,DF,20-080,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Sean Klaiber,sr SUR,"DF,MF",28-249,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Kristian Nökkvi Hlynsson,is ISL,MF,19-073,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Maarten Stekelenburg,nl NED,GK,40-196,0,,,,,0,,0,0,,27,,,,,,,,,,,,Matches
Silvano Vos,nl NED,MF,18-021,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,26.4,27,2430.0,90.0,100.0,27.0,297,82.0,189,107,21.0,193,2.07,72.0,28.0,44.0,1.63,,61.8,22.5,39.2,1.45,,
Opponent Total,,,25.8,27,2430.0,90.0,100.0,27.0,297,82.0,189,107,21.0,178,0.63,28.0,72.0,-44.0,-1.63,,22.5,61.8,-39.2,-1.45,,
