Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Jurriën Timber,nl NED,DF,21-290,25.7,2314,129,649,1396,287,46,2314,29,14,48.3,11,37.9,1631,8838,5676,63,51,3,20,15,1795,34,Matches
Dušan Tadić,rs SRB,"FW,MF",34-134,25.0,1707,15,100,429,1189,214,1704,39,16,41.0,17,43.6,1044,4848,2156,80,49,24,55,52,1260,451,Matches
Edson Álvarez,mx MEX,"MF,DF",25-161,21.7,2088,139,617,1189,304,60,2088,29,15,51.7,11,37.9,1311,8022,4360,46,37,0,21,17,1418,18,Matches
Devyne Rensch,nl NED,DF,20-075,18.7,1442,32,339,656,453,51,1442,20,6,30.0,11,55.0,832,3471,1721,24,28,8,19,9,958,131,Matches
Kenneth Taylor,nl NED,MF,20-322,20.2,1640,23,213,912,524,53,1640,36,19,52.8,14,38.9,1092,5596,2712,48,39,14,31,21,1298,89,Matches
Steven Berghuis,nl NED,"MF,FW",31-105,19.2,1625,18,147,747,743,71,1624,27,12,44.4,15,55.6,1053,4407,1835,32,47,5,24,17,1259,124,Matches
Steven Bergwijn,nl NED,"FW,MF",25-177,19.1,1188,3,66,361,779,160,1188,65,28,43.1,28,43.1,852,5362,2875,101,67,50,43,30,991,265,Matches
Calvin Bassey,ng NGA,DF,23-093,19.5,1699,101,580,866,266,27,1699,12,8,66.7,2,16.7,1115,6017,3294,41,30,2,23,6,1194,76,Matches
Davy Klaassen,nl NED,MF,30-041,17.1,787,22,110,341,339,76,787,6,1,16.7,5,83.3,382,1388,374,5,6,2,14,14,509,49,Matches
Remko Pasveer,nl NED,GK,39-146,15.0,608,445,593,14,1,0,608,0,0,,0,,404,2100,1276,0,1,0,0,0,370,1,Matches
Kudus Mohammed,gh GHA,"FW,MF",22-244,15.4,746,13,66,313,394,108,746,103,62,60.2,33,32.0,521,3493,1593,52,33,20,53,53,553,121,Matches
Brian Brobbey,nl NED,FW,21-061,13.4,406,10,22,136,251,137,406,17,4,23.5,12,70.6,229,1108,338,10,7,9,27,16,302,107,Matches
Owen Wijndal,nl NED,DF,23-126,11.8,828,18,190,385,264,33,828,13,7,53.8,2,15.4,545,2556,1281,27,20,6,9,10,596,79,Matches
Gerónimo Rulli,ar ARG,GK,30-318,11.0,497,400,495,4,0,0,497,0,0,,0,,346,1564,953,0,0,0,1,0,312,0,Matches
Daley Blind,nl NED,DF,33-025,10.5,1212,53,283,683,253,26,1212,8,4,50.0,2,25.0,818,4025,2541,33,28,1,7,7,929,46,Matches
Jorge Eduardo Sánchez,mx MEX,DF,25-114,8.3,627,30,169,258,206,21,627,24,6,25.0,14,58.3,346,1558,743,10,12,1,20,7,353,48,Matches
Francisco Conceição,pt POR,"FW,MF",20-110,5.1,297,1,28,89,189,44,297,31,13,41.9,15,48.4,220,1717,953,30,13,16,16,7,221,73,Matches
Antony,br BRA,FW,23-038,2.0,133,0,5,30,100,12,133,12,8,66.7,4,33.3,94,632,409,14,8,4,4,1,104,33,Matches
Florian Grillitsch,at AUT,"MF,DF",27-239,1.9,206,4,40,123,43,4,206,1,0,0.0,1,100.0,129,527,206,1,3,0,1,1,149,10,Matches
Lucas Ocampos,ar ARG,FW,28-266,1.1,86,2,11,35,40,10,86,5,0,0.0,5,100.0,50,315,149,4,2,1,2,0,59,21,Matches
Perr Schuurs,nl NED,DF,23-128,0.6,53,8,20,26,7,0,53,0,0,,0,,33,157,90,1,1,0,1,0,35,0,Matches
Lorenzo Lucca,it ITA,"FW,DF",22-205,1.3,71,0,2,17,52,28,71,1,0,0.0,1,100.0,35,83,15,0,0,0,9,3,59,19,Matches
Youri Baas,nl NED,"DF,MF",20-017,0.6,52,4,13,26,13,1,52,1,1,100.0,0,0.0,33,131,67,2,0,0,1,0,30,1,Matches
Jorrel Hato,nl NED,DF,17-027,0.5,57,3,15,30,12,0,57,1,0,0.0,1,100.0,43,221,120,3,0,0,1,1,44,3,Matches
Lisandro Magallán,ar ARG,DF,29-188,0.2,14,3,9,4,1,1,14,0,0,,0,,4,9,1,0,0,0,0,0,5,0,Matches
Kian Fitz-Jim,nl NED,"MF,DF",19-272,0.2,22,1,2,14,6,0,22,0,0,,0,,18,64,20,0,1,0,0,0,18,3,Matches
Youri Regeer,nl NED,MF,19-228,0.1,9,1,5,3,1,0,9,0,0,,0,,6,17,3,0,0,0,0,0,4,0,Matches
Christian Rasmussen,dk DEN,FW,20-074,0.0,11,0,0,4,7,3,11,1,1,100.0,0,0.0,6,31,1,0,0,0,1,0,4,1,Matches
Squad Total,,,26.4,26.0,20425,1478,4789,9091,6724,1186,20421,481,225,46.8,204,42.4,13192,68257,35762,627,483,166,403,287,14829,1803,
Opponent Total,,,25.8,26.0,12059,2223,5240,4481,2487,367,12059,385,149,38.7,206,53.5,6065,33990,16954,305,242,80,364,244,6322,548,
