Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Alex Bangura,sl SLE,DF,23-249,20.7,762,994,76.7,13501,4151,320,372,86.0,345,415,83.1,84,160,52.5,2,2.9,2.5,-0.9,11,47,12,4,60,Matches
Leon Bergsma,nl NED,DF,26-053,19.2,896,1079,83.0,18399,6188,261,303,86.1,508,558,91.0,119,193,61.7,0,0.0,0.2,0.0,2,54,1,0,70,Matches
Mitchell Paulissen,nl NED,MF,29-332,18.5,479,666,71.9,8430,2873,230,285,80.7,172,227,75.8,62,108,57.4,0,2.3,2.1,-2.3,30,60,12,2,83,Matches
Daniël van Kaam,nl NED,MF,22-269,17.7,408,523,78.0,7112,1845,172,209,82.3,180,211,85.3,40,69,58.0,0,0.6,0.8,-0.6,13,45,8,3,55,Matches
Mees Hoedemakers,nl NED,MF,25-029,16.4,611,799,76.5,11780,3306,248,292,84.9,254,297,85.5,92,150,61.3,0,1.4,1.3,-1.4,15,85,5,2,107,Matches
Marco Tol,nl NED,DF,24-328,16.2,691,801,86.3,15673,4749,161,178,90.4,390,426,91.5,132,178,74.2,0,0.2,0.1,-0.2,4,42,1,0,60,Matches
João Virgínia,pt POR,GK,23-160,17.0,447,673,66.4,13935,11074,81,81,100.0,185,192,96.4,180,392,45.9,0,0.2,0.1,-0.2,1,15,0,0,0,Matches
Doke Schmidt,nl NED,DF,30-346,15.6,644,849,75.9,12920,4588,208,247,84.2,332,400,83.0,93,175,53.1,0,0.3,0.4,-0.3,7,51,7,2,54,Matches
Silvester van der Water,nl NED,"FW,MF",26-170,12.3,185,341,54.3,3771,1143,74,104,71.2,64,113,56.6,38,99,38.4,0,1.7,1.9,-1.7,17,22,14,9,25,Matches
Floris Smand,nl NED,DF,20-058,13.3,642,708,90.7,12588,3272,191,219,87.2,383,405,94.6,63,75,84.0,0,0.0,0.1,0.0,0,21,0,0,30,Matches
Jamie Jacobs,nl NED,MF,25-106,11.8,218,338,64.5,3563,1027,99,134,73.9,89,127,70.1,19,41,46.3,0,0.7,1.2,-0.7,12,28,6,3,28,Matches
Sai van Wermeskerken,jp JPN,DF,28-264,12.7,520,657,79.1,9394,3237,224,249,90.0,219,263,83.3,65,110,59.1,0,1.0,0.9,-1.0,4,34,8,7,46,Matches
Michael Breij,nl NED,"FW,MF",26-063,12.7,243,343,70.8,3862,1046,130,165,78.8,87,115,75.7,19,42,45.2,2,1.1,1.2,0.9,12,25,10,4,38,Matches
Roberts Uldriķis,lv LVA,FW,24-350,10.2,115,201,57.2,1557,264,64,106,60.4,30,58,51.7,8,13,61.5,0,0.9,1.5,-0.9,10,3,2,1,10,Matches
Remco Balk,nl NED,"FW,MF",22-017,9.7,162,263,61.6,2752,635,80,99,80.8,58,88,65.9,20,44,45.5,0,0.6,1.1,-0.6,8,7,9,4,14,Matches
Robbin Ruiter,nl NED,GK,35-359,8.0,258,380,67.9,7421,5623,57,57,100.0,102,102,100.0,98,219,44.7,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Tom Boere,nl NED,FW,30-115,6.8,90,144,62.5,1183,212,52,75,69.3,29,45,64.4,1,3,33.3,1,1.4,0.6,-0.4,8,7,4,0,9,Matches
Navarone Foor,nl NED,"MF,FW",31-043,5.4,108,179,60.3,1643,767,61,81,75.3,34,53,64.2,9,28,32.1,3,1.4,0.9,1.6,10,16,5,2,22,Matches
Bjørn Johnsen,no NOR,FW,31-133,5.2,63,100,63.0,943,268,30,50,60.0,24,34,70.6,4,7,57.1,0,0.6,0.5,-0.6,5,9,2,0,11,Matches
Milan Smit,nl NED,"FW,MF",20-034,3.8,64,103,62.1,972,216,35,46,76.1,20,33,60.6,4,10,40.0,1,0.1,0.1,0.9,3,7,0,0,11,Matches
Robin Maulun,fr FRA,"MF,FW",26-116,3.4,141,189,74.6,2535,876,61,75,81.3,67,86,77.9,12,25,48.0,0,0.5,0.8,-0.5,5,21,4,2,34,Matches
Felix Mambimbi,ch SUI,"FW,MF",22-060,3.3,51,84,60.7,673,174,32,40,80.0,14,27,51.9,2,6,33.3,1,0.3,0.3,0.7,5,1,5,1,6,Matches
Mimoun Mahi,ma MAR,"FW,MF",29-006,3.2,76,109,69.7,1247,351,46,55,83.6,21,35,60.0,8,14,57.1,1,1.5,1.0,-0.5,6,6,8,5,8,Matches
Calvin Mac-Intosch,sr SUR,DF,33-222,2.8,97,121,80.2,1917,660,33,36,91.7,49,58,84.5,14,24,58.3,0,0.6,0.8,-0.6,1,2,0,0,10,Matches
David Sambissa,ga GAB,"FW,MF",27-067,4.6,99,166,59.6,1523,415,53,65,81.5,31,49,63.3,9,33,27.3,1,1.1,0.9,-0.1,12,2,7,7,7,Matches
Jasper Ter Heide,nl NED,"MF,FW",23-355,1.0,5,9,55.6,96,30,1,3,33.3,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Vincent Pichel,nl NED,"MF,FW",21-127,0.8,9,13,69.2,129,43,4,4,100.0,4,4,100.0,0,2,0.0,0,0.0,0.0,0.0,1,1,0,0,2,Matches
Ben Rienstra,nl NED,"MF,DF",32-287,0.5,21,27,77.8,400,73,5,6,83.3,14,15,93.3,2,5,40.0,0,0.0,0.1,0.0,0,1,1,0,3,Matches
Sékou Oumar Sylla,gn GUI,DF,24-069,0.2,10,15,66.7,221,63,2,2,100.0,6,6,100.0,2,5,40.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Sam Hendriks,nl NED,MF,28-053,0.1,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,26.2,25.0,8115,10875,74.6,160140,59169,3015,3638,82.9,3714,4446,83.5,1200,2232,53.8,12,21.4,21.7,-9.4,202,616,131,58,804,
Opponent Total,,,25.6,25.0,9796,12499,78.4,176808,67433,4409,5089,86.6,3999,4753,84.1,1119,1994,56.1,29,32.8,41.1,-3.8,325,888,281,69,1156,
