Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Stijn van Gassel,nl NED,GK,26-152,25.0,627,960,65.3,20031,15243,91,92,98.9,259,267,97.0,276,596,46.3,0,0.0,0.1,0.0,0,17,0,0,0,Matches
Siebe Horemans,be BEL,DF,24-290,24.2,932,1276,73.0,18591,8405,365,448,81.5,390,497,78.5,164,265,61.9,1,1.6,1.5,-0.6,17,84,15,6,103,Matches
Redouan El Yaakoubi,nl NED,DF,27-053,23.5,857,1142,75.0,19185,8450,249,298,83.6,433,506,85.6,166,308,53.9,0,0.8,0.5,-0.8,8,94,9,2,88,Matches
Kenzo Goudmijn,nl NED,MF,21-091,22.6,614,823,74.6,11260,3404,249,311,80.1,265,329,80.5,75,120,62.5,1,1.9,3.0,-0.9,23,88,23,4,115,Matches
Nathan Tjoe-A-On,nl NED,DF,21-087,22.9,773,1036,74.6,14360,5419,317,373,85.0,340,421,80.8,100,183,54.6,1,1.0,1.6,0.0,15,62,19,12,74,Matches
Marouan Azarkan,nl NED,"FW,MF",21-101,15.3,339,529,64.1,5687,2111,169,221,76.5,123,179,68.7,35,84,41.7,4,2.3,3.2,1.7,25,29,36,9,76,Matches
Julian Baas,nl NED,"MF,FW",20-337,19.3,485,644,75.3,8777,2517,210,253,83.0,202,245,82.4,59,100,59.0,5,2.1,2.3,2.9,17,49,5,0,51,Matches
Couhaib Driouech,nl NED,"FW,MF",20-336,18.6,365,518,70.5,5787,1286,190,238,79.8,130,162,80.2,31,71,43.7,2,2.0,2.9,0.0,20,20,20,7,35,Matches
Sven Nieuwpoort,nl NED,DF,29-340,14.9,419,475,88.2,8134,2761,141,152,92.8,237,255,92.9,38,61,62.3,0,0.4,0.1,-0.4,1,14,2,0,21,Matches
Reda Kharchouch,nl NED,FW,27-204,12.4,193,305,63.3,2483,416,117,170,68.8,58,87,66.7,4,12,33.3,1,1.3,1.1,-0.3,12,6,3,0,14,Matches
Serano Seymor,nl NED,DF,21-074,10.5,332,408,81.4,7368,2377,62,74,83.8,223,248,89.9,47,80,58.8,0,0.0,0.1,0.0,1,18,1,1,24,Matches
Lazaros Lamprou,gr GRE,"FW,MF",25-090,10.0,221,312,70.8,3470,1000,133,163,81.6,62,82,75.6,18,45,40.0,2,1.4,1.6,0.6,13,10,10,0,24,Matches
Yassin Ayoub,nl NED,MF,29-013,7.3,274,340,80.6,4517,1602,132,148,89.2,100,122,82.0,31,47,66.0,0,0.6,1.0,-0.6,7,41,6,0,42,Matches
Mike van Duinen,nl NED,"FW,MF",31-133,9.9,85,144,59.0,1049,227,60,81,74.1,21,37,56.8,1,4,25.0,0,0.1,0.1,-0.1,2,10,2,0,9,Matches
Adrian Fein,de GER,MF,24-001,8.1,257,318,80.8,4253,1385,124,143,86.7,112,129,86.8,17,30,56.7,0,0.4,0.6,-0.4,5,31,7,2,48,Matches
Peer Koopmeiners,nl NED,MF,22-319,7.8,250,311,80.4,4448,1424,92,105,87.6,116,142,81.7,28,43,65.1,0,0.8,0.9,-0.8,7,36,4,2,39,Matches
Joshua Eijgenraam,nl NED,MF,22-029,6.5,152,202,75.2,2663,846,66,84,78.6,67,82,81.7,14,22,63.6,0,0.0,0.1,0.0,1,17,0,0,14,Matches
Nathan Markelo,cw CUW,DF,24-071,3.8,130,160,81.3,2251,712,66,73,90.4,53,63,84.1,8,16,50.0,0,0.2,0.1,-0.2,2,5,1,0,7,Matches
Nikolas Agrafiotis,nl NED,"FW,MF",22-328,3.4,60,96,62.5,753,209,35,54,64.8,16,24,66.7,2,4,50.0,0,0.6,0.1,-0.6,3,6,2,0,7,Matches
Noah Naujoks,nl NED,MF,20-321,3.0,56,77,72.7,726,242,33,42,78.6,14,18,77.8,3,5,60.0,0,0.2,0.2,-0.2,4,4,2,2,8,Matches
Maxime Awoudja,de GER,DF,25-045,2.8,73,97,75.3,1330,239,26,34,76.5,41,49,83.7,4,11,36.4,0,0.0,0.1,0.0,0,2,1,1,5,Matches
Raphaël Eyongo,nl NED,"FW,MF",19-302,0.9,9,17,52.9,131,28,4,9,44.4,5,7,71.4,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Jacky Donkor,be BEL,"FW,MF",24-127,0.7,21,37,56.8,357,140,8,11,72.7,10,18,55.6,2,4,50.0,0,0.1,0.1,-0.1,1,2,2,1,4,Matches
Vicente Besuijen,nl NED,"FW,MF",21-343,0.7,18,25,72.0,274,60,10,11,90.9,6,9,66.7,2,3,66.7,0,0.0,0.0,0.0,0,3,1,0,2,Matches
Arthur Zagre,fr FRA,DF,21-166,0.2,9,10,90.0,125,39,5,5,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Luuk Admiraal,nl NED,FW,21-004,0.0,2,3,66.7,22,4,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,24.2,25.0,7553,10265,73.6,148032,60546,2956,3595,82.2,3287,3983,82.5,1125,2114,53.2,17,17.7,21.1,-0.7,184,650,171,49,811,
Opponent Total,,,25.7,25.0,11403,14194,80.3,206092,73783,4841,5517,87.7,4988,5753,86.7,1260,2144,58.8,39,37.0,40.9,2.0,312,984,315,61,1334,
