Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Javairô Dilrosun,nl NED,"FW,MF",24-270,24,23,1746.0,19.4,5.0,5.0,10.0,5.0,0.0,0.0,1.0,0.0,2.9,2.9,3.2,6.1,84.0,70.0,205.0,0.26,0.26,0.52,0.26,0.52,0.15,0.16,0.31,0.15,0.31,Matches
Dávid Hancko,sk SVK,DF,25-096,22,22,1935.0,21.5,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.1,2.1,1.8,3.9,53.0,178.0,38.0,0.05,0.14,0.19,0.05,0.19,0.1,0.08,0.18,0.1,0.18,Matches
Orkun Kökçü,tr TUR,MF,22-080,23,22,1915.0,21.3,8.0,1.0,9.0,6.0,2.0,2.0,5.0,0.0,4.9,3.3,5.6,8.9,67.0,269.0,74.0,0.38,0.05,0.42,0.28,0.33,0.23,0.26,0.49,0.15,0.42,Matches
Lutsharel Geertruida,nl NED,"DF,MF",22-244,22,21,1898.0,21.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.5,2.5,2.1,4.6,45.0,149.0,35.0,0.09,0.05,0.14,0.09,0.14,0.12,0.1,0.22,0.12,0.22,Matches
Marcus Pedersen,no NOR,DF,22-246,22,21,1701.0,18.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,1.8,3.3,85.0,43.0,115.0,0.05,0.05,0.11,0.05,0.11,0.08,0.1,0.17,0.08,0.17,Matches
Justin Bijlow,nl NED,GK,25-056,19,19,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Quinten Timber,nl NED,MF,21-275,20,17,1446.0,16.1,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.2,2.2,1.8,4.0,39.0,80.0,63.0,0.12,0.12,0.25,0.12,0.25,0.14,0.11,0.25,0.14,0.25,Matches
Sebastian Szymański,pl POL,"MF,FW",23-313,20,15,1299.0,14.4,6.0,4.0,10.0,6.0,0.0,0.0,2.0,0.0,3.1,3.1,3.1,6.2,26.0,61.0,110.0,0.42,0.28,0.69,0.42,0.69,0.22,0.22,0.43,0.22,0.43,Matches
Gernot Trauner,at AUT,DF,30-359,15,14,1273.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.7,0.1,0.8,18.0,95.0,5.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06,Matches
Danilo,br BRA,FW,23-346,25,14,1175.0,13.1,8.0,3.0,11.0,7.0,1.0,1.0,0.0,0.0,8.7,7.9,1.3,9.2,8.0,20.0,74.0,0.61,0.23,0.84,0.54,0.77,0.66,0.1,0.77,0.6,0.71,Matches
Quilindschy Hartman,nl NED,DF,21-125,15,13,1079.0,12.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,1.2,1.5,25.0,70.0,65.0,0.08,0.17,0.25,0.08,0.25,0.03,0.1,0.12,0.03,0.12,Matches
Santiago Giménez,mx MEX,FW,21-335,23,12,1155.0,12.8,7.0,1.0,8.0,7.0,0.0,0.0,2.0,0.0,9.1,9.1,1.6,10.7,16.0,15.0,78.0,0.55,0.08,0.62,0.55,0.62,0.71,0.12,0.84,0.71,0.84,Matches
Mats Wieffer,nl NED,MF,23-123,17,10,985.0,10.9,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,1.1,1.1,0.7,1.8,19.0,95.0,28.0,0.09,0.18,0.27,0.09,0.27,0.1,0.07,0.17,0.1,0.17,Matches
Alireza Jahanbakhsh,ir IRN,FW,29-220,20,9,896.0,10.0,4.0,4.0,8.0,4.0,0.0,0.0,2.0,0.0,2.1,2.1,3.2,5.4,41.0,52.0,131.0,0.4,0.4,0.8,0.4,0.8,0.22,0.33,0.54,0.22,0.54,Matches
