Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Jeffrey De Lange,nl NED,GK,24-352,25.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,7,0,Matches
Isac Lidberg,se SWE,FW,24-192,22.2,13,7,3,8,2,2,6,33.3,4,22,3,19,4,17,25,0,Matches
Jay Idzes,nl NED,"DF,MF",22-290,23.0,29,17,20,9,0,12,19,63.2,7,35,21,14,30,59,111,1,Matches
Mats Deijl,nl NED,DF,25-247,22.2,31,19,15,8,8,17,34,50.0,17,26,7,19,30,61,72,1,Matches
Oliver Edvardsen,no NOR,"MF,FW",24-000,18.1,25,17,11,10,4,11,23,47.8,12,26,4,22,24,49,14,0,Matches
Bobby Adekanye,nl NED,"MF,FW",24-033,16.5,22,12,6,14,2,6,22,27.3,16,17,3,14,8,30,4,0,Matches
Jamal Amofa,nl NED,DF,24-114,19.6,32,21,21,10,1,12,21,57.1,9,28,15,13,29,61,61,1,Matches
Philippe Rommens,be BEL,MF,25-211,18.5,36,23,14,17,5,11,25,44.0,14,22,6,16,22,58,27,0,Matches
Willum Þór Willumsson,is ISL,"MF,FW",24-147,15.3,16,9,4,9,3,11,19,57.9,8,16,7,9,5,21,25,0,Matches
Evert Linthorst,nl NED,MF,23-016,13.9,29,20,9,15,5,11,16,68.8,5,29,7,22,15,44,33,0,Matches
Bas Kuipers,nl NED,DF,28-214,13.8,14,6,8,5,1,7,11,63.6,4,14,8,6,21,35,44,0,Matches
Enric Llansana,nl NED,MF,21-341,10.3,34,22,16,17,1,15,32,46.9,17,18,4,14,16,50,14,0,Matches
Gerrit Nauber,de GER,DF,30-340,11.5,14,8,7,7,0,4,7,57.1,3,13,8,5,15,29,55,3,Matches
José Fontán,es ESP,DF,23-036,9.7,19,7,13,6,0,9,17,52.9,8,14,5,9,10,29,44,0,Matches
Finn Stokkers,nl NED,FW,26-335,10.5,8,5,1,4,3,4,7,57.1,3,6,1,5,7,15,12,0,Matches
Rashaan Fernandes,nl NED,"MF,FW",24-202,5.6,14,7,6,3,5,6,15,40.0,9,9,1,8,2,16,4,0,Matches
Tesfaldet Tekie,se SWE,MF,25-288,3.9,10,3,2,6,2,3,6,50.0,3,6,1,5,3,13,4,0,Matches
Fredrik Oppegard,no NOR,DF,20-224,3.5,10,7,8,2,0,8,10,80.0,2,7,0,7,3,13,17,0,Matches
Justin Bakker,nl NED,DF,25-016,2.5,2,2,1,1,0,2,4,50.0,2,2,1,1,2,4,8,1,Matches
Xander Blomme,be BEL,MF,20-271,0.8,5,4,3,2,0,4,6,66.7,2,1,0,1,5,10,1,0,Matches
Sylla Sow,nl NED,"FW,MF",26-223,4.3,8,3,2,5,1,3,8,37.5,5,7,1,6,6,14,3,0,Matches
Federico Mattiello,it ITA,"DF,MF",27-248,1.1,9,5,2,4,3,3,4,75.0,1,3,0,3,4,13,7,0,Matches
Jahnoah Markelo,nl NED,"MF,FW",20-074,0.9,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
Martijn Berden,nl NED,"FW,MF",25-233,0.9,1,1,0,0,1,1,1,100.0,0,2,0,2,1,2,1,0,Matches
Pim Saathof,nl NED,"MF,DF",19-081,0.2,3,2,2,1,0,2,4,50.0,2,0,0,0,0,3,1,0,Matches
Aventis Aventisian,gr GRE,MF,20-214,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,24.8,26.0,385,228,175,163,47,164,317,51.7,153,325,103,222,262,647,594,7,
Opponent Total,,,26.2,26.0,397,234,205,156,36,178,339,52.5,161,250,76,174,211,608,440,3,
