Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Jeffrey De Lange,nl NED,GK,25-005,26.0,679,956,71.0,20550,16217,131,132,99.2,276,280,98.6,271,540,50.2,0,0.0,0.1,0.0,0,22,0,0,0,Matches
Isac Lidberg,se SWE,FW,24-210,23.2,335,513,65.3,4263,907,201,280,71.8,99,147,67.3,4,23,17.4,3,2.0,1.9,1.0,22,15,14,0,45,Matches
Jay Idzes,nl NED,"DF,MF",22-308,24.0,867,1046,82.9,16137,5797,336,385,87.3,451,501,90.0,74,137,54.0,0,0.2,0.5,-0.2,5,65,4,0,57,Matches
Mats Deijl,nl NED,DF,25-265,23.2,786,1120,70.2,14375,6405,336,384,87.5,339,478,70.9,95,200,47.5,2,1.5,1.7,0.5,16,59,19,9,80,Matches
Bobby Adekanye,nl NED,"MF,FW",24-051,17.5,304,432,70.4,4612,1450,169,206,82.0,94,134,70.1,21,46,45.7,4,1.9,1.7,2.1,19,30,10,2,49,Matches
Jamal Amofa,nl NED,DF,24-132,20.6,762,920,82.8,14913,5948,262,299,87.6,406,444,91.4,87,147,59.2,1,0.2,0.4,0.8,5,53,8,1,69,Matches
Philippe Rommens,be BEL,MF,25-229,19.5,832,1114,74.7,17005,6217,312,370,84.3,346,413,83.8,162,295,54.9,1,3.3,3.2,-2.3,45,102,23,11,100,Matches
Oliver Edvardsen,no NOR,"MF,FW",24-018,18.3,326,481,67.8,4659,1364,192,238,80.7,104,142,73.2,16,59,27.1,1,1.3,1.4,-0.3,13,19,13,2,34,Matches
Willum Þór Willumsson,is ISL,"MF,FW",24-165,16.3,427,596,71.6,6544,2337,239,295,81.0,154,203,75.9,26,49,53.1,2,2.4,3.0,-0.4,23,52,17,2,78,Matches
Evert Linthorst,nl NED,MF,23-034,13.9,458,587,78.0,7606,2156,224,272,82.4,187,227,82.4,31,58,53.4,0,0.6,1.2,-0.6,9,50,12,3,65,Matches
Bas Kuipers,nl NED,DF,28-232,13.8,416,588,70.7,7790,3588,173,203,85.2,175,234,74.8,59,110,53.6,0,2.2,2.0,-2.2,15,32,25,12,55,Matches
Gerrit Nauber,de GER,DF,30-358,12.5,469,564,83.2,9521,4132,150,165,90.9,251,278,90.3,62,109,56.9,0,0.0,0.2,0.0,0,36,1,0,31,Matches
Enric Llansana,nl NED,MF,21-359,10.3,349,435,80.2,5935,1782,168,200,84.0,136,161,84.5,38,53,71.7,1,1.1,0.8,-0.1,8,41,4,0,48,Matches
Finn Stokkers,nl NED,FW,26-353,11.3,173,267,64.8,2267,492,112,153,73.2,38,56,67.9,9,18,50.0,2,1.7,1.4,0.3,20,13,8,4,16,Matches
José Fontán,es ESP,DF,23-054,9.9,320,444,72.1,5939,2510,108,123,87.8,172,212,81.1,33,86,38.4,3,1.0,0.8,2.0,9,22,9,4,34,Matches
Rashaan Fernandes,nl NED,"MF,FW",24-220,5.6,149,210,71.0,2254,879,86,104,82.7,43,60,71.7,14,27,51.9,1,1.2,1.5,-0.2,13,19,8,4,29,Matches
Fredrik Oppegard,no NOR,DF,20-242,4.4,142,187,75.9,2565,1073,69,80,86.3,49,71,69.0,21,26,80.8,0,0.2,0.2,-0.2,2,10,3,2,12,Matches
Tesfaldet Tekie,se SWE,MF,25-306,3.9,157,201,78.1,2719,1041,74,84,88.1,63,69,91.3,17,35,48.6,0,0.4,0.5,-0.4,3,21,4,0,21,Matches
Justin Bakker,nl NED,DF,25-034,2.5,85,119,71.4,1896,834,23,28,82.1,46,54,85.2,16,37,43.2,0,0.0,0.1,0.0,0,15,1,0,13,Matches
Xander Blomme,be BEL,MF,20-289,0.8,28,40,70.0,530,222,10,16,62.5,14,15,93.3,3,5,60.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Sylla Sow,nl NED,"FW,MF",26-241,4.3,91,122,74.6,1128,225,54,68,79.4,28,35,80.0,1,2,50.0,0,0.2,0.4,-0.2,4,5,2,0,13,Matches
Federico Mattiello,it ITA,"DF,MF",27-266,1.1,48,60,80.0,719,204,27,29,93.1,19,25,76.0,1,2,50.0,0,0.8,0.6,-0.8,1,2,2,1,4,Matches
Jahnoah Markelo,nl NED,"MF,FW",20-092,0.9,21,37,56.8,474,103,7,13,53.8,7,10,70.0,7,12,58.3,0,0.1,0.1,-0.1,2,1,2,2,1,Matches
Martijn Berden,nl NED,"FW,MF",25-251,0.9,18,24,75.0,313,65,8,9,88.9,9,9,100.0,1,2,50.0,0,0.2,0.3,-0.2,2,0,1,0,2,Matches
Pim Saathof,nl NED,"MF,DF",19-099,0.2,6,10,60.0,75,16,4,5,80.0,2,4,50.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Aventis Aventisian,gr GRE,MF,20-232,0.1,2,4,50.0,41,0,0,0,,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,24.9,27.0,8250,11077,74.5,154830,65964,3475,4141,83.9,3510,4265,82.3,1069,2079,51.4,21,22.5,24.1,-1.5,236,685,190,59,858,
Opponent Total,,,26.2,27.0,10885,13870,78.5,201587,71809,4543,5241,86.7,4764,5582,85.3,1305,2314,56.4,32,27.7,36.7,4.3,276,897,282,90,1068,
