Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
Isak Määttä,no NOR,DF,21-196,22.9,33,1.44,26,0,2,3,1,1,1,0.04,1,0,0,0,0,0,Matches
Radinio Balker,nl NED,DF,24-212,22.3,24,1.08,21,0,2,0,0,1,1,0.04,0,0,1,0,0,0,Matches
Michael Verrips,nl NED,GK,26-121,21.0,4,0.19,3,1,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Ricardo Pepi,us USA,FW,20-084,20.0,49,2.45,41,1,4,2,0,1,6,0.3,4,0,1,1,0,0,Matches
Tomáš Suslov,sk SVK,"MF,FW",20-300,17.0,49,2.88,23,8,7,4,6,1,2,0.12,1,0,0,0,1,0,Matches
Laros Duarte,nl NED,MF,26-034,15.4,36,2.33,22,8,1,2,3,0,2,0.13,0,1,0,1,0,0,Matches
Joey Pelupessy,nl NED,MF,29-323,14.4,21,1.46,19,0,1,1,0,0,1,0.07,1,0,0,0,0,0,Matches
Neraysho Kasanwirjo,nl NED,"DF,MF",21-044,13.7,20,1.47,19,0,0,0,0,1,3,0.22,3,0,0,0,0,0,Matches
Mike te Wierik,nl NED,DF,30-299,13.2,5,0.38,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Ragnar Oratmangoen,nl NED,"MF,FW",25-072,11.7,30,2.57,29,0,1,0,0,0,3,0.26,3,0,0,0,0,0,Matches
Thijmen Blokzijl,nl NED,DF,18-037,11.6,10,0.87,9,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
Florian Krüger,de GER,"FW,MF",24-049,10.5,13,1.24,9,0,1,1,1,1,2,0.19,1,0,0,1,0,0,Matches
Liam van Gelderen,nl NED,"DF,MF",22-011,10.4,16,1.55,12,0,1,1,1,1,1,0.1,1,0,0,0,0,0,Matches
Johan Hove,no NOR,MF,22-208,9.5,28,2.96,21,5,2,0,0,0,2,0.21,2,0,0,0,0,0,Matches
Luciano Valente,it ITA,MF,19-181,7.9,14,1.77,12,1,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Cyril Ngonge,be BEL,FW,22-312,7.3,25,3.44,16,1,1,3,3,1,4,0.55,2,0,1,1,0,0,Matches
Elvis Manu,nl NED,FW,29-233,5.7,19,3.37,12,0,3,2,1,1,1,0.18,1,0,0,0,0,0,Matches
Daleho Irandust,se SWE,FW,24-303,5.0,13,2.58,9,0,0,1,2,1,3,0.6,3,0,0,0,0,0,Matches
Damil Dankerlui,sr SUR,"DF,MF",26-222,7.2,11,1.52,11,0,0,0,0,0,1,0.14,1,0,0,0,0,0,Matches
Paulos Abraham,se SWE,"FW,MF",20-261,5.4,15,2.76,12,0,1,2,0,0,1,0.18,1,0,0,0,0,0,Matches
Mads Bech Sørensen,dk DEN,DF,24-086,5.0,3,0.6,2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Peter Leeuwenburgh,nl NED,GK,29-011,4.0,2,0.5,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Jørgen Strand Larsen,no NOR,FW,23-056,4.0,10,2.5,7,0,2,0,1,0,2,0.5,1,0,0,0,1,0,Matches
Ramon Lundqvist,se SWE,MF,25-328,3.8,16,4.21,13,0,0,2,1,0,1,0.26,1,0,0,0,0,0,Matches
Jetro Willems,nl NED,DF,29-004,2.8,4,1.43,3,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Thom van Bergen,nl NED,FW,19-087,3.3,6,1.85,3,0,0,2,1,0,0,0.0,0,0,0,0,0,0,Matches
Marin Šverko,hr CRO,DF,25-058,2.5,3,1.2,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matěj Chaluš,cz CZE,"DF,FW",25-060,1.1,3,2.65,2,0,0,1,0,0,1,0.88,0,0,0,1,0,0,Matches
Jan de Boer,nl NED,GK,22-318,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Aimar Sher,se SWE,"MF,FW",20-104,1.5,5,3.36,4,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Yahya Kalley,se SWE,"DF,MF",22-014,1.4,3,2.08,1,0,0,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Oliver Antman,fi FIN,"MF,FW",21-231,1.3,2,1.55,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Nordin Musampa,nl NED,DF,21-172,0.7,1,1.48,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Romano Postema,nl NED,"MF,FW",21-055,0.4,2,5.14,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Patrick Joosten,nl NED,FW,26-354,0.3,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,23.9,26.0,495,19.04,374,29,30,29,22,11,40,1.54,29,1,3,5,2,0,
Opponent Total,,,25.6,26.0,711,27.35,496,82,38,61,26,8,94,3.62,64,8,5,9,5,3,
