Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Isak Määttä,no NOR,DF,21-196,22.9,4,1,1,21,23,1,61,18,18,0,1,0,122,17,21,44.7,Matches
Radinio Balker,nl NED,DF,24-212,22.3,2,1,0,14,13,0,7,26,26,0,1,0,121,55,48,53.4,Matches
Michael Verrips,nl NED,GK,26-121,21.0,1,0,0,0,3,0,0,2,0,0,0,0,25,4,0,100.0,Matches
Ricardo Pepi,us USA,FW,20-084,20.0,0,0,0,14,3,17,4,12,12,0,0,0,59,49,72,40.5,Matches
Tomáš Suslov,sk SVK,"MF,FW",20-300,17.0,4,0,0,16,48,2,76,15,23,1,0,0,102,10,17,37.0,Matches
Laros Duarte,nl NED,MF,26-034,15.4,0,0,0,7,15,0,36,8,11,0,0,0,81,4,14,22.2,Matches
Joey Pelupessy,nl NED,MF,29-323,14.4,1,0,0,12,6,0,0,19,21,0,0,0,70,27,19,58.7,Matches
Neraysho Kasanwirjo,nl NED,"DF,MF",21-044,13.7,2,0,0,14,13,1,20,17,22,0,0,0,79,14,8,63.6,Matches
Mike te Wierik,nl NED,DF,30-299,13.2,4,0,0,14,6,1,0,25,12,0,1,0,74,23,14,62.2,Matches
Ragnar Oratmangoen,nl NED,"MF,FW",25-072,11.7,1,0,0,11,5,0,9,16,17,0,0,0,95,14,6,70.0,Matches
Thijmen Blokzijl,nl NED,DF,18-037,11.6,0,0,0,3,2,0,1,6,8,0,0,0,71,16,22,42.1,Matches
Florian Krüger,de GER,"FW,MF",24-049,10.5,0,0,0,11,4,0,18,3,13,0,0,0,28,7,13,35.0,Matches
Liam van Gelderen,nl NED,"DF,MF",22-011,10.4,4,0,0,15,5,1,15,14,25,0,0,0,57,17,15,53.1,Matches
Johan Hove,no NOR,MF,22-208,9.5,0,0,0,4,8,0,47,12,12,0,0,0,62,19,18,51.4,Matches
Luciano Valente,it ITA,MF,19-181,7.9,3,0,0,13,3,0,12,3,10,0,0,0,46,10,18,35.7,Matches
Cyril Ngonge,be BEL,FW,22-312,7.3,0,0,0,9,10,1,22,8,7,0,0,0,27,19,13,59.4,Matches
Elvis Manu,nl NED,FW,29-233,5.7,0,0,0,11,12,6,5,3,4,0,0,0,24,1,10,9.1,Matches
Daleho Irandust,se SWE,FW,24-303,5.0,1,0,0,3,8,0,7,1,6,0,0,0,32,3,11,21.4,Matches
Damil Dankerlui,sr SUR,"DF,MF",26-222,7.2,2,0,0,8,1,2,26,8,14,0,0,0,51,13,7,65.0,Matches
Paulos Abraham,se SWE,"FW,MF",20-261,5.4,0,0,0,4,1,2,7,2,7,0,0,0,30,1,8,11.1,Matches
Mads Bech Sørensen,dk DEN,DF,24-086,5.0,1,0,0,4,2,1,2,2,2,0,0,0,32,6,7,46.2,Matches
Peter Leeuwenburgh,nl NED,GK,29-011,4.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0.0,Matches
Jørgen Strand Larsen,no NOR,FW,23-056,4.0,0,0,0,3,9,2,3,1,2,0,0,0,10,6,3,66.7,Matches
Ramon Lundqvist,se SWE,MF,25-328,3.8,1,0,0,3,5,2,5,1,2,0,0,0,19,4,6,40.0,Matches
Jetro Willems,nl NED,DF,29-004,2.8,0,0,0,0,4,0,5,2,6,0,0,0,25,3,1,75.0,Matches
Thom van Bergen,nl NED,FW,19-087,3.3,1,0,0,10,2,0,2,1,7,0,0,0,16,5,14,26.3,Matches
Marin Šverko,hr CRO,DF,25-058,2.5,2,0,0,5,1,0,0,3,4,0,0,0,14,6,3,66.7,Matches
Matěj Chaluš,cz CZE,"DF,FW",25-060,1.1,0,0,0,4,1,0,0,3,1,0,0,0,5,2,9,18.2,Matches
Jan de Boer,nl NED,GK,22-318,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Aimar Sher,se SWE,"MF,FW",20-104,1.5,1,0,0,1,0,0,2,2,2,0,0,0,7,3,5,37.5,Matches
Yahya Kalley,se SWE,"DF,MF",22-014,1.4,2,0,0,4,3,0,3,4,5,0,0,0,10,3,1,75.0,Matches
Oliver Antman,fi FIN,"MF,FW",21-231,1.3,0,0,0,2,2,0,2,1,1,0,0,0,4,0,1,0.0,Matches
Nordin Musampa,nl NED,DF,21-172,0.7,0,0,0,0,1,0,0,0,2,0,0,0,3,2,0,100.0,Matches
Romano Postema,nl NED,"MF,FW",21-055,0.4,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,100.0,Matches
Patrick Joosten,nl NED,FW,26-354,0.3,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,100.0,Matches
Squad Total,,,23.9,26.0,37,2,1,240,220,39,397,239,303,1,3,0,1410,365,405,47.4,
Opponent Total,,,25.6,26.0,30,1,1,236,225,52,519,222,274,2,1,1,1504,405,365,52.6,
