Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Isak Määttä,no NOR,DF,21-196,22.9,727,1033,70.4,12109,4455,360,422,85.3,269,377,71.4,73,155,47.1,1,1.9,1.9,-0.9,17,54,27,11,66,Matches
Radinio Balker,nl NED,DF,24-212,22.3,1004,1176,85.4,21643,6387,298,328,90.9,508,546,93.0,184,264,69.7,0,0.3,0.5,-0.3,7,74,4,1,83,Matches
Michael Verrips,nl NED,GK,26-121,21.0,580,858,67.6,18085,13256,71,73,97.3,281,285,98.6,228,497,45.9,0,0.0,0.1,0.0,0,15,0,0,1,Matches
Ricardo Pepi,us USA,FW,20-084,20.0,311,422,73.7,4462,431,151,204,74.0,119,140,85.0,13,19,68.4,3,2.7,2.0,0.3,27,8,10,2,23,Matches
Tomáš Suslov,sk SVK,"MF,FW",20-300,17.0,326,506,64.4,6871,1935,127,157,80.9,131,183,71.6,64,133,48.1,0,2.0,1.9,-2.0,21,38,18,5,53,Matches
Laros Duarte,nl NED,MF,26-034,15.4,438,554,79.1,8113,2600,197,216,91.2,165,196,84.2,60,98,61.2,1,1.0,1.1,0.0,17,47,11,1,67,Matches
Joey Pelupessy,nl NED,MF,29-323,14.4,395,447,88.4,7299,1700,161,179,89.9,177,190,93.2,49,57,86.0,0,0.1,0.2,-0.1,2,43,1,0,30,Matches
Neraysho Kasanwirjo,nl NED,"DF,MF",21-044,13.7,497,660,75.3,10872,2999,152,189,80.4,234,271,86.3,102,172,59.3,1,0.6,1.0,0.4,10,47,7,4,53,Matches
Mike te Wierik,nl NED,DF,30-299,13.2,504,607,83.0,10491,3195,123,138,89.1,314,352,89.2,60,100,60.0,0,0.0,0.1,0.0,0,31,0,0,36,Matches
Ragnar Oratmangoen,nl NED,"MF,FW",25-072,11.7,470,557,84.4,7368,1987,247,280,88.2,173,189,91.5,31,50,62.0,1,0.7,1.6,0.3,7,48,9,4,46,Matches
Thijmen Blokzijl,nl NED,DF,18-037,11.6,532,651,81.7,10226,3113,193,210,91.9,274,312,87.8,56,111,50.5,1,0.4,1.0,0.6,2,35,2,0,43,Matches
Florian Krüger,de GER,"FW,MF",24-049,10.5,147,232,63.4,2166,390,70,90,77.8,57,80,71.3,8,26,30.8,1,1.9,1.2,-0.9,10,10,7,2,21,Matches
Liam van Gelderen,nl NED,"DF,MF",22-011,10.4,350,475,73.7,5590,1662,174,206,84.5,147,181,81.2,18,55,32.7,0,0.7,1.0,-0.7,9,24,8,4,30,Matches
Johan Hove,no NOR,MF,22-208,9.5,316,473,66.8,6047,1852,121,161,75.2,130,171,76.0,51,96,53.1,2,1.2,1.3,0.8,15,43,11,5,52,Matches
Luciano Valente,it ITA,MF,19-181,7.9,174,246,70.7,2730,655,91,115,79.1,66,80,82.5,10,21,47.6,0,0.4,0.3,-0.4,8,18,5,1,24,Matches
Cyril Ngonge,be BEL,FW,22-312,7.3,99,184,53.8,1847,614,38,57,66.7,40,67,59.7,16,37,43.2,2,2.0,1.7,0.0,10,18,5,1,25,Matches
Elvis Manu,nl NED,FW,29-233,5.7,85,125,68.0,1217,308,52,67,77.6,23,32,71.9,5,7,71.4,0,0.1,0.4,-0.1,4,5,5,1,11,Matches
Daleho Irandust,se SWE,FW,24-303,5.0,89,134,66.4,1418,389,39,50,78.0,35,43,81.4,5,12,41.7,3,0.9,0.9,2.1,8,6,7,0,13,Matches
Damil Dankerlui,sr SUR,"DF,MF",26-222,7.2,204,303,67.3,3304,1413,105,120,87.5,67,101,66.3,22,55,40.0,1,1.0,1.0,0.0,8,19,6,4,26,Matches
Paulos Abraham,se SWE,"FW,MF",20-261,5.4,99,134,73.9,1386,427,62,72,86.1,31,42,73.8,4,10,40.0,0,0.2,0.3,-0.2,5,13,6,1,18,Matches
Mads Bech Sørensen,dk DEN,DF,24-086,5.0,252,327,77.1,5548,1985,69,81,85.2,133,151,88.1,49,87,56.3,0,0.0,0.1,0.0,1,23,1,0,15,Matches
Peter Leeuwenburgh,nl NED,GK,29-011,4.0,88,152,57.9,2683,2135,19,19,100.0,37,37,100.0,32,96,33.3,0,0.0,0.0,0.0,0,3,0,0,0,Matches
Jørgen Strand Larsen,no NOR,FW,23-056,4.0,43,64,67.2,775,122,25,36,69.4,8,14,57.1,9,11,81.8,1,0.3,0.2,0.7,3,3,2,0,5,Matches
Ramon Lundqvist,se SWE,MF,25-328,3.8,67,102,65.7,1184,265,29,42,69.0,21,24,87.5,11,20,55.0,0,0.5,0.4,-0.5,7,9,4,0,12,Matches
Jetro Willems,nl NED,DF,29-004,2.8,110,158,69.6,2050,696,48,61,78.7,47,67,70.1,15,25,60.0,0,0.0,0.2,0.0,1,8,1,0,11,Matches
Thom van Bergen,nl NED,FW,19-087,3.3,41,72,56.9,560,250,27,43,62.8,12,15,80.0,1,3,33.3,0,0.2,0.1,-0.2,3,1,3,1,11,Matches
Marin Šverko,hr CRO,DF,25-058,2.5,104,142,73.2,2169,664,36,43,83.7,53,68,77.9,15,29,51.7,0,0.1,0.0,-0.1,2,8,0,0,11,Matches
Matěj Chaluš,cz CZE,"DF,FW",25-060,1.1,57,76,75.0,1066,361,18,20,90.0,37,43,86.0,2,13,15.4,0,0.0,0.0,0.0,1,3,0,0,5,Matches
Jan de Boer,nl NED,GK,22-318,1.0,11,33,33.3,444,401,2,2,100.0,3,4,75.0,6,27,22.2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Aimar Sher,se SWE,"MF,FW",20-104,1.5,39,53,73.6,548,221,25,28,89.3,14,20,70.0,0,3,0.0,0,0.0,0.1,0.0,1,1,1,0,6,Matches
