Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Milan van Ewijk,nl NED,DF,22-192,25.0,0,0,0,10,33,4,87,34,29,1,0,0,180,14,14,50.0,Matches
Paweł Bochniewicz,pl POL,DF,27-048,24.4,3,0,0,18,11,2,2,38,20,0,0,0,129,77,33,70.0,Matches
Mats Köhlert,de GER,DF,24-321,21.2,2,0,0,17,26,3,68,25,23,0,0,0,131,12,17,41.4,Matches
Thom Haye,nl NED,MF,28-038,21.4,6,0,0,20,16,2,142,27,39,0,0,0,191,21,13,61.8,Matches
Sydney van Hooijdonk,nl NED,FW,23-041,20.2,2,0,0,19,21,8,6,1,3,0,0,0,25,51,50,50.5,Matches
Anas Tahiri,be BEL,MF,27-308,20.2,4,0,0,5,23,1,32,29,12,0,0,0,129,1,8,11.1,Matches
Simon Olsson,se SWE,"MF,FW",25-186,17.9,2,0,0,21,6,0,6,13,11,0,0,0,97,11,10,52.4,Matches
Amin Sarr,se SWE,FW,22-008,18.2,1,0,0,19,20,7,19,6,9,1,0,0,48,16,28,36.4,Matches
Andries Noppert,nl NED,GK,28-346,17.0,1,0,0,0,2,0,0,0,0,0,0,0,28,9,0,100.0,Matches
Sven van Beek,nl NED,DF,28-234,15.0,2,0,0,8,8,1,14,21,13,0,0,0,88,26,23,53.1,Matches
Joost van Aken,nl NED,DF,28-310,11.0,2,0,0,13,4,1,2,17,7,0,1,0,68,29,17,63.0,Matches
Xavier Mous,nl NED,GK,27-227,8.0,0,0,0,1,0,0,0,1,1,0,1,0,10,3,0,100.0,Matches
Rami Al Hajj,se SWE,"MF,FW",21-183,7.5,0,0,0,4,9,0,11,9,13,0,0,0,33,1,3,25.0,Matches
Tibor Halilović,hr CRO,MF,28-001,7.2,1,1,0,8,4,0,5,6,7,0,0,0,31,6,4,60.0,Matches
Pelle van Amersfoort,nl NED,"MF,FW",26-352,7.1,1,0,0,8,13,0,5,3,9,0,0,0,25,19,26,42.2,Matches
Jeffrey Bruma,nl NED,DF,31-126,5.2,1,0,0,6,1,0,0,4,5,0,0,0,41,10,6,62.5,Matches
Rami Kaib,tn TUN,DF,25-315,5.8,1,0,0,6,4,1,39,10,9,0,0,0,46,3,3,50.0,Matches
Antoine Colassin,be BEL,"FW,MF",22-021,5.6,3,0,0,17,4,1,10,3,9,0,1,0,35,9,17,34.6,Matches
Ché Nunnely,nl NED,"FW,MF",24-043,3.5,1,0,0,6,2,2,13,1,2,0,0,0,17,5,3,62.5,Matches
Syb Van Ottele,nl NED,DF,21-045,5.1,3,0,0,8,2,0,1,5,11,0,0,0,48,5,13,27.8,Matches
Osame Sahraoui,no NOR,"FW,MF",21-281,3.9,1,0,0,1,11,1,11,1,3,0,0,0,18,2,5,28.6,Matches
Alex Timossi Andersson,se SWE,"FW,MF",22-059,2.9,0,0,0,5,3,4,9,2,3,0,0,0,11,1,6,14.3,Matches
Daniel Karlsbakk,no NOR,FW,19-346,1.2,0,0,0,4,2,0,0,1,0,0,0,0,1,5,6,45.5,Matches
Hussein Ali,se SWE,"MF,FW",21-018,0.3,0,0,0,0,0,0,1,3,1,0,0,0,3,0,2,0.0,Matches
Timo Zaal,nl NED,MF,19-038,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,25.7,25.0,37,1,0,224,225,38,483,260,239,2,3,0,1433,336,307,52.3,
Opponent Total,,,26.0,25.0,38,0,0,240,214,33,455,253,246,3,2,1,1391,307,336,47.7,
