Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Milan van Ewijk,nl NED,DF,22-192,25.0,860,1183,72.7,15992,5844,373,442,84.4,363,474,76.6,111,207,53.6,0,1.2,1.7,-1.2,17,57,23,13,54,Matches
Paweł Bochniewicz,pl POL,DF,27-048,24.4,1125,1341,83.9,20698,8247,437,489,89.4,561,642,87.4,108,174,62.1,1,0.5,0.6,0.5,6,86,4,0,69,Matches
Mats Köhlert,de GER,DF,24-321,21.2,1028,1232,83.4,15432,4448,570,612,93.1,355,432,82.2,59,111,53.2,3,2.5,2.8,0.5,36,54,31,18,69,Matches
Thom Haye,nl NED,MF,28-038,21.4,1092,1425,76.6,23749,8388,360,413,87.2,474,577,82.1,237,373,63.5,3,3.1,4.0,-0.1,36,187,30,7,170,Matches
Sydney van Hooijdonk,nl NED,FW,23-041,20.2,279,417,66.9,4193,811,152,218,69.7,99,138,71.7,17,21,81.0,1,1.1,1.5,-0.1,13,13,9,2,34,Matches
Anas Tahiri,be BEL,MF,27-308,20.2,1063,1207,88.1,16974,4212,558,606,92.1,381,422,90.3,82,110,74.5,4,2.2,2.3,1.8,23,107,21,6,98,Matches
Simon Olsson,se SWE,"MF,FW",25-186,17.9,474,612,77.5,6948,2057,287,332,86.4,139,178,78.1,29,54,53.7,1,1.3,1.1,-0.3,17,40,10,1,66,Matches
Amin Sarr,se SWE,FW,22-008,18.2,340,448,75.9,4879,931,210,258,81.4,94,119,79.0,24,35,68.6,4,2.8,2.5,1.2,20,23,15,6,31,Matches
Andries Noppert,nl NED,GK,28-346,17.0,454,642,70.7,13177,9603,69,70,98.6,211,215,98.1,170,353,48.2,1,0.6,0.0,0.4,1,3,0,0,0,Matches
Sven van Beek,nl NED,DF,28-234,15.0,761,910,83.6,15086,5809,267,289,92.4,385,422,91.2,100,172,58.1,0,0.8,1.0,-0.8,9,46,6,1,57,Matches
Joost van Aken,nl NED,DF,28-310,11.0,469,584,80.3,9466,3290,162,181,89.5,235,264,89.0,68,124,54.8,0,0.1,0.2,-0.1,3,33,2,1,41,Matches
Xavier Mous,nl NED,GK,27-227,8.0,181,273,66.3,5240,3793,34,34,100.0,80,80,100.0,67,159,42.1,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Rami Al Hajj,se SWE,"MF,FW",21-183,7.5,294,350,84.0,4257,1005,176,189,93.1,95,104,91.3,15,26,57.7,1,0.9,1.3,0.1,15,28,15,3,39,Matches
Tibor Halilović,hr CRO,MF,28-001,7.2,283,344,82.3,4832,1244,137,156,87.8,117,135,86.7,22,31,71.0,0,0.3,0.9,-0.3,6,33,12,0,42,Matches
Pelle van Amersfoort,nl NED,"MF,FW",26-352,7.1,131,197,66.5,1697,524,91,118,77.1,34,52,65.4,2,8,25.0,0,0.4,0.4,-0.4,8,12,4,0,26,Matches
Jeffrey Bruma,nl NED,DF,31-126,5.2,242,275,88.0,4936,2005,67,71,94.4,144,152,94.7,30,48,62.5,0,0.4,0.5,-0.4,3,18,3,0,22,Matches
Rami Kaib,tn TUN,DF,25-315,5.8,226,350,64.6,3567,1109,116,144,80.6,79,111,71.2,19,55,34.5,0,0.5,0.7,-0.5,5,10,6,4,16,Matches
Antoine Colassin,be BEL,"FW,MF",22-021,5.6,127,196,64.8,1853,593,83,107,77.6,34,57,59.6,8,17,47.1,0,0.5,0.8,-0.5,8,16,8,3,20,Matches
Ché Nunnely,nl NED,"FW,MF",24-043,3.5,79,100,79.0,1147,215,47,52,90.4,26,32,81.3,3,8,37.5,0,0.6,0.5,-0.6,7,6,3,1,10,Matches
Syb Van Ottele,nl NED,DF,21-045,5.1,269,341,78.9,5435,2106,86,98,87.8,141,160,88.1,37,67,55.2,0,0.0,0.1,0.0,0,28,1,0,28,Matches
Osame Sahraoui,no NOR,"FW,MF",21-281,3.9,133,172,77.3,1758,371,89,104,85.6,38,50,76.0,3,4,75.0,1,1.2,1.0,-0.2,11,6,11,2,16,Matches
Alex Timossi Andersson,se SWE,"FW,MF",22-059,2.9,32,48,66.7,561,177,14,19,73.7,13,16,81.3,4,6,66.7,0,0.7,0.6,-0.7,3,2,3,2,5,Matches
Daniel Karlsbakk,no NOR,FW,19-346,1.2,9,19,47.4,110,17,8,11,72.7,1,4,25.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,1,Matches
Hussein Ali,se SWE,"MF,FW",21-018,0.3,9,16,56.3,158,82,5,8,62.5,2,5,40.0,2,2,100.0,0,0.1,0.1,-0.1,1,1,1,1,2,Matches
Timo Zaal,nl NED,MF,19-038,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,25.7,25.0,9960,12682,78.5,182145,66881,4398,5021,87.6,4101,4841,84.7,1217,2165,56.2,20,21.8,24.5,-1.8,249,811,218,71,916,
Opponent Total,,,26.0,25.0,9907,12604,78.6,180281,66151,4322,4953,87.3,4120,4851,84.9,1164,2127,54.7,26,27.2,30.7,-1.2,239,837,234,51,1011,
