Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Iván Márquez,es ESP,DF,28-301,26.4,5,1,0,27,17,2,0,25,11,0,1,0,142,63,32,66.3,Matches
Jasper Cillessen,nl NED,GK,33-349,26.0,0,0,0,0,5,0,0,0,0,0,0,0,41,3,0,100.0,Matches
Bart van Rooij,nl NED,DF,21-315,26.0,3,0,0,23,22,0,55,25,29,0,0,0,135,31,24,56.4,Matches
Souffian El Karouani,ma MAR,DF,22-169,25.3,7,0,0,37,29,1,114,18,37,1,0,0,170,16,21,43.2,Matches
Lasse Schöne,dk DEN,MF,36-314,25.1,3,0,0,14,21,1,96,30,17,0,0,0,192,23,22,51.1,Matches
Dirk Proper,nl NED,MF,21-041,24.7,3,0,0,35,23,0,3,24,22,0,0,0,160,23,28,45.1,Matches
Elayis Tavsan,nl NED,FW,21-341,23.0,1,0,0,18,45,4,58,2,21,0,0,0,72,7,24,22.6,Matches
Oussama Tannane,ma MAR,MF,29-014,20.2,6,1,0,40,44,4,118,7,18,0,0,0,96,13,12,52.0,Matches
Landry Dimata,be BEL,FW,25-217,19.3,0,0,0,20,62,9,3,0,3,0,0,0,32,56,43,56.6,Matches
Magnus Mattsson,dk DEN,"FW,MF",24-040,14.3,1,0,0,6,21,2,9,12,11,0,0,0,73,8,11,42.1,Matches
Philippe Sandler,nl NED,DF,26-055,12.3,3,0,0,10,5,0,1,13,9,0,1,0,81,28,16,63.6,Matches
Mikkel Duelund,dk DEN,"MF,FW",25-281,10.3,1,0,0,15,13,0,3,6,13,0,0,0,46,11,14,44.0,Matches
Calvin Verdonk,nl NED,DF,25-345,10.7,4,0,0,9,4,1,9,14,12,0,0,0,87,13,13,50.0,Matches
Joris Kramer,nl NED,DF,26-247,8.9,0,0,0,6,1,0,1,14,6,0,0,0,50,16,11,59.3,Matches
Ibrahim Cissoko,nl NED,FW,20-011,7.4,0,0,0,3,22,2,23,0,5,1,1,0,26,4,3,57.1,Matches
Pedro David Rosendo Marques,pt POR,FW,24-346,6.2,0,0,0,5,4,0,0,0,0,0,0,0,9,20,26,43.5,Matches
Jordy Bruijn,nl NED,"MF,FW",26-257,4.2,1,0,0,1,6,0,4,3,2,0,0,0,19,2,1,66.7,Matches
Terry Lartey Sanniez,nl NED,DF,26-239,1.2,0,0,0,0,0,0,0,1,1,0,0,0,10,1,2,33.3,Matches
Mattijs Branderhorst,nl NED,GK,29-096,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Andri Fannar Baldursson,is ISL,"MF,FW",21-086,1.4,2,0,0,6,1,0,0,3,6,0,0,0,14,3,1,75.0,Matches
Anthony Musaba,nl NED,"FW,MF",22-121,1.3,0,0,0,2,0,0,2,0,1,0,0,0,11,1,4,20.0,Matches
Ilias Bronkhorst,nl NED,"FW,DF",25-331,0.6,1,0,0,2,1,0,2,0,1,0,0,0,2,4,6,40.0,Matches
Squad Total,,,26.4,27.0,41,2,0,279,346,26,501,197,225,2,3,0,1468,346,314,52.4,
Opponent Total,,,25.8,27.0,58,4,2,368,266,34,523,242,329,3,3,0,1539,314,346,47.6,
