Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Xavi Simons,nl NED,"FW,MF",19-347,24.5,725,897,80.8,10980,2640,374,435,86.0,246,300,82.0,55,74,74.3,6,5.4,4.9,0.6,49,61,46,4,120,Matches
Walter Benítez,ar ARG,GK,30-074,23.0,479,643,74.5,13401,10103,110,111,99.1,209,212,98.6,157,316,49.7,0,0.0,0.0,0.0,0,8,0,0,0,Matches
Joey Veerman,nl NED,MF,24-135,20.6,1228,1517,80.9,24423,8001,475,532,89.3,517,594,87.0,214,334,64.1,9,7.7,7.3,1.3,72,199,41,3,230,Matches
Ibrahim Sangaré,ci CIV,MF,25-122,21.4,1115,1322,84.3,18979,6278,498,566,88.0,487,547,89.0,93,137,67.9,1,1.9,2.5,-0.9,19,135,18,3,158,Matches
Armando Obispo,nl NED,DF,24-029,19.1,1146,1344,85.3,22974,8505,385,438,87.9,604,653,92.5,142,219,64.8,1,0.5,0.6,0.5,5,150,5,0,123,Matches
Jordan Teze,nl NED,DF,23-185,18.0,1129,1337,84.4,19597,7074,518,576,89.9,487,549,88.7,102,157,65.0,2,2.3,2.9,-0.3,18,120,24,5,136,Matches
Phillipp Mwene,at AUT,DF,29-064,15.8,768,941,81.6,12048,3743,404,436,92.7,289,352,82.1,53,93,57.0,1,1.4,1.9,-0.4,15,43,10,6,53,Matches
Luuk de Jong,nl NED,FW,32-219,13.8,248,352,70.5,3405,648,143,187,76.5,77,103,74.8,12,17,70.6,3,1.8,2.1,1.2,14,20,4,0,30,Matches
Jarrad Branthwaite,eng ENG,DF,20-280,15.8,838,959,87.4,16102,6720,292,323,90.4,448,501,89.4,85,113,75.2,0,0.4,0.7,-0.4,6,53,6,0,57,Matches
Cody Gakpo,nl NED,FW,23-331,12.5,341,510,66.9,5767,2278,168,207,81.2,104,147,70.7,51,116,44.0,12,6.8,7.2,5.2,59,26,31,16,50,Matches
Guus Til,nl NED,"MF,FW",25-102,14.4,318,422,75.4,4346,1193,189,226,83.6,100,122,82.0,11,26,42.3,1,2.0,2.2,-1.0,19,28,13,4,49,Matches
André Ramalho,br BRA,DF,31-046,14.3,823,943,87.3,16028,6463,279,306,91.2,451,481,93.8,84,135,62.2,0,0.0,0.2,0.0,1,52,1,0,59,Matches
Johan Bakayoko,be BEL,FW,19-348,11.8,405,515,78.6,5000,1142,285,318,89.6,90,124,72.6,6,22,27.3,3,2.7,3.7,0.3,17,16,25,8,34,Matches
