Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Xavi Simons,nl NED,"FW,MF",19-347,27,2208.0,82.0,90.9,24.5,27,82.0,12,0,,0,2.07,63.0,28.0,35.0,1.43,0.21,57.1,22.4,34.8,1.42,0.41,Matches
Walter Benítez,ar ARG,GK,30-074,23,2070.0,90.0,85.2,23.0,23,90.0,23,0,,0,2.0,60.0,28.0,32.0,1.39,-0.11,52.6,22.3,30.3,1.32,-0.42,Matches
Joey Veerman,nl NED,MF,24-135,26,1858.0,71.0,76.5,20.6,23,76.0,10,3,33.0,1,2.04,61.0,22.0,39.0,1.89,2.05,50.3,17.3,33.1,1.6,0.94,Matches
Ibrahim Sangaré,ci CIV,MF,25-122,24,1928.0,80.0,79.3,21.4,22,85.0,17,2,28.0,1,2.04,51.0,25.0,26.0,1.21,-0.94,45.4,23.0,22.4,1.05,-1.62,Matches
Armando Obispo,nl NED,DF,24-029,22,1718.0,78.0,70.7,19.1,21,81.0,13,1,23.0,3,1.86,43.0,22.0,21.0,1.1,-1.05,40.5,17.0,23.4,1.23,-0.52,Matches
Jordan Teze,nl NED,DF,23-185,21,1622.0,77.0,66.7,18.0,18,85.0,15,3,30.0,6,2.05,49.0,27.0,22.0,1.22,-0.56,45.0,18.0,27.1,1.5,0.36,Matches
Phillipp Mwene,at AUT,DF,29-064,21,1421.0,68.0,58.5,15.8,17,80.0,12,4,16.0,5,2.19,42.0,12.0,30.0,1.9,1.19,36.7,13.0,23.7,1.5,0.29,Matches
Luuk de Jong,nl NED,FW,32-219,17,1239.0,73.0,51.0,13.8,16,75.0,6,1,35.0,0,2.06,32.0,11.0,21.0,1.53,0.24,31.1,11.1,20.0,1.45,0.15,Matches
Jarrad Branthwaite,eng ENG,DF,20-280,20,1424.0,71.0,58.6,15.8,15,87.0,13,5,24.0,4,2.05,38.0,19.0,19.0,1.2,-0.5,37.5,16.0,21.5,1.36,-0.04,Matches
Cody Gakpo,nl NED,FW,23-331,14,1122.0,80.0,46.2,12.5,14,80.0,9,0,,0,2.14,37.0,17.0,20.0,1.6,0.37,28.2,11.3,16.9,1.36,-0.04,Matches
Guus Til,nl NED,"MF,FW",25-102,23,1299.0,56.0,53.5,14.4,13,79.0,6,10,27.0,3,2.0,43.0,25.0,18.0,1.25,-0.34,40.6,16.0,24.6,1.7,0.69,Matches
André Ramalho,br BRA,DF,31-046,21,1283.0,61.0,52.8,14.3,13,85.0,10,8,23.0,6,2.19,39.0,19.0,20.0,1.4,-0.01,33.2,15.9,17.2,1.21,-0.36,Matches
Johan Bakayoko,be BEL,FW,19-348,17,1066.0,63.0,43.9,11.8,12,73.0,4,5,38.0,8,2.29,43.0,15.0,28.0,2.36,1.7,31.0,10.8,20.3,1.71,0.59,Matches
Philipp Max,de GER,DF,29-185,14,1019.0,73.0,41.9,11.3,12,77.0,5,2,46.0,2,1.79,30.0,13.0,17.0,1.5,0.16,24.6,10.4,14.2,1.26,-0.21,Matches
Erick Gutiérrez,mx MEX,MF,27-292,24,1156.0,48.0,47.6,12.8,10,80.0,6,14,25.0,3,2.29,33.0,14.0,19.0,1.48,0.14,28.9,11.6,17.3,1.34,-0.07,Matches
Anwar El Ghazi,nl NED,FW,27-335,17,899.0,53.0,37.0,10.0,10,65.0,2,7,36.0,2,1.82,15.0,7.0,8.0,0.8,-0.96,16.3,7.5,8.9,0.89,-0.78,Matches
