Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Tobias Lauritsen,no NOR,FW,25-219,25.8,316,601,52.6,4195,1095,197,330,59.7,88,168,52.4,11,24,45.8,3,2.4,2.6,0.6,18,34,13,3,54,Matches
Michael Pinto,lu LUX,DF,29-306,25.7,1355,1638,82.7,24338,7745,615,673,91.4,553,653,84.7,162,247,65.6,4,2.3,3.2,1.7,28,80,44,27,107,Matches
Vito van Crooy,nl NED,FW,27-067,24.8,642,995,64.5,12680,4155,246,307,80.1,270,385,70.1,111,231,48.1,10,5.9,5.9,4.1,63,49,28,13,71,Matches
Nick Olij,nl NED,GK,27-248,25.0,705,984,71.6,24307,18327,71,71,100.0,305,310,98.4,328,599,54.8,1,0.2,0.5,0.8,2,47,1,0,0,Matches
Bart Vriends,nl NED,DF,31-332,23.5,1014,1182,85.8,23117,7826,209,241,86.7,618,666,92.8,181,256,70.7,0,0.1,0.3,-0.1,2,59,3,1,72,Matches
Joshua Kitolano,no NOR,MF,21-246,23.7,559,709,78.8,8811,2688,276,331,83.4,218,257,84.8,37,61,60.7,1,0.8,1.2,0.2,14,52,14,1,65,Matches
Arno Verschueren,be BEL,MF,25-363,20.9,460,649,70.9,6792,1850,246,306,80.4,151,213,70.9,32,65,49.2,3,1.8,2.2,1.2,24,46,13,4,74,Matches
Shurandy Sambo,nl NED,DF,21-230,20.7,843,1042,80.9,14542,4663,412,456,90.4,334,404,82.7,86,136,63.2,0,0.3,0.6,-0.3,4,56,12,8,76,Matches
Adil Auassar,nl NED,DF,36-182,19.7,932,1087,85.7,20359,7973,257,276,93.1,516,560,92.1,151,227,66.5,0,0.3,1.0,-0.3,3,66,2,0,69,Matches
Sven Mijnans,nl NED,"MF,FW",23-028,16.4,497,645,77.1,8315,2175,233,280,83.2,184,221,83.3,57,91,62.6,5,2.4,2.4,2.6,23,43,18,3,79,Matches
Jonathan de Guzmán,nl NED,MF,35-205,13.5,504,633,79.6,9034,2783,234,268,87.3,198,234,84.6,60,91,65.9,1,0.7,0.6,0.3,13,58,7,1,66,Matches
Koki Saito,jp JPN,FW,21-239,11.6,257,334,76.9,3690,691,142,168,84.5,88,102,86.3,13,26,50.0,3,1.6,1.8,1.4,11,7,11,4,31,Matches
Younes Namli,dk DEN,"FW,MF",28-290,10.4,357,472,75.6,6447,1794,163,188,86.7,134,176,76.1,48,78,61.5,2,2.2,1.5,-0.2,16,37,16,3,48,Matches
Dirk Abels,nl NED,DF,25-297,9.7,369,476,77.5,7243,2989,137,152,90.1,170,201,84.6,55,100,55.0,0,0.5,0.6,-0.5,8,32,6,2,32,Matches
Jeremy van Mullem,nl NED,MF,24-019,9.6,254,358,70.9,4728,1183,102,134,76.1,110,147,74.8,37,53,69.8,0,0.1,0.3,-0.1,2,24,3,0,27,Matches
Mike Eerdhuijzen,nl NED,DF,22-267,7.3,416,483,86.1,8902,2847,110,119,92.4,241,260,92.7,62,95,65.3,1,0.6,0.4,0.4,4,27,2,0,27,Matches
Jason Lokilo,be BEL,FW,24-201,3.0,69,91,75.8,990,265,41,47,87.2,19,27,70.4,5,7,71.4,0,0.2,0.4,-0.2,3,1,3,3,8,Matches
Youri Schoonderwaldt,nl NED,GK,23-024,2.0,38,46,82.6,1086,888,9,9,100.0,15,15,100.0,14,22,63.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Aaron Meijers,nl NED,DF,35-160,1.4,55,83,66.3,975,392,26,30,86.7,22,32,68.8,6,17,35.3,0,0.2,0.0,-0.2,2,5,0,0,3,Matches
Mario Engels,de GER,"FW,DF",29-166,0.6,10,14,71.4,114,26,7,9,77.8,2,3,66.7,0,1,0.0,1,0.3,0.3,0.7,2,0,1,1,0,Matches
Omar Rekik,tn TUN,"DF,MF",21-107,0.4,10,11,90.9,171,28,3,3,100.0,6,7,85.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Mohammed Tahiri,nl NED,FW,23-074,0.2,4,8,50.0,51,0,4,5,80.0,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Charles-Andréas Brym,ca CAN,"FW,DF",24-241,0.1,2,4,50.0,32,2,0,1,0.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Elias Hoff Melkersen,no NOR,FW,20-096,0.1,3,6,50.0,65,34,0,2,0.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
Pedro Alemañ,es ESP,"MF,FW",21-016,0.1,5,5,100.0,76,12,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Patrick Brouwer,nl NED,"FW,MF",22-018,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Rick Meijssen,nl NED,DF,21-041,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
