Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Tobias Lauritsen,no NOR,FW,25-219,27,2326.0,86.0,95.7,25.8,27,86.0,16,0,,0,1.7,38.0,28.0,10.0,0.39,-1.34,28.4,33.8,-5.4,-0.21,-0.77,Matches
Michael Pinto,lu LUX,DF,29-306,27,2309.0,86.0,95.0,25.7,27,86.0,19,0,,0,1.7,40.0,26.0,14.0,0.55,2.03,28.6,33.6,-5.0,-0.2,-0.42,Matches
Vito van Crooy,nl NED,FW,27-067,27,2228.0,83.0,91.7,24.8,26,85.0,17,1,23.0,0,1.7,38.0,29.0,9.0,0.36,-0.97,28.9,32.7,-3.9,-0.16,0.22,Matches
Nick Olij,nl NED,GK,27-248,25,2250.0,90.0,92.6,25.0,25,90.0,25,0,,0,1.68,38.0,27.0,11.0,0.44,-0.06,28.5,34.4,-5.9,-0.24,-0.84,Matches
Bart Vriends,nl NED,DF,31-332,25,2112.0,84.0,86.9,23.5,24,88.0,22,1,5.0,0,1.68,39.0,24.0,15.0,0.64,1.49,27.3,28.1,-0.8,-0.03,1.09,Matches
Joshua Kitolano,no NOR,MF,21-246,27,2137.0,79.0,87.9,23.7,23,89.0,21,4,21.0,0,1.7,38.0,25.0,13.0,0.55,0.85,28.5,31.4,-2.9,-0.12,0.43,Matches
Arno Verschueren,be BEL,MF,25-363,24,1884.0,79.0,77.5,20.9,22,85.0,11,2,7.0,2,1.79,33.0,23.0,10.0,0.48,0.15,23.2,28.9,-5.6,-0.27,-0.42,Matches
Shurandy Sambo,nl NED,DF,21-230,24,1860.0,78.0,76.5,20.7,22,82.0,11,2,31.0,1,1.63,32.0,24.0,8.0,0.39,-0.24,25.0,27.5,-2.6,-0.12,0.22,Matches
Adil Auassar,nl NED,DF,36-182,22,1771.0,81.0,72.9,19.7,21,84.0,16,1,15.0,1,1.64,26.0,20.0,6.0,0.3,-0.51,22.6,24.1,-1.5,-0.08,0.36,Matches
Sven Mijnans,nl NED,"MF,FW",23-028,19,1477.0,78.0,60.8,16.4,16,89.0,7,3,20.0,0,1.74,25.0,14.0,11.0,0.67,0.58,18.5,17.5,1.0,0.06,0.61,Matches
Jonathan de Guzmán,nl NED,MF,35-205,17,1215.0,71.0,50.0,13.5,15,76.0,2,2,40.0,1,1.53,18.0,18.0,0.0,0.0,-0.89,11.9,19.9,-8.0,-0.59,-0.84,Matches
Koki Saito,jp JPN,FW,21-239,19,1042.0,55.0,42.9,11.6,13,68.0,1,6,27.0,4,2.0,23.0,14.0,9.0,0.78,0.58,15.4,15.8,-0.5,-0.04,0.23,Matches
Younes Namli,dk DEN,"FW,MF",28-290,19,937.0,49.0,38.6,10.4,10,73.0,0,9,23.0,1,1.68,12.0,13.0,-1.0,-0.1,-0.88,11.2,13.9,-2.7,-0.26,-0.13,Matches
Dirk Abels,nl NED,DF,25-297,19,869.0,46.0,35.8,9.7,8,82.0,5,11,20.0,8,1.74,14.0,11.0,3.0,0.31,-0.21,9.8,14.8,-5.0,-0.52,-0.54,Matches
Jeremy van Mullem,nl NED,MF,24-019,23,864.0,38.0,35.6,9.6,7,83.0,4,16,18.0,4,1.91,15.0,10.0,5.0,0.52,0.12,13.4,12.7,0.7,0.07,0.39,Matches
Mike Eerdhuijzen,nl NED,DF,22-267,19,661.0,35.0,27.2,7.3,6,85.0,4,13,11.0,8,1.84,17.0,10.0,7.0,0.95,0.7,8.8,12.0,-3.2,-0.43,-0.35,Matches
Jason Lokilo,be BEL,FW,24-201,7,271.0,39.0,11.2,3.0,3,71.0,1,4,15.0,8,1.43,3.0,3.0,0.0,0.0,-0.5,2.2,4.0,-1.7,-0.58,-0.46,Matches
Youri Schoonderwaldt,nl NED,GK,23-024,2,180.0,90.0,7.4,2.0,2,90.0,2,0,,18,2.0,4.0,3.0,1.0,0.5,0.06,2.5,1.3,1.2,0.6,0.84,Matches
Aaron Meijers,nl NED,DF,35-160,8,129.0,16.0,5.3,1.4,0,,0,8,16.0,19,2.0,3.0,2.0,1.0,0.7,0.27,2.7,1.7,0.9,0.65,0.87,Matches
Mario Engels,de GER,"FW,DF",29-166,9,52.0,6.0,2.1,0.6,0,,0,9,6.0,5,2.11,4.0,0.0,4.0,6.92,6.62,1.7,1.4,0.2,0.36,0.55,Matches
Omar Rekik,tn TUN,"DF,MF",21-107,6,33.0,6.0,1.4,0.4,0,,0,6,6.0,10,2.0,1.0,1.0,0.0,0.0,-0.45,0.5,0.8,-0.2,-0.59,-0.42,Matches
Mohammed Tahiri,nl NED,FW,23-074,3,17.0,6.0,0.7,0.2,0,,0,3,6.0,14,1.67,0.0,0.0,0.0,0.0,-0.45,0.0,0.2,-0.2,-0.8,-0.63,Matches
Charles-Andréas Brym,ca CAN,"FW,DF",24-241,2,11.0,6.0,0.5,0.1,0,,0,2,6.0,2,0.0,0.0,0.0,0.0,0.0,-0.45,0.1,0.2,-0.1,-0.76,-0.59,Matches
Elias Hoff Melkersen,no NOR,FW,20-096,2,11.0,6.0,0.5,0.1,0,,0,2,6.0,9,1.5,0.0,2.0,-2.0,-16.36,-16.88,0.3,0.4,-0.2,-1.36,-1.19,Matches
Pedro Alemañ,es ESP,"MF,FW",21-016,2,7.0,4.0,0.3,0.1,0,,0,2,4.0,10,1.5,0.0,0.0,0.0,0.0,-0.45,0.0,0.0,0.0,0.0,0.18,Matches
Patrick Brouwer,nl NED,"FW,MF",22-018,2,3.0,2.0,0.1,0.0,0,,0,2,2.0,16,1.5,0.0,0.0,0.0,0.0,-0.44,0.0,0.0,0.0,0.0,0.18,Matches
Rick Meijssen,nl NED,DF,21-041,2,2.0,1.0,0.1,0.0,0,,0,2,1.0,6,1.5,0.0,0.0,0.0,0.0,-0.44,0.0,0.0,0.0,0.0,0.18,Matches
Rayvien Rosario,do DOM,FW,18-360,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,-0.44,0.0,0.0,0.0,0.0,0.18,Matches
Tim Coremans,nl NED,GK,31-361,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Delano van Crooy,nl NED,GK,31-305,0,,,,,0,,0,0,,20,,,,,,,,,,,,Matches
Augustin Drakpe,nl NED,DF,21-119,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
Joey Koorevaar,nl NED,GK,22-043,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Ishan Kort,sr SUR,GK,22-309,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Dylan van Wageningen,nl NED,MF,20-078,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.1,27,2430.0,90.0,100.0,27.0,297,84.0,184,112,15.0,194,1.7,42.0,30.0,12.0,0.44,,31.0,35.7,-4.7,-0.18,,
Opponent Total,,,25.8,27,2430.0,90.0,100.0,27.0,297,84.0,184,112,15.0,174,1.04,30.0,42.0,-12.0,-0.44,,35.7,31.0,4.7,0.18,,
