Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Tobias Lauritsen,no NOR,FW,25-219,25.8,8,66,28,42.4,2.55,1.08,0.12,0.29,14.0,0,0,0,7.9,7.9,0.12,0.1,0.1,Matches
Michael Pinto,lu LUX,DF,29-306,25.7,1,8,2,25.0,0.31,0.08,0.13,0.5,21.3,1,0,0,0.3,0.3,0.04,0.7,0.7,Matches
Vito van Crooy,nl NED,FW,27-067,24.8,9,53,25,47.2,2.14,1.01,0.11,0.24,22.2,11,3,4,7.9,4.8,0.09,1.1,1.2,Matches
Nick Olij,nl NED,GK,27-248,25.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Bart Vriends,nl NED,DF,31-332,23.5,2,8,2,25.0,0.34,0.09,0.25,1.0,8.7,0,0,0,0.9,0.9,0.11,1.1,1.1,Matches
Joshua Kitolano,no NOR,MF,21-246,23.7,3,33,10,30.3,1.39,0.42,0.09,0.3,18.6,0,0,0,3.1,3.1,0.1,-0.1,-0.1,Matches
Arno Verschueren,be BEL,MF,25-363,20.9,8,41,15,36.6,1.96,0.72,0.2,0.53,15.3,0,0,0,3.8,3.8,0.09,4.2,4.2,Matches
Shurandy Sambo,nl NED,DF,21-230,20.7,0,12,3,25.0,0.58,0.15,0.0,0.0,23.7,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches
Adil Auassar,nl NED,DF,36-182,19.7,0,4,2,50.0,0.2,0.1,0.0,0.0,13.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Sven Mijnans,nl NED,"MF,FW",23-028,16.4,3,38,7,18.4,2.32,0.43,0.08,0.43,18.4,1,0,0,2.4,2.4,0.06,0.6,0.6,Matches
Jonathan de Guzmán,nl NED,MF,35-205,13.5,1,7,1,14.3,0.52,0.07,0.14,1.0,25.9,0,0,0,0.3,0.3,0.05,0.7,0.7,Matches
Koki Saito,jp JPN,FW,21-239,11.6,4,24,9,37.5,2.07,0.78,0.17,0.44,17.5,0,0,0,2.1,2.1,0.09,1.9,1.9,Matches
Younes Namli,dk DEN,"FW,MF",28-290,10.4,0,17,5,29.4,1.63,0.48,0.0,0.0,22.7,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Dirk Abels,nl NED,DF,25-297,9.7,1,8,2,25.0,0.83,0.21,0.13,0.5,25.8,0,0,0,0.3,0.3,0.04,0.7,0.7,Matches
Jeremy van Mullem,nl NED,MF,24-019,9.6,0,9,3,33.3,0.94,0.31,0.0,0.0,27.0,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
Mike Eerdhuijzen,nl NED,DF,22-267,7.3,0,2,0,0.0,0.27,0.0,0.0,,11.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Jason Lokilo,be BEL,FW,24-201,3.0,0,3,2,66.7,1.0,0.66,0.0,0.0,19.5,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Youri Schoonderwaldt,nl NED,GK,23-024,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Aaron Meijers,nl NED,DF,35-160,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mario Engels,de GER,"FW,DF",29-166,0.6,1,1,1,100.0,1.73,1.73,1.0,1.0,10.3,0,0,0,0.2,0.2,0.25,0.8,0.8,Matches
Omar Rekik,tn TUN,"DF,MF",21-107,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mohammed Tahiri,nl NED,FW,23-074,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Charles-Andréas Brym,ca CAN,"FW,DF",24-241,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Elias Hoff Melkersen,no NOR,FW,20-096,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Pedro Alemañ,es ESP,"MF,FW",21-016,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Patrick Brouwer,nl NED,"FW,MF",22-018,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rick Meijssen,nl NED,DF,21-041,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rayvien Rosario,do DOM,FW,18-360,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.1,27.0,41,334,117,35.0,12.37,4.33,0.11,0.32,18.4,13,3,4,31.0,27.8,0.09,10.0,10.2,
Opponent Total,,,25.8,27.0,30,411,127,30.9,15.22,4.7,0.07,0.22,18.8,20,2,2,35.7,34.1,0.08,-5.7,-6.1,
