Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Gijs Smal,nl NED,DF,25-218,27,27,2339.0,26.0,1.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,5.6,6.9,75.0,171.0,165.0,0.04,0.19,0.23,0.04,0.23,0.05,0.21,0.27,0.05,0.27,Matches
Lars Unnerstall,de GER,GK,32-260,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ramiz Zerrouki,dz ALG,MF,24-315,25,25,2207.0,24.5,0.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,2.5,3.4,33.0,215.0,38.0,0.0,0.12,0.12,0.0,0.12,0.04,0.1,0.14,0.04,0.14,Matches
Ricky van Wolfswinkel,nl NED,FW,34-069,27,25,2188.0,24.3,7.0,6.0,13.0,4.0,3.0,3.0,2.0,0.0,11.6,9.3,3.3,12.5,23.0,61.0,141.0,0.29,0.25,0.53,0.16,0.41,0.48,0.13,0.61,0.38,0.51,Matches
Mees Hilgers,nl NED,DF,21-328,25,24,1946.0,21.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.7,0.7,0.2,0.9,45.0,104.0,12.0,0.05,0.0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,Matches
Robin Pröpper,nl NED,DF,29-195,23,23,1964.0,21.8,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,2.2,2.2,0.9,3.1,14.0,105.0,5.0,0.05,0.09,0.14,0.05,0.14,0.1,0.04,0.14,0.1,0.14,Matches
Václav Černý,cz CZE,FW,25-171,25,22,1778.0,19.8,9.0,6.0,15.0,9.0,0.0,0.0,1.0,1.0,5.0,5.0,6.4,11.4,112.0,114.0,221.0,0.46,0.3,0.76,0.46,0.76,0.25,0.32,0.58,0.25,0.58,Matches
Joshua Brenet,nl NED,DF,29-017,25,21,1911.0,21.2,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,3.3,3.3,2.9,6.3,53.0,114.0,99.0,0.24,0.14,0.38,0.24,0.38,0.16,0.14,0.29,0.16,0.29,Matches
Michel Vlap,nl NED,MF,25-308,25,20,1701.0,18.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,5.2,5.2,1.6,6.8,32.0,74.0,70.0,0.0,0.11,0.11,0.0,0.11,0.28,0.09,0.36,0.28,0.36,Matches
Virgil Misidjan,nl NED,FW,29-256,24,19,1651.0,18.3,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,2.5,2.5,3.8,6.3,115.0,55.0,237.0,0.33,0.11,0.44,0.33,0.44,0.14,0.21,0.34,0.14,0.34,Matches
Mathias Kjølø,no NOR,MF,21-283,18,11,958.0,10.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.4,1.2,8.0,58.0,16.0,0.0,0.09,0.09,0.0,0.09,0.07,0.04,0.11,0.07,0.11,Matches
Sem Steijn,nl NED,MF,21-140,21,10,941.0,10.5,5.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,4.0,4.0,1.3,5.2,12.0,40.0,42.0,0.48,0.0,0.48,0.48,0.48,0.38,0.12,0.5,0.38,0.5,Matches
Anass Salah-Eddine,nl NED,"MF,DF",21-078,13,7,640.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.8,1.1,14.0,31.0,43.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.15,0.04,0.15,Matches
Michal Sadílek,cz CZE,MF,23-310,8,7,591.0,6.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,2.3,3.2,13.0,40.0,17.0,0.15,0.15,0.3,0.15,0.3,0.14,0.35,0.48,0.14,0.48,Matches
Daan Rots,nl NED,"FW,MF",21-255,19,5,636.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.6,1.7,14.0,27.0,62.0,0.0,0.0,0.0,0.0,0.0,0.15,0.09,0.24,0.15,0.24,Matches
Alfons Sampsted,is ISL,DF,25-000,10,5,427.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.6,8.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.12,0.01,0.12,Matches
Christos Tzolis,gr GRE,FW,21-066,10,5,422.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.7,15.0,14.0,57.0,0.21,0.0,0.21,0.21,0.21,0.13,0.01,0.14,0.13,0.14,Matches
Julio Pleguezuelo,es ESP,DF,26-070,16,4,589.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06,Matches
Manfred Ugalde,cr CRC,FW,20-316,18,4,511.0,5.7,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,4.1,4.1,0.2,4.2,6.0,16.0,32.0,1.06,0.0,1.06,1.06,1.06,0.72,0.03,0.74,0.72,0.74,Matches
Max Bruns,nl NED,"DF,MF",20-151,8,4,411.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,7.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Denilho Cleonise,nl NED,FW,21-119,11,2,236.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.8,10.0,8.0,18.0,0.38,0.0,0.38,0.38,0.38,0.2,0.11,0.32,0.2,0.32,Matches
Przemysław Tytoń,pl POL,GK,36-092,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Wout Brama,nl NED,MF,36-228,6,0,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Luca Everink,nl NED,"DF,FW",22-056,3,0,56.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Casper Staring,nl NED,MF,22-064,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Sander Sybrandy,nl NED,MF,19-006,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.51,16.51,0.0,16.51,Matches
Gijs Besselink,nl NED,DF,18-294,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jaïr Haakmat,nl NED,DF,19-221,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sam Karssies,nl NED,GK,20-039,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Thijs van Leeuwen,nl NED,MF,21-265,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Issam El Maach,ma MAR,GK,23-064,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Julien Mesbahi,nl NED,DF,17-065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mats Rots,nl NED,DF,17-026,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Irakli Yegoian,,MF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.7,27,297,2430.0,27.0,44.0,31.0,75.0,41.0,3.0,3.0,34.0,1.0,44.7,42.5,33.6,76.1,614.0,1312.0,1300.0,1.63,1.15,2.78,1.52,2.67,1.65,1.24,2.9,1.58,2.82,
Opponent Total,,,25.3,27,297,2430.0,27.0,21.0,14.0,35.0,20.0,1.0,2.0,45.0,1.0,29.1,27.6,23.2,50.8,349.0,777.0,767.0,0.78,0.52,1.3,0.74,1.26,1.08,0.86,1.94,1.02,1.88,
