Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Gijs Smal,nl NED,DF,25-218,27,2339.0,87.0,96.3,26.0,27,87.0,25,0,,0,1.78,42.0,22.0,20.0,0.77,-1.21,42.9,28.5,14.4,0.55,-0.62,Matches
Lars Unnerstall,de GER,GK,32-260,26,2340.0,90.0,96.3,26.0,26,90.0,26,0,,0,1.73,41.0,22.0,19.0,0.73,-2.27,43.2,28.5,14.7,0.57,-0.27,Matches
Ramiz Zerrouki,dz ALG,MF,24-315,25,2207.0,88.0,90.8,24.5,25,88.0,21,0,,0,1.88,40.0,17.0,23.0,0.94,1.34,40.6,25.7,14.8,0.61,0.32,Matches
Ricky van Wolfswinkel,nl NED,FW,34-069,27,2188.0,81.0,90.0,24.3,25,85.0,16,2,28.0,0,1.78,41.0,22.0,19.0,0.78,-0.33,41.1,27.2,13.9,0.57,-0.04,Matches
Mees Hilgers,nl NED,DF,21-328,25,1946.0,78.0,80.1,21.6,24,81.0,14,1,10.0,1,1.76,39.0,18.0,21.0,0.97,0.79,37.9,23.8,14.1,0.65,0.38,Matches
Robin Pröpper,nl NED,DF,29-195,23,1964.0,85.0,80.8,21.8,23,85.0,18,0,,0,1.87,38.0,18.0,20.0,0.92,0.53,36.2,22.8,13.4,0.61,0.19,Matches
Václav Černý,cz CZE,FW,25-171,25,1778.0,71.0,73.2,19.8,22,78.0,6,3,20.0,0,1.68,31.0,18.0,13.0,0.66,-0.58,32.9,20.8,12.1,0.61,0.14,Matches
Joshua Brenet,nl NED,DF,29-017,25,1911.0,76.0,78.6,21.2,21,85.0,17,4,32.0,0,1.84,37.0,14.0,23.0,1.08,1.26,34.1,23.3,10.7,0.51,-0.33,Matches
Michel Vlap,nl NED,MF,25-308,25,1701.0,68.0,70.0,18.9,20,77.0,8,5,32.0,0,1.68,28.0,16.0,12.0,0.63,-0.6,30.3,18.9,11.4,0.61,0.1,Matches
Virgil Misidjan,nl NED,FW,29-256,24,1651.0,69.0,67.9,18.3,19,79.0,6,5,30.0,0,1.71,28.0,14.0,14.0,0.76,-0.16,29.1,19.8,9.3,0.51,-0.21,Matches
Mathias Kjølø,no NOR,MF,21-283,18,958.0,53.0,39.4,10.6,11,72.0,3,7,23.0,4,1.83,16.0,10.0,6.0,0.56,-0.41,14.9,11.0,3.9,0.36,-0.35,Matches
Sem Steijn,nl NED,MF,21-140,21,941.0,45.0,38.7,10.5,10,66.0,1,11,26.0,2,1.9,18.0,6.0,12.0,1.15,0.54,21.1,11.5,9.6,0.92,0.56,Matches
Anass Salah-Eddine,nl NED,"MF,DF",21-078,13,640.0,49.0,26.3,7.1,7,71.0,3,6,24.0,14,1.69,12.0,9.0,3.0,0.42,-0.53,10.7,7.3,3.4,0.47,-0.14,Matches
Michal Sadílek,cz CZE,MF,23-310,8,591.0,74.0,24.3,6.6,7,78.0,4,1,45.0,2,1.88,8.0,2.0,6.0,0.91,0.13,12.4,6.5,5.9,0.9,0.43,Matches
Daan Rots,nl NED,"FW,MF",21-255,19,636.0,33.0,26.2,7.1,5,74.0,0,14,19.0,3,1.74,10.0,4.0,6.0,0.85,0.05,10.7,6.7,4.0,0.57,-0.01,Matches
Alfons Sampsted,is ISL,DF,25-000,10,427.0,43.0,17.6,4.7,5,65.0,1,5,21.0,3,1.6,6.0,5.0,1.0,0.21,-0.73,9.4,4.3,5.1,1.08,0.61,Matches
Christos Tzolis,gr GRE,FW,21-066,10,422.0,42.0,17.4,4.7,5,71.0,0,5,14.0,2,1.8,6.0,3.0,3.0,0.64,-0.21,6.3,5.2,1.0,0.22,-0.43,Matches
Julio Pleguezuelo,es ESP,DF,26-070,16,589.0,37.0,24.2,6.5,4,90.0,4,12,19.0,4,1.81,7.0,5.0,2.0,0.31,-0.67,8.4,7.4,0.9,0.14,-0.57,Matches
Manfred Ugalde,cr CRC,FW,20-316,18,511.0,28.0,21.0,5.7,4,76.0,2,14,15.0,8,1.89,14.0,2.0,12.0,2.11,1.64,10.4,6.2,4.2,0.74,0.21,Matches
Max Bruns,nl NED,"DF,MF",20-151,8,411.0,51.0,16.9,4.6,4,79.0,3,4,24.0,19,1.5,7.0,7.0,0.0,0.0,-0.98,8.8,6.0,2.8,0.61,0.05,Matches
Denilho Cleonise,nl NED,FW,21-119,11,236.0,21.0,9.7,2.6,2,52.0,0,9,15.0,12,1.91,7.0,3.0,4.0,1.53,0.79,5.7,2.6,3.0,1.17,0.65,Matches
Przemysław Tytoń,pl POL,GK,36-092,1,90.0,90.0,3.7,1.0,1,90.0,1,0,,25,3.0,3.0,0.0,3.0,3.0,2.27,1.5,0.6,0.8,0.83,0.27,Matches
Wout Brama,nl NED,MF,36-228,6,149.0,25.0,6.1,1.7,0,,0,6,25.0,2,1.67,4.0,2.0,2.0,1.21,0.42,1.5,2.3,-0.8,-0.47,-1.11,Matches
Luca Everink,nl NED,"DF,FW",22-056,3,56.0,19.0,2.3,0.6,0,,0,3,19.0,11,1.33,1.0,2.0,-1.0,-1.61,-2.48,0.8,2.1,-1.3,-2.14,-2.77,Matches
Casper Staring,nl NED,MF,22-064,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,10,3.0,0.0,0.0,0.0,0.0,-0.82,0.2,0.0,0.2,18.97,18.41,Matches
Sander Sybrandy,nl NED,MF,19-006,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,3,3.0,0.0,0.0,0.0,0.0,-0.82,0.3,0.1,0.2,17.61,17.04,Matches
Gijs Besselink,nl NED,DF,18-294,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Jaïr Haakmat,nl NED,DF,19-221,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Sam Karssies,nl NED,GK,20-039,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Thijs van Leeuwen,nl NED,MF,21-265,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Issam El Maach,ma MAR,GK,23-064,0,,,,,0,,0,0,,27,,,,,,,,,,,,Matches
Julien Mesbahi,nl NED,DF,17-065,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Mats Rots,nl NED,DF,17-026,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Irakli Yegoian,,MF,,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Squad Total,,,26.7,27,2430.0,90.0,100.0,27.0,297,81.0,179,119,21.0,175,1.78,44.0,22.0,22.0,0.81,,44.7,29.1,15.5,0.58,,
Opponent Total,,,25.3,27,2430.0,90.0,100.0,27.0,297,81.0,179,119,21.0,167,0.89,22.0,44.0,-22.0,-0.81,,29.1,44.7,-15.5,-0.58,,
