Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Vasilios Barkas,gr GRE,GK,28-293,26.0,637,862,73.9,18322,13298,120,120,100.0,299,303,98.7,216,433,49.9,0,0.0,0.1,0.0,0,16,0,0,0,Matches
Modibo Sagnan,fr FRA,DF,23-339,19.9,823,997,82.5,16994,6844,230,254,90.6,486,552,88.0,101,166,60.8,0,0.0,0.3,0.0,0,40,1,0,39,Matches
Jens Toornstra,nl NED,MF,33-349,18.3,812,1069,76.0,15120,5304,342,397,86.1,326,390,83.6,113,210,53.8,3,2.5,3.7,0.5,33,97,25,3,112,Matches
Mark van der Maarel,nl NED,DF,33-219,18.3,803,989,81.2,15455,6612,315,345,91.3,376,464,81.0,104,151,68.9,0,1.1,1.7,-1.1,8,60,9,2,73,Matches
Othman Boussaid,be BEL,"MF,FW",23-012,17.6,583,798,73.1,10731,3261,246,291,84.5,243,307,79.2,74,142,52.1,3,2.6,3.5,0.4,24,60,35,16,88,Matches
Sander van de Streek,nl NED,MF,29-360,17.3,355,537,66.1,5483,1401,181,239,75.7,128,176,72.7,26,50,52.0,2,2.4,2.4,-0.4,18,39,11,3,53,Matches
Sean Klaiber,sr SUR,DF,28-231,17.3,842,1119,75.2,13797,5537,422,485,87.0,321,415,77.3,71,151,47.0,1,1.1,1.7,-0.1,14,73,25,8,99,Matches
Anastasios Douvikas,gr GRE,FW,23-229,16.6,208,312,66.7,2928,377,113,151,74.8,67,96,69.8,11,18,61.1,4,3.8,2.2,0.2,19,17,7,2,21,Matches
Mike van der Hoorn,nl NED,DF,30-155,16.0,781,940,83.1,16440,6428,223,249,89.6,428,483,88.6,120,186,64.5,0,0.5,0.6,-0.5,7,80,6,1,73,Matches
Taylor Booth,us USA,"FW,MF",21-292,14.2,416,581,71.6,6954,2006,190,224,84.8,159,211,75.4,44,94,46.8,3,3.0,3.3,0.0,26,32,20,12,52,Matches
Luuk Brouwers,nl NED,MF,24-320,14.4,574,669,85.8,10623,3250,228,260,87.7,257,285,90.2,77,92,83.7,1,1.3,1.2,-0.3,9,73,9,3,73,Matches
Bas Dost,nl NED,FW,33-292,13.6,251,386,65.0,3359,907,147,216,68.1,78,120,65.0,8,15,53.3,2,1.9,2.6,0.1,19,37,7,0,42,Matches
Can Bozdogan,de GER,MF,21-348,13.2,490,644,76.1,8565,2117,215,251,85.7,196,233,84.1,54,114,47.4,4,2.8,2.6,1.2,16,48,5,0,50,Matches
Nick Viergever,nl NED,DF,33-228,10.1,457,590,77.5,9115,4079,160,184,87.0,226,286,79.0,66,100,66.0,0,0.2,0.7,-0.2,3,26,3,2,31,Matches
Daishawn Redan,nl NED,FW,22-045,8.1,116,162,71.6,1581,292,69,87,79.3,42,56,75.0,2,5,40.0,0,0.9,0.8,-0.9,8,9,4,0,12,Matches
Hidde ter Avest,nl NED,DF,25-303,8.6,403,542,74.4,6194,2758,228,258,88.4,139,194,71.6,23,56,41.1,0,0.3,0.6,-0.3,6,29,8,6,39,Matches
Djevencio van der Kust,nl NED,DF,21-323,6.4,207,269,77.0,3528,996,95,111,85.6,95,123,77.2,14,25,56.0,0,1.0,1.2,-1.0,8,13,7,5,14,Matches
Moussa Sylla,fr FRA,"FW,MF",23-114,5.9,140,218,64.2,2275,780,63,76,82.9,50,78,64.1,14,27,51.9,1,1.6,1.6,-0.6,15,4,11,6,15,Matches
Ruben Kluivert,nl NED,DF,21-302,4.0,218,270,80.7,4480,1566,68,76,89.5,122,137,89.1,27,51,52.9,0,0.0,0.0,0.0,2,8,1,0,12,Matches
Amin Younes,de GER,"FW,MF",29-225,3.7,159,195,81.5,2489,533,84,94,89.4,51,59,86.4,18,27,66.7,2,0.9,0.7,1.1,9,11,10,3,22,Matches
Naoki Maeda,jp JPN,FW,28-122,2.8,71,88,80.7,906,173,45,51,88.2,20,22,90.9,1,1,100.0,0,0.2,0.1,-0.2,2,0,5,1,7,Matches
Zakaria Labyad,ma MAR,"FW,MF",30-010,2.0,46,67,68.7,613,136,23,27,85.2,17,22,77.3,1,5,20.0,0,0.1,0.3,-0.1,3,4,2,0,4,Matches
Django Warmerdam,nl NED,DF,27-198,2.8,108,141,76.6,1819,625,55,61,90.2,40,52,76.9,10,20,50.0,0,0.0,0.1,0.0,0,6,1,1,6,Matches
Victor Jensen,dk DEN,"MF,FW",23-039,2.4,98,126,77.8,1468,223,58,70,82.9,33,38,86.8,5,11,45.5,1,0.1,0.1,0.9,1,6,1,0,8,Matches
Ramon Hendriks,nl NED,DF,21-244,2.0,68,90,75.6,1323,459,27,31,87.1,30,39,76.9,10,16,62.5,0,0.0,0.1,0.0,0,2,0,0,2,Matches
Anthony Descotte,be BEL,"FW,MF",19-228,1.0,10,11,90.9,125,14,7,7,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Rocco Robert Shein,ee EST,MF,19-248,0.9,67,75,89.3,1177,225,25,28,89.3,33,34,97.1,6,8,75.0,0,0.0,0.1,0.0,0,3,1,0,8,Matches
Arthur Zagre,fr FRA,"FW,MF",21-166,0.8,21,24,87.5,374,107,11,12,91.7,8,10,80.0,2,2,100.0,0,0.0,0.1,0.0,0,2,2,0,4,Matches
Bart Ramselaar,nl NED,"FW,MF",26-263,0.6,29,30,96.7,437,98,14,15,93.3,7,7,100.0,3,3,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Derensili Fernandes,nl NED,"FW,DF",21-295,0.5,21,31,67.7,369,40,12,15,80.0,6,10,60.0,3,5,60.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
Mimoun Mahi,ma MAR,"MF,FW",29-006,0.4,1,7,14.3,7,0,1,5,20.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Albert Lottin,fr FRA,MF,21-202,0.2,5,7,71.4,125,37,0,1,0.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Squad Total,,,27.3,26.0,9820,12846,76.4,183176,70483,4017,4691,85.6,4290,5210,82.3,1225,2185,56.1,27,27.7,32.4,-0.7,250,798,216,74,965,
Opponent Total,,,25.5,26.0,9986,12928,77.2,182904,68417,4357,5080,85.8,4199,4980,84.3,1196,2181,54.8,28,26.4,29.5,1.6,237,825,222,64,1069,
