Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Vasilios Barkas,gr GRE,GK,28-308,26.0,903,794,895,10,0,0,903,0,0,,0,,497,3124,2003,0,0,0,0,0,365,0,Matches
Modibo Sagnan,fr FRA,DF,23-354,19.9,1258,200,696,544,24,11,1258,5,3,60.0,2,40.0,654,3041,1524,10,6,1,13,3,766,3,Matches
Jens Toornstra,nl NED,MF,33-364,18.3,1237,39,256,689,307,12,1237,26,11,42.3,13,50.0,585,2898,1159,15,26,1,26,16,775,39,Matches
Mark van der Maarel,nl NED,DF,33-234,18.3,1162,104,514,522,131,18,1162,1,0,0.0,1,100.0,515,1984,880,5,4,0,5,1,675,29,Matches
Othman Boussaid,be BEL,"MF,FW",23-027,17.6,991,18,154,481,370,43,991,79,24,30.4,44,55.7,648,4231,2024,65,50,18,28,18,681,95,Matches
Sander van de Streek,nl NED,MF,30-010,17.3,735,27,113,377,250,66,735,20,6,30.0,11,55.0,342,1434,599,22,14,7,28,14,484,94,Matches
Sean Klaiber,sr SUR,DF,28-246,17.3,1334,73,444,577,325,31,1334,30,13,43.3,15,50.0,607,3212,1451,26,23,3,34,11,707,74,Matches
Anastasios Douvikas,gr GRE,FW,23-244,16.6,580,24,44,258,288,103,578,43,18,41.9,22,51.2,307,1485,457,25,15,12,79,38,420,112,Matches
Mike van der Hoorn,nl NED,DF,30-170,16.0,1103,151,541,515,50,28,1103,7,2,28.6,0,0.0,590,2857,1768,15,4,0,11,3,751,6,Matches
Taylor Booth,us USA,"FW,MF",21-307,14.2,749,12,111,325,328,26,749,55,20,36.4,27,49.1,453,3254,1356,48,45,9,41,21,516,80,Matches
Luuk Brouwers,nl NED,MF,24-335,14.4,804,38,199,482,129,12,804,9,1,11.1,4,44.4,369,1856,829,13,17,3,8,5,502,25,Matches
Bas Dost,nl NED,FW,33-307,13.6,492,25,46,283,163,61,492,3,3,100.0,0,0.0,201,497,181,2,6,0,16,8,381,50,Matches
Can Bozdogan,de GER,MF,21-363,13.2,830,25,155,444,240,18,830,48,22,45.8,16,33.3,400,2137,996,23,22,2,37,17,496,25,Matches
Nick Viergever,nl NED,DF,33-243,10.1,690,57,303,339,54,9,690,6,0,0.0,6,100.0,329,1964,1231,16,7,1,3,1,386,8,Matches
Daishawn Redan,nl NED,FW,22-060,8.1,244,2,20,107,121,35,244,8,2,25.0,6,75.0,133,818,455,18,9,9,26,10,168,49,Matches
Hidde ter Avest,nl NED,DF,25-318,8.6,641,51,197,251,194,13,641,8,3,37.5,5,62.5,235,976,568,15,8,4,1,2,307,48,Matches
Djevencio van der Kust,nl NED,DF,21-338,6.4,351,18,105,148,101,11,351,7,1,14.3,4,57.1,178,1055,517,11,12,0,10,6,198,33,Matches
Moussa Sylla,fr FRA,"FW,MF",23-129,5.9,275,11,54,92,132,23,275,16,5,31.3,9,56.3,144,1018,552,19,13,4,6,11,187,54,Matches
Ruben Kluivert,nl NED,DF,21-317,4.0,328,45,177,148,4,2,328,1,1,100.0,0,0.0,185,919,421,0,0,0,7,0,211,1,Matches
