Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Vasilios Barkas,gr GRE,GK,28-311,26.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Modibo Sagnan,fr FRA,DF,23-357,19.9,1,7,1,14.3,0.35,0.05,0.14,1.0,14.9,0,0,0,0.6,0.6,0.09,0.4,0.4,Matches
Jens Toornstra,nl NED,MF,34-002,19.3,1,17,5,29.4,0.88,0.26,0.06,0.2,23.0,3,0,0,1.0,1.0,0.06,0.0,0.0,Matches
Sander van de Streek,nl NED,MF,30-013,18.2,7,41,19,46.3,2.26,1.05,0.17,0.37,13.0,0,0,0,4.9,4.9,0.12,2.1,2.1,Matches
Mark van der Maarel,nl NED,DF,33-237,18.3,0,4,0,0.0,0.22,0.0,0.0,,11.3,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
Sean Klaiber,sr SUR,DF,28-249,18.3,1,18,4,22.2,0.98,0.22,0.06,0.25,21.4,0,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Othman Boussaid,be BEL,"FW,MF",23-030,17.9,3,33,8,24.2,1.84,0.45,0.09,0.38,20.1,0,0,0,2.5,2.5,0.08,0.5,0.5,Matches
Anastasios Douvikas,gr GRE,FW,23-247,17.6,13,58,29,50.0,3.3,1.65,0.19,0.38,12.5,0,2,2,10.6,9.0,0.16,2.4,2.0,Matches
Mike van der Hoorn,nl NED,DF,30-173,17.0,0,15,3,20.0,0.88,0.18,0.0,0.0,9.2,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
Taylor Booth,us USA,"FW,MF",21-310,14.9,2,25,13,52.0,1.68,0.87,0.08,0.15,20.0,0,0,0,2.2,2.2,0.09,-0.2,-0.2,Matches
Luuk Brouwers,nl NED,MF,24-338,15.4,0,9,4,44.4,0.59,0.26,0.0,0.0,20.2,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
Bas Dost,nl NED,FW,33-310,13.9,7,31,16,51.6,2.23,1.15,0.23,0.44,10.9,0,0,0,5.5,5.5,0.18,1.5,1.5,Matches
Can Bozdogan,de GER,MF,22-001,13.2,1,26,12,46.2,1.97,0.91,0.04,0.08,23.8,1,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
Nick Viergever,nl NED,DF,33-246,11.1,1,2,1,50.0,0.18,0.09,0.5,1.0,5.9,0,0,0,0.8,0.8,0.41,0.2,0.2,Matches
Daishawn Redan,nl NED,FW,22-063,8.1,1,16,8,50.0,1.97,0.98,0.06,0.13,13.2,0,0,0,3.3,3.3,0.2,-2.3,-2.3,Matches
Hidde ter Avest,nl NED,DF,25-321,8.6,0,4,3,75.0,0.46,0.35,0.0,0.0,15.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
