Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Carel Eiting,nl NED,MF,25-054,26.7,51,27,22,24,5,19,42,45.2,23,30,6,24,24,75,36,0,Matches
Filip Stankovic,rs SRB,GK,21-040,26.0,5,4,5,0,0,5,8,62.5,3,0,0,0,1,6,18,0,Matches
Derry Murkin,eng ENG,DF,23-253,24.8,66,35,39,24,3,39,83,47.0,44,25,4,21,42,108,82,1,Matches
Damon Mirani,nl NED,"DF,MF",26-328,22.5,40,23,28,11,1,21,41,51.2,20,33,21,12,30,70,110,0,Matches
Brian Plat,nl NED,DF,23-001,22.0,92,58,51,30,11,36,55,65.5,19,37,9,28,32,124,74,0,Matches
Xavier Mbuyamba,nl NED,DF,21-096,20.8,46,24,31,15,0,19,29,65.5,10,38,22,16,26,72,128,3,Matches
Benaissa Benamar,ma MAR,"DF,MF",25-363,19.3,26,17,15,10,1,12,22,54.5,10,25,13,12,19,45,66,0,Matches
Robert Mühren,nl NED,"FW,MF",33-323,17.4,11,8,2,6,3,3,15,20.0,12,11,1,10,10,21,23,0,Matches
Gaetano Oristanio,it ITA,"MF,FW",20-190,16.1,19,10,7,7,5,6,20,30.0,14,10,2,8,15,34,4,0,Matches
Daryl van Mieghem,nl NED,"FW,MF",33-122,15.7,13,6,4,6,3,6,20,30.0,14,13,2,11,5,18,7,0,Matches
Bilal Ould-Chikh,ma MAR,"FW,MF",25-252,10.5,7,4,4,3,0,1,2,50.0,1,12,1,11,6,13,3,0,Matches
Calvin Twigt,nl NED,MF,20-066,8.5,20,14,8,8,4,12,37,32.4,25,17,5,12,14,34,19,1,Matches
Oskar Buur,dk DEN,"DF,MF",25-006,7.2,14,13,8,5,1,7,19,36.8,12,11,4,7,3,17,17,0,Matches
Ibrahim El Kadiri,nl NED,"FW,MF",21-073,7.9,16,9,12,3,1,8,17,47.1,9,8,0,8,3,19,5,0,Matches
Florent da Silva,fr FRA,MF,20-004,7.4,14,6,7,5,2,8,21,38.1,13,11,2,9,8,22,8,0,Matches
Henk Veerman,nl NED,FW,29-280,10.9,2,2,0,0,2,1,9,11.1,8,13,6,7,0,2,15,0,Matches
Josh Flint,eng ENG,DF,22-175,7.1,14,6,10,4,0,7,12,58.3,5,19,9,10,5,19,32,1,Matches
Francesco Antonucci,be BEL,"MF,FW",23-290,4.8,3,3,2,0,1,3,11,27.3,8,1,0,1,2,5,2,1,Matches
Dean James,nl NED,DF,22-341,4.8,10,3,7,1,2,8,14,57.1,6,10,1,9,11,21,20,0,Matches
Walid Ould-Chikh,ma MAR,"MF,FW",23-151,6.0,17,13,10,6,1,8,15,53.3,7,6,2,4,5,22,5,1,Matches
Achraf Douiri,nl NED,"DF,FW",23-130,3.1,17,10,5,8,4,10,15,66.7,5,7,3,4,3,20,4,0,Matches
Billy van Duijl,nl NED,DF,17-184,1.6,2,1,2,0,0,1,4,25.0,3,0,0,0,3,5,4,0,Matches
Lequincio Zeefuik,nl NED,"FW,MF",18-131,2.4,2,2,2,0,0,0,0,,0,1,0,1,0,2,3,0,Matches
Barry Lauwers,nl NED,GK,23-128,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Imran Nazih,nl NED,MF,17-071,0.6,2,2,2,0,0,2,4,50.0,2,0,0,0,0,2,0,0,Matches
Jordi Blom,nl NED,FW,20-305,0.5,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,1,0,Matches
Joey Antonioli,nl NED,MF,19-112,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Deron Payne,nl NED,DF,20-193,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
Flip Klomp,nl NED,MF,21-170,0.1,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
Givairo Read,,DF,,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Squad Total,,,24.6,27.0,512,302,285,177,50,244,520,46.9,276,339,113,226,267,779,690,8,
Opponent Total,,,25.6,27.0,454,269,213,184,57,197,384,51.3,187,260,86,174,189,643,478,12,
