Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
Carel Eiting,nl NED,MF,25-054,27,27,2404.0,26.7,3.0,7.0,10.0,3.0,0.0,0.0,2.0,0.0,1.4,1.4,6.6,8.0,25.0,102.0,54.0,0.11,0.26,0.37,0.11,0.37,0.05,0.25,0.3,0.05,0.3,Matches
Filip Stankovic,rs SRB,GK,21-040,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Derry Murkin,eng ENG,DF,23-253,25,25,2233.0,24.8,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,1.3,2.1,74.0,85.0,101.0,0.0,0.12,0.12,0.0,0.12,0.03,0.05,0.08,0.03,0.08,Matches
Damon Mirani,nl NED,"DF,MF",26-328,24,23,2022.0,22.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,0.4,2.0,11.0,100.0,9.0,0.04,0.04,0.09,0.04,0.09,0.07,0.02,0.09,0.07,0.09,Matches
Brian Plat,nl NED,DF,23-001,26,23,1978.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.4,0.8,24.0,53.0,41.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Xavier Mbuyamba,nl NED,DF,21-096,21,21,1869.0,20.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,1.1,1.1,1.0,2.1,8.0,60.0,3.0,0.1,0.05,0.14,0.1,0.14,0.05,0.05,0.1,0.05,0.1,Matches
Benaissa Benamar,ma MAR,"DF,MF",25-363,24,20,1736.0,19.3,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.7,0.7,0.9,1.6,5.0,67.0,9.0,0.1,0.05,0.16,0.1,0.16,0.04,0.05,0.08,0.04,0.08,Matches
Robert Mühren,nl NED,"FW,MF",33-323,23,20,1568.0,17.4,5.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,6.5,6.5,1.7,8.3,12.0,35.0,75.0,0.29,0.0,0.29,0.29,0.29,0.37,0.1,0.47,0.37,0.47,Matches
Gaetano Oristanio,it ITA,"MF,FW",20-190,20,17,1452.0,16.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,3.7,3.7,1.3,4.9,52.0,39.0,87.0,0.06,0.06,0.12,0.06,0.12,0.23,0.08,0.31,0.23,0.31,Matches
Daryl van Mieghem,nl NED,"FW,MF",33-122,23,17,1409.0,15.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,4.1,4.1,2.0,6.1,27.0,45.0,75.0,0.38,0.19,0.57,0.38,0.57,0.26,0.13,0.39,0.26,0.39,Matches
Bilal Ould-Chikh,ma MAR,"FW,MF",25-252,17,10,943.0,10.5,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.2,1.2,1.2,2.4,48.0,17.0,74.0,0.19,0.0,0.19,0.19,0.19,0.12,0.11,0.23,0.12,0.23,Matches
Calvin Twigt,nl NED,MF,20-066,9,9,768.0,8.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,4.0,19.0,15.0,0.12,0.0,0.12,0.12,0.12,0.06,0.01,0.07,0.06,0.07,Matches
Oskar Buur,dk DEN,"DF,MF",25-006,14,9,649.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,6.0,9.0,24.0,0.14,0.0,0.14,0.14,0.14,0.04,0.05,0.09,0.04,0.09,Matches
Ibrahim El Kadiri,nl NED,"FW,MF",21-073,14,8,709.0,7.9,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,2.1,3.0,31.0,28.0,86.0,0.0,0.25,0.25,0.0,0.25,0.11,0.27,0.38,0.11,0.38,Matches
Florent da Silva,fr FRA,MF,20-004,11,8,670.0,7.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.9,1.6,12.0,42.0,11.0,0.13,0.13,0.27,0.13,0.27,0.1,0.12,0.21,0.1,0.21,Matches
Henk Veerman,nl NED,FW,29-280,23,7,984.0,10.9,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,5.1,5.0,13.0,49.0,0.27,0.09,0.37,0.27,0.37,0.37,0.09,0.46,0.37,0.46,Matches
Josh Flint,eng ENG,DF,22-175,10,7,641.0,7.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.1,1.3,2.0,21.0,6.0,0.0,0.14,0.14,0.0,0.14,0.04,0.15,0.19,0.04,0.19,Matches
Francesco Antonucci,be BEL,"MF,FW",23-290,10,6,435.0,4.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,9.0,16.0,11.0,0.0,0.21,0.21,0.0,0.21,0.09,0.04,0.13,0.09,0.13,Matches
Dean James,nl NED,DF,22-341,7,4,431.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,10.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
Walid Ould-Chikh,ma MAR,"MF,FW",23-151,20,3,537.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,1.6,16.0,27.0,26.0,0.17,0.17,0.34,0.17,0.34,0.17,0.09,0.26,0.17,0.26,Matches
Achraf Douiri,nl NED,"DF,FW",23-130,7,3,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,6.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Billy van Duijl,nl NED,DF,17-184,2,2,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Lequincio Zeefuik,nl NED,"FW,MF",18-131,11,1,212.0,2.4,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.2,1.2,0.3,1.5,4.0,5.0,11.0,0.85,0.0,0.85,0.85,0.85,0.5,0.11,0.61,0.5,0.61,Matches
Barry Lauwers,nl NED,GK,23-128,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Imran Nazih,nl NED,MF,17-071,3,0,55.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.0,0.19,Matches
Jordi Blom,nl NED,FW,20-305,2,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joey Antonioli,nl NED,MF,19-112,1,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
Deron Payne,nl NED,DF,20-193,1,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Flip Klomp,nl NED,MF,21-170,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Givairo Read,,DF,,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kayne van Oevelen,nl NED,GK,19-241,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rob Tol,nl NED,DF,19-198,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,24.6,27,297,2430.0,27.0,31.0,24.0,55.0,31.0,0.0,0.0,36.0,3.0,30.7,30.7,23.3,54.1,398.0,811.0,798.0,1.15,0.89,2.04,1.15,2.04,1.14,0.86,2.0,1.14,2.0,
Opponent Total,,,25.6,27,297,2430.0,27.0,52.0,39.0,91.0,50.0,2.0,2.0,30.0,1.0,50.0,48.4,36.5,84.9,548.0,1370.0,1358.0,1.93,1.44,3.37,1.85,3.3,1.85,1.35,3.2,1.79,3.15,
