Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Carel Eiting,nl NED,MF,25-051,25.7,617,935,66.0,9772,3698,326,401,81.3,200,282,70.9,60,173,34.7,7,6.3,5.8,0.7,53,70,21,2,99,Matches
Filip Stankovic,rs SRB,GK,21-037,25.0,508,902,56.3,16724,13711,92,93,98.9,181,188,96.3,233,613,38.0,0,0.0,0.4,0.0,1,14,0,0,1,Matches
Derry Murkin,eng ENG,DF,23-250,23.8,740,1120,66.1,12288,4634,373,446,83.6,286,436,65.6,61,177,34.5,3,1.3,1.9,1.7,14,69,15,7,83,Matches
Damon Mirani,nl NED,"DF,MF",26-325,22.5,803,998,80.5,15368,5462,278,326,85.3,420,480,87.5,90,158,57.0,1,0.4,0.4,0.6,6,81,4,0,100,Matches
Brian Plat,nl NED,DF,22-363,21.0,499,722,69.1,8573,3217,243,304,79.9,202,270,74.8,45,97,46.4,0,0.4,0.3,-0.4,7,43,0,0,53,Matches
Xavier Mbuyamba,nl NED,DF,21-093,19.8,619,841,73.6,12190,5056,205,258,79.5,338,413,81.8,67,136,49.3,1,1.0,1.3,0.0,8,67,2,0,60,Matches
Robert Mühren,nl NED,"FW,MF",33-320,17.3,211,329,64.1,2932,874,119,174,68.4,59,96,61.5,13,25,52.0,0,1.7,1.2,-1.7,18,15,12,0,35,Matches
Benaissa Benamar,ma MAR,"DF,MF",25-360,18.3,643,801,80.3,13308,4829,203,233,87.1,336,384,87.5,97,155,62.6,1,0.9,0.7,0.1,6,59,9,0,66,Matches
Gaetano Oristanio,it ITA,"MF,FW",20-187,15.1,208,308,67.5,3093,964,117,147,79.6,60,92,65.2,13,29,44.8,1,1.2,1.3,-0.2,13,23,9,2,37,Matches
Daryl van Mieghem,nl NED,"FW,MF",33-119,14.8,300,474,63.3,5358,1928,140,181,77.3,110,166,66.3,43,104,41.3,3,2.0,2.2,1.0,15,27,23,10,43,Matches
Bilal Ould-Chikh,ma MAR,"FW,MF",25-249,10.5,186,287,64.8,3296,612,99,123,80.5,56,76,73.7,25,57,43.9,0,1.2,1.3,-1.2,12,7,13,9,17,Matches
Ibrahim El Kadiri,nl NED,"FW,MF",21-070,7.9,197,255,77.3,3033,805,108,123,87.8,67,83,80.7,14,34,41.2,2,2.1,2.2,-0.1,22,9,10,2,28,Matches
Calvin Twigt,nl NED,MF,20-063,7.6,157,209,75.1,2207,662,89,104,85.6,44,60,73.3,11,19,57.9,0,0.1,0.1,-0.1,4,17,0,0,17,Matches
Florent da Silva,fr FRA,MF,20-001,7.4,236,323,73.1,3676,1215,133,169,78.7,69,89,77.5,22,40,55.0,1,0.9,1.0,0.1,7,28,11,3,41,Matches
Oskar Buur,dk DEN,"DF,MF",25-003,6.2,107,170,62.9,1620,630,52,66,78.8,36,50,72.0,9,29,31.0,0,0.3,0.4,-0.3,6,5,3,2,8,Matches
Josh Flint,eng ENG,DF,22-172,7.1,182,271,67.2,3065,1450,101,118,85.6,61,94,64.9,17,51,33.3,1,1.1,0.8,-0.1,3,23,3,0,21,Matches
Henk Veerman,nl NED,FW,29-277,10.0,119,197,60.4,1706,290,62,99,62.6,39,64,60.9,8,12,66.7,1,1.0,0.7,0.0,11,9,3,1,11,Matches
Francesco Antonucci,be BEL,"MF,FW",23-287,4.7,106,151,70.2,1983,356,45,56,80.4,46,56,82.1,11,27,40.7,1,0.2,0.2,0.8,2,11,3,1,16,Matches
Dean James,nl NED,DF,22-338,4.8,117,160,73.1,1963,689,61,68,89.7,45,58,77.6,10,28,35.7,0,0.1,0.3,-0.1,3,9,3,1,10,Matches
Walid Ould-Chikh,ma MAR,"MF,FW",23-148,6.0,119,185,64.3,2152,779,56,72,77.8,50,71,70.4,13,29,44.8,1,0.5,0.6,0.5,3,22,5,0,27,Matches
Achraf Douiri,nl NED,"DF,FW",23-127,3.1,93,130,71.5,1644,359,45,53,84.9,35,42,83.3,12,25,48.0,0,0.0,0.1,0.0,0,6,1,1,6,Matches
Billy van Duijl,nl NED,DF,17-181,1.6,65,83,78.3,1476,472,15,17,88.2,36,42,85.7,14,22,63.6,0,0.0,0.0,0.0,1,2,0,0,4,Matches
Lequincio Zeefuik,nl NED,"FW,MF",18-128,2.4,23,51,45.1,384,82,12,25,48.0,7,16,43.8,2,4,50.0,0,0.3,0.1,-0.3,3,1,2,0,5,Matches
Barry Lauwers,nl NED,GK,23-125,1.0,19,36,52.8,893,855,1,1,100.0,4,5,80.0,14,30,46.7,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Imran Nazih,nl NED,MF,17-068,0.6,19,24,79.2,305,73,9,12,75.0,8,9,88.9,1,1,100.0,0,0.1,0.0,-0.1,2,3,0,0,1,Matches
