Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
Carel Eiting,nl NED,MF,25-054,27,2404.0,89.0,98.9,26.7,27,89.0,25,0,,0,1.0,31.0,55.0,-24.0,-0.9,2.56,30.1,49.1,-19.0,-0.71,0.33,Matches
Filip Stankovic,rs SRB,GK,21-040,26,2340.0,90.0,96.3,26.0,26,90.0,26,0,,0,0.92,29.0,56.0,-27.0,-1.04,-3.04,29.3,49.0,-19.8,-0.76,-1.25,Matches
Derry Murkin,eng ENG,DF,23-253,25,2233.0,89.0,91.9,24.8,25,89.0,23,0,,0,1.08,31.0,51.0,-20.0,-0.81,1.48,29.8,44.2,-14.4,-0.58,1.64,Matches
Damon Mirani,nl NED,"DF,MF",26-328,24,2022.0,84.0,83.2,22.5,23,86.0,19,1,45.0,3,0.96,27.0,52.0,-25.0,-1.11,-1.11,26.4,41.3,-14.9,-0.66,0.3,Matches
Brian Plat,nl NED,DF,23-001,26,1978.0,76.0,81.4,22.0,23,82.0,17,3,27.0,0,0.92,24.0,46.0,-22.0,-1.0,-0.4,24.3,41.8,-17.5,-0.8,-0.44,Matches
Xavier Mbuyamba,nl NED,DF,21-096,21,1869.0,89.0,76.9,20.8,21,89.0,19,0,,0,0.95,24.0,38.0,-14.0,-0.67,1.09,22.2,36.5,-14.3,-0.69,0.12,Matches
Benaissa Benamar,ma MAR,"DF,MF",25-363,24,1736.0,72.0,71.4,19.3,20,81.0,11,4,31.0,1,0.92,23.0,36.0,-13.0,-0.67,0.88,23.4,35.8,-12.4,-0.64,0.26,Matches
Robert Mühren,nl NED,"FW,MF",33-323,23,1568.0,68.0,64.5,17.4,20,77.0,7,3,9.0,1,1.0,21.0,37.0,-16.0,-0.92,0.02,20.2,29.7,-9.5,-0.54,0.48,Matches
Gaetano Oristanio,it ITA,"MF,FW",20-190,20,1452.0,73.0,59.8,16.1,17,81.0,6,3,25.0,2,0.85,15.0,30.0,-15.0,-0.93,-0.01,15.3,27.3,-12.0,-0.75,-0.08,Matches
Daryl van Mieghem,nl NED,"FW,MF",33-122,23,1409.0,61.0,58.0,15.7,17,74.0,6,6,24.0,3,0.87,22.0,31.0,-9.0,-0.57,0.84,19.7,27.6,-7.9,-0.5,0.5,Matches
Bilal Ould-Chikh,ma MAR,"FW,MF",25-252,17,943.0,55.0,38.8,10.5,10,71.0,4,7,33.0,3,1.0,11.0,25.0,-14.0,-1.34,-0.67,11.5,18.6,-7.1,-0.68,0.06,Matches
Calvin Twigt,nl NED,MF,20-066,9,768.0,85.0,31.6,8.5,9,85.0,3,0,,2,1.33,10.0,11.0,-1.0,-0.12,1.18,7.6,14.3,-6.8,-0.79,-0.11,Matches
Oskar Buur,dk DEN,"DF,MF",25-006,14,649.0,46.0,26.7,7.2,9,65.0,2,5,13.0,3,1.21,8.0,9.0,-1.0,-0.14,1.07,7.3,13.8,-6.5,-0.9,-0.26,Matches
Ibrahim El Kadiri,nl NED,"FW,MF",21-073,14,709.0,51.0,29.2,7.9,8,69.0,2,6,27.0,11,0.43,7.0,24.0,-17.0,-2.16,-1.74,10.0,15.8,-5.8,-0.74,-0.04,Matches
Florent da Silva,fr FRA,MF,20-004,11,670.0,61.0,27.6,7.4,8,81.0,5,3,7.0,1,1.36,10.0,11.0,-1.0,-0.13,1.09,7.9,13.3,-5.3,-0.72,0.0,Matches
Henk Veerman,nl NED,FW,29-280,23,984.0,43.0,40.5,10.9,7,77.0,3,16,28.0,4,1.0,13.0,29.0,-16.0,-1.46,-0.9,15.0,24.0,-9.0,-0.82,-0.18,Matches
Josh Flint,eng ENG,DF,22-175,10,641.0,64.0,26.4,7.1,7,80.0,5,3,27.0,6,1.7,8.0,13.0,-5.0,-0.7,0.3,7.6,14.1,-6.5,-0.92,-0.28,Matches
Francesco Antonucci,be BEL,"MF,FW",23-290,10,435.0,44.0,17.9,4.8,6,64.0,0,4,14.0,0,1.5,5.0,10.0,-5.0,-1.03,-0.13,4.8,9.0,-4.2,-0.87,-0.19,Matches
Dean James,nl NED,DF,22-341,7,431.0,62.0,17.7,4.8,4,84.0,2,3,32.0,12,0.57,3.0,12.0,-9.0,-1.88,-1.16,4.5,14.3,-9.7,-2.03,-1.6,Matches
Walid Ould-Chikh,ma MAR,"MF,FW",23-151,20,537.0,27.0,22.1,6.0,3,58.0,0,17,21.0,7,1.0,9.0,17.0,-8.0,-1.34,-0.53,8.7,9.6,-0.9,-0.15,0.72,Matches
Achraf Douiri,nl NED,"DF,FW",23-130,7,281.0,40.0,11.6,3.1,3,50.0,0,4,33.0,12,0.71,1.0,7.0,-6.0,-1.92,-1.13,3.8,6.8,-3.1,-0.99,-0.31,Matches
Billy van Duijl,nl NED,DF,17-184,2,148.0,74.0,6.1,1.6,2,74.0,1,0,,5,0.5,3.0,4.0,-1.0,-0.61,0.34,2.2,3.1,-0.9,-0.54,0.19,Matches
Lequincio Zeefuik,nl NED,"FW,MF",18-131,11,212.0,19.0,8.7,2.4,1,63.0,0,10,15.0,7,0.73,3.0,5.0,-2.0,-0.85,0.08,2.9,4.1,-1.1,-0.48,0.26,Matches
