Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Carel Eiting,nl NED,MF,25-051,25.7,1174,72,236,565,387,34,1174,19,6,31.6,12,63.2,454,2135,1079,24,30,4,28,18,527,53,Matches
Filip Stankovic,rs SRB,GK,21-037,25.0,1001,859,994,8,0,0,1001,0,0,,0,,489,2675,1661,0,0,0,1,0,359,0,Matches
Derry Murkin,eng ENG,DF,23-250,23.8,1434,100,474,622,368,38,1434,52,23,44.2,25,48.1,639,4525,2303,71,58,23,37,15,639,99,Matches
Damon Mirani,nl NED,"DF,MF",26-325,22.5,1264,179,569,621,78,15,1264,1,0,0.0,0,0.0,565,2964,1582,11,4,0,8,10,690,9,Matches
Brian Plat,nl NED,DF,22-363,21.0,1049,92,463,436,162,19,1049,26,8,30.8,13,50.0,423,2475,1011,24,14,3,38,22,392,41,Matches
Xavier Mbuyamba,nl NED,DF,21-093,19.8,1115,171,533,531,56,30,1115,6,4,66.7,2,33.3,507,2465,1293,7,3,0,9,3,578,3,Matches
Robert Mühren,nl NED,"FW,MF",33-320,17.3,496,27,63,210,225,81,496,15,5,33.3,9,60.0,197,851,318,12,6,9,25,8,311,74,Matches
Benaissa Benamar,ma MAR,"DF,MF",25-360,18.3,968,116,453,460,60,7,968,10,6,60.0,4,40.0,489,2307,927,5,4,1,13,4,550,8,Matches
Gaetano Oristanio,it ITA,"MF,FW",20-187,15.1,545,8,88,215,259,51,545,69,26,37.7,31,44.9,368,2848,1474,49,30,18,61,44,380,84,Matches
Daryl van Mieghem,nl NED,"FW,MF",33-119,14.8,606,13,101,252,265,29,606,30,14,46.7,11,36.7,334,2033,987,27,22,8,28,18,356,74,Matches
Bilal Ould-Chikh,ma MAR,"FW,MF",25-249,10.5,423,5,55,149,229,25,423,62,25,40.3,23,37.1,263,2516,1114,48,28,14,33,15,281,74,Matches
Ibrahim El Kadiri,nl NED,"FW,MF",21-070,7.9,364,10,53,106,215,36,364,30,13,43.3,16,53.3,236,1996,946,31,15,12,22,21,233,86,Matches
Calvin Twigt,nl NED,MF,20-063,7.6,302,27,106,157,43,5,302,6,3,50.0,3,50.0,140,498,213,4,3,1,11,5,155,15,Matches
Florent da Silva,fr FRA,MF,20-001,7.4,397,9,88,235,75,3,397,10,3,30.0,7,70.0,177,816,453,11,6,1,15,7,237,11,Matches
Oskar Buur,dk DEN,"DF,MF",25-003,6.2,236,16,68,96,79,11,236,8,4,50.0,3,37.5,101,669,214,4,2,0,10,5,92,21,Matches
Josh Flint,eng ENG,DF,22-172,7.1,367,47,172,167,30,5,367,6,3,50.0,2,33.3,151,648,349,2,5,0,2,2,184,6,Matches
Henk Veerman,nl NED,FW,29-277,10.0,297,19,33,127,138,56,297,8,6,75.0,2,25.0,130,489,220,5,1,5,18,14,191,47,Matches
Francesco Antonucci,be BEL,"MF,FW",23-287,4.7,185,1,28,94,70,1,185,14,7,50.0,5,35.7,120,720,310,9,7,1,5,5,136,9,Matches
Dean James,nl NED,DF,22-338,4.8,232,22,88,88,63,4,232,9,1,11.1,7,77.8,105,654,385,10,6,0,8,7,102,17,Matches
Walid Ould-Chikh,ma MAR,"MF,FW",23-148,6.0,279,13,49,133,102,14,279,25,14,56.0,7,28.0,173,1199,511,16,15,5,17,11,176,26,Matches
Achraf Douiri,nl NED,"DF,FW",23-127,3.1,175,6,51,83,42,1,175,9,5,55.6,4,44.4,70,459,194,6,4,1,5,4,80,5,Matches
Billy van Duijl,nl NED,DF,17-181,1.6,94,14,58,37,1,0,94,1,1,100.0,0,0.0,54,376,266,3,1,0,0,0,65,0,Matches
Lequincio Zeefuik,nl NED,"FW,MF",18-128,2.4,84,2,13,33,39,12,84,6,4,66.7,0,0.0,40,196,90,4,4,1,7,8,59,11,Matches
Barry Lauwers,nl NED,GK,23-125,1.0,37,35,37,0,0,0,37,0,0,,0,,18,97,53,0,0,0,0,0,11,0,Matches
Imran Nazih,nl NED,MF,17-068,0.6,37,1,9,17,12,3,37,1,1,100.0,0,0.0,19,96,70,3,3,0,4,1,21,3,Matches
Jordi Blom,nl NED,FW,20-302,0.5,14,1,6,4,4,0,14,0,0,,0,,10,49,29,0,0,0,1,0,6,1,Matches
Joey Antonioli,nl NED,MF,19-109,0.4,16,0,1,9,6,2,16,0,0,,0,,8,80,44,1,0,1,2,2,11,5,Matches
Deron Payne,nl NED,DF,20-190,0.1,9,2,4,2,3,0,9,0,0,,0,,2,7,3,0,0,0,0,0,0,0,Matches
Flip Klomp,nl NED,MF,21-167,0.1,8,1,2,5,1,0,8,0,0,,0,,2,4,0,0,0,0,0,0,2,0,Matches
Givairo Read,,DF,,0.1,4,1,2,2,0,0,4,0,0,,0,,1,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,24.6,26.0,13212,1869,4897,5464,3012,482,13212,423,182,43.0,186,44.0,6285,36847,18099,387,271,108,408,249,6824,782,
Opponent Total,,,25.5,26.0,18004,1751,5511,8029,4644,758,18002,559,267,47.8,235,42.0,10258,55866,27830,527,362,138,470,263,11723,1301,
