Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Julian Lelieveld,nl NED,DF,25-133,23.1,1302,96,454,482,374,47,1302,18,10,55.6,6,33.3,569,2331,1227,21,23,7,20,10,713,107,Matches
Thierry Lutonda,be BEL,DF,22-161,22.5,1263,64,463,483,331,44,1263,89,42,47.2,42,47.2,609,3312,1583,41,26,16,48,40,679,114,Matches
Shawn Adewoye,be BEL,DF,22-281,25.0,1281,219,731,490,71,23,1281,16,9,56.3,5,31.3,635,3681,2068,19,11,2,17,1,688,7,Matches
Etienne Vaessen,nl NED,GK,27-254,25.0,1027,915,1022,4,1,1,1027,0,0,,0,,559,3259,2048,0,0,0,1,0,382,0,Matches
Juriën Gaari,cw CUW,DF,29-104,24.4,1495,221,809,593,111,7,1495,18,9,50.0,7,38.9,826,5142,2844,29,20,2,16,11,850,22,Matches
Vurnon Anita,cw CUW,MF,34-002,23.0,1115,35,259,691,175,9,1115,13,7,53.8,6,46.2,543,2247,1042,13,6,0,20,14,733,23,Matches
Pelle Clement,nl NED,MF,26-322,20.0,995,38,186,460,371,55,995,55,22,40.0,30,54.5,538,3516,1993,49,36,8,46,29,659,91,Matches
Dario Van den Buijs,be BEL,DF,27-206,18.3,1147,155,582,427,143,11,1145,0,0,,0,,539,2209,1190,7,4,0,10,1,655,4,Matches
Iliass Bel Hassani,ma MAR,"MF,FW",30-202,14.8,770,17,102,311,366,42,770,49,29,59.2,17,34.7,464,3111,1720,58,32,14,32,21,522,103,Matches
Michiel Kramer,nl NED,FW,34-124,15.7,472,15,46,228,199,62,471,9,3,33.3,3,33.3,236,619,189,3,1,3,24,8,357,64,Matches
Yassin Oukili,nl NED,MF,22-093,13.9,652,14,173,312,177,21,652,21,9,42.9,10,47.6,342,1635,733,14,17,3,35,14,384,45,Matches
Mats Seuntjens,nl NED,FW,30-354,11.3,567,14,65,284,229,41,567,64,36,56.3,25,39.1,388,2788,1351,47,38,16,37,20,437,76,Matches
Julen Lobete,es ESP,FW,22-200,10.0,437,4,31,188,228,68,437,44,17,38.6,23,52.3,274,1522,533,21,16,12,47,30,354,100,Matches
Patrick Vroegh,nl NED,"MF,DF",23-128,5.9,320,10,64,142,114,13,320,4,2,50.0,2,50.0,150,691,387,13,11,2,7,2,204,29,Matches
Lars Nieuwpoort,nl NED,DF,28-159,4.8,262,37,164,86,12,3,262,1,0,0.0,1,100.0,127,510,172,0,0,0,4,0,144,3,Matches
Florian Jozefzoon,sr SUR,"FW,MF",32-056,6.5,234,1,21,75,142,42,234,24,7,29.2,15,62.5,133,1087,656,27,18,10,22,7,157,53,Matches
Lennerd Daneels,be BEL,FW,24-361,2.0,76,0,5,34,37,4,76,7,1,14.3,5,71.4,40,205,76,3,3,4,10,5,60,12,Matches
Mika Biereth,dk DEN,"FW,MF",20-057,3.1,120,2,10,33,79,30,120,7,4,57.1,2,28.6,77,571,172,6,7,1,21,9,94,28,Matches
Saïd Bakari,km COM,"DF,MF",28-196,4.9,309,20,98,103,113,23,309,28,13,46.4,13,46.4,171,1069,530,20,11,7,14,10,184,39,Matches
Roy Kuijpers,nl NED,"FW,MF",23-079,3.6,180,1,7,59,116,17,180,14,5,35.7,7,50.0,129,823,378,16,10,8,8,5,144,67,Matches
Joel Castro Pereira,pt POR,GK,26-282,1.0,42,42,42,0,0,0,42,0,0,,0,,21,143,85,0,0,0,0,0,13,0,Matches
Zakaria Bakkali,be BEL,"FW,DF",27-070,3.3,181,5,21,60,105,15,181,24,10,41.7,10,41.7,114,916,500,26,20,4,8,6,128,36,Matches
Luuk Wouters,nl NED,DF,23-302,1.5,90,6,38,43,10,0,90,3,1,33.3,2,66.7,31,98,41,1,1,0,2,0,35,1,Matches
Sebbe Augustijns,be BEL,"MF,FW",23-215,0.6,32,4,13,13,6,1,32,0,0,,0,,11,58,3,0,2,0,1,0,16,1,Matches
Kevin Felida,cw CUW,MF,23-146,0.4,25,1,6,12,8,2,25,1,0,0.0,1,100.0,11,84,32,0,0,0,1,0,15,1,Matches
Hans Mulder,nl NED,"DF,MF",35-344,0.1,3,2,3,0,0,0,3,0,0,,0,,1,14,5,0,0,0,0,0,0,0,Matches
Squad Total,,,27.3,27.0,14397,1938,5415,5613,3518,581,14394,509,236,46.4,232,45.6,7538,41641,21558,434,313,119,451,243,8607,1026,
Opponent Total,,,25.8,27.0,17074,1488,4771,7853,4607,691,17068,490,205,41.8,219,44.7,10091,56553,29109,558,426,117,445,220,11260,1176,
