Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Julian Lelieveld,nl NED,DF,25-115,22.1,2,10,3,30.0,0.45,0.14,0.2,0.67,11.8,0,0,0,1.6,1.6,0.16,0.4,0.4,Matches
Thierry Lutonda,be BEL,DF,22-143,21.5,1,16,5,31.3,0.74,0.23,0.06,0.2,14.4,0,0,0,1.6,1.6,0.1,-0.6,-0.6,Matches
Shawn Adewoye,be BEL,DF,22-263,24.0,1,11,2,18.2,0.46,0.08,0.09,0.5,9.2,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches
Etienne Vaessen,nl NED,GK,27-236,24.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Juriën Gaari,cw CUW,DF,29-086,23.4,0,5,1,20.0,0.21,0.04,0.0,0.0,20.9,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
Dario Van den Buijs,be BEL,DF,27-188,18.2,3,15,5,33.3,0.82,0.27,0.07,0.2,25.7,3,2,2,2.2,0.6,0.04,0.8,0.4,Matches
Vurnon Anita,cw CUW,MF,33-349,22.0,2,7,2,28.6,0.32,0.09,0.29,1.0,20.2,0,0,0,0.5,0.5,0.08,1.5,1.5,Matches
Pelle Clement,nl NED,MF,26-304,19.1,2,24,8,33.3,1.26,0.42,0.08,0.25,17.7,0,0,0,2.8,2.8,0.12,-0.8,-0.8,Matches
Iliass Bel Hassani,ma MAR,"MF,FW",30-184,14.8,5,39,16,41.0,2.64,1.08,0.13,0.31,22.1,4,0,0,3.0,3.0,0.08,2.0,2.0,Matches
Michiel Kramer,nl NED,FW,34-106,14.7,7,32,17,53.1,2.17,1.15,0.19,0.35,12.8,1,1,1,7.6,6.8,0.21,-0.6,-0.8,Matches
Yassin Oukili,nl NED,MF,22-075,13.0,2,24,11,45.8,1.85,0.85,0.08,0.18,24.0,0,0,0,1.8,1.8,0.07,0.2,0.2,Matches
Mats Seuntjens,nl NED,FW,30-336,10.3,3,25,11,44.0,2.43,1.07,0.12,0.27,20.6,1,0,0,3.0,3.0,0.12,0.0,0.0,Matches
Julen Lobete,es ESP,FW,22-182,10.0,2,25,9,36.0,2.51,0.9,0.08,0.22,11.8,0,0,0,3.9,3.9,0.16,-1.9,-1.9,Matches
Patrick Vroegh,nl NED,"MF,DF",23-110,5.9,0,10,0,0.0,1.69,0.0,0.0,,22.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Lars Nieuwpoort,nl NED,DF,28-141,4.8,0,1,0,0.0,0.21,0.0,0.0,,9.6,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches
Florian Jozefzoon,sr SUR,"FW,MF",32-038,5.6,4,17,6,35.3,3.02,1.07,0.24,0.67,11.5,1,0,0,3.4,3.4,0.2,0.6,0.6,Matches
Lennerd Daneels,be BEL,FW,24-343,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Mika Biereth,dk DEN,"FW,MF",20-039,3.1,2,14,7,50.0,4.57,2.28,0.14,0.29,13.2,0,0,0,1.8,1.8,0.13,0.2,0.2,Matches
Saïd Bakari,km COM,"DF,MF",28-178,4.7,0,6,1,16.7,1.28,0.21,0.0,0.0,18.1,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
Roy Kuijpers,nl NED,"FW,MF",23-061,3.6,0,2,0,0.0,0.55,0.0,0.0,,19.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Joel Castro Pereira,pt POR,GK,26-264,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Zakaria Bakkali,be BEL,"FW,DF",27-052,3.3,3,13,4,30.8,3.93,1.21,0.23,0.75,19.4,0,0,0,1.2,1.2,0.1,1.8,1.8,Matches
Luuk Wouters,nl NED,DF,23-284,1.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Sebbe Augustijns,be BEL,"MF,FW",23-197,0.6,0,1,0,0.0,1.55,0.0,0.0,,7.3,0,0,0,0.1,0.1,0.1,-0.1,-0.1,Matches
Kevin Felida,cw CUW,MF,23-128,0.4,0,1,0,0.0,2.25,0.0,0.0,,17.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Hans Mulder,nl NED,"DF,MF",35-326,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,27.2,26.0,39,298,108,36.2,11.46,4.15,0.12,0.33,17.4,10,3,3,36.8,34.6,0.12,2.2,1.4,
Opponent Total,,,25.8,26.0,40,390,133,34.1,15.0,5.12,0.09,0.26,17.9,17,5,6,43.5,39.0,0.1,-3.5,-4.0,
