Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Marten de Roon,nl NED,MF,32-008,22.9,50,24,26,22,2,23,52,44.2,29,24,3,21,27,77,45,0,Matches
Teun Koopmeiners,nl NED,MF,25-037,22.8,33,19,10,18,5,20,38,52.6,18,30,4,26,16,49,31,1,Matches
Rafael Tolói,it ITA,DF,32-178,21.9,40,28,22,18,0,21,41,51.2,20,28,12,16,47,87,60,1,Matches
Juan Musso,ar ARG,GK,28-335,21.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,10,1,Matches
Ademola Lookman,ng NGA,"FW,MF",25-168,17.6,11,3,2,6,3,3,14,21.4,11,18,0,18,4,15,0,0,Matches
Giorgio Scalvini,it ITA,DF,19-116,17.4,39,20,23,10,6,22,38,57.9,16,23,10,13,34,73,42,1,Matches
Éderson,br BRA,MF,23-273,17.1,53,31,15,32,6,22,44,50.0,22,38,4,34,24,77,20,0,Matches
Hans Hateboer,nl NED,DF,29-087,15.5,21,13,11,8,2,11,27,40.7,16,23,4,19,12,33,25,0,Matches
Joakim Mæhle,dk DEN,"DF,MF",25-321,15.7,22,11,8,5,9,15,27,55.6,12,17,4,13,14,36,14,0,Matches
Mario Pašalić,hr CRO,"MF,FW",28-056,13.9,20,9,6,12,2,5,15,33.3,10,15,2,13,14,34,9,0,Matches
Merih Demiral,tr TUR,DF,25-032,16.1,37,25,28,9,0,23,30,76.7,7,23,7,16,22,59,55,1,Matches
Rasmus Højlund,dk DEN,FW,20-061,14.6,4,3,0,2,2,1,3,33.3,2,7,0,7,0,4,4,0,Matches
Duván Zapata,co COL,FW,32-005,10.0,1,1,0,0,1,1,2,50.0,1,3,0,3,1,2,12,0,Matches
Berat Djimsiti,al ALB,DF,30-046,10.4,21,12,14,7,0,11,14,78.6,3,9,4,5,19,40,37,1,Matches
Caleb Okoli,it ITA,DF,21-267,9.4,21,17,14,6,1,10,23,43.5,13,9,5,4,26,47,41,3,Matches
Matteo Ruggeri,it ITA,"DF,MF",20-269,9.2,17,12,5,9,3,8,16,50.0,8,14,3,11,12,29,16,0,Matches
Luis Muriel,co COL,FW,31-355,9.1,6,3,1,2,3,3,9,33.3,6,8,0,8,2,8,2,0,Matches
Davide Zappacosta,it ITA,"DF,MF",30-299,6.9,15,9,6,7,2,5,6,83.3,1,10,1,9,5,20,8,0,Matches
José Luis Palomino,ar ARG,DF,33-091,6.6,14,6,10,4,0,6,10,60.0,4,7,4,3,24,38,16,0,Matches
Brandon Soppy,fr FRA,DF,21-044,6.3,7,4,3,4,0,2,7,28.6,5,8,0,8,2,9,7,0,Matches
Marco Sportiello,it ITA,GK,30-331,6.9,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches
Jeremie Boga,ci CIV,"MF,FW",26-093,7.0,7,4,2,1,4,2,4,50.0,2,6,0,6,1,8,1,0,Matches
Ruslan Malinovskyi,ua UKR,"MF,FW",29-337,6.1,14,8,5,6,3,6,17,35.3,11,8,1,7,5,19,2,0,Matches
Nadir Zortea,it ITA,"DF,MF",23-291,2.5,10,5,3,7,0,3,4,75.0,1,4,0,4,0,10,4,0,Matches
Lukáš Vorlický,cz CZE,"MF,FW",21-078,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Squad Total,,,27.0,28.0,465,268,216,195,54,225,444,50.7,219,332,68,264,312,777,462,9,
Opponent Total,,,27.2,28.0,554,349,306,187,61,267,509,52.5,242,341,102,239,277,831,525,6,
